year,capex,other_capex,capex_total,energy_mwh,revenue_market,cfd_payment,capacity_rev,balancing_rev,fuel,co2,co2_t,vom,start,cycling,fund,fom,sustaining,property_tax,licence_fee,fixed_other,staff_cost,revenue,opex,ebitda,depreciation_tax,decommissioning,ebit_tax,debt_draw,interest,principal,debt_service,taxable_income,cit,fcf_pretax,fcf_posttax,equity_cf,dscr,local_property_tax_host,local_property_tax_neighbours,local_cit_gmina,local_cit_powiat,local_cit_wojewodztwo,pit_paid_staff,local_pit_gmina,local_pit_powiat,local_pit_wojewodztwo,local_total,state_cit,state_fund_contribution,state_eua_revenue,cfd_cost_to_state,operating
2030,1368.0,515.0,1883.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1883.0,-1883.0,-1883.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.9785286000000001,0.2795796,0.0,1.2581082000000001,0.0,0.0,0.0,0.0,False
2031,2736.0,30.000000000000004,2766.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2766.0,-2766.0,-2766.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.9570572000000002,0.5591592,0.0,2.5162164000000002,0.0,0.0,0.0,0.0,False
2032,3420.0,37.5,3457.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3457.5,-3457.5,-3457.5,,0.0,0.0,0.0,0.0,0.0,0.0,2.4463215,0.6989489999999999,0.0,3.1452704999999996,0.0,0.0,0.0,0.0,False
2033,2508.0,27.5,2535.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2535.5,-2535.5,-2535.5,,0.0,0.0,0.0,0.0,0.0,0.0,1.7939691,0.5125626,0.0,2.3065317,0.0,0.0,0.0,0.0,False
2034,1368.0,565.0,1933.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1933.0,-1933.0,-1933.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.9785286000000001,0.2795796,0.0,1.2581082000000001,0.0,0.0,0.0,0.0,False
2035,0.0,0.0,0.0,2433340.26,977.548742319797,354.41653668777474,0.0,0.0,75.44497737261538,0.0,0.0,26.766742859999997,0.0,0.022529999999999998,63.266846759999986,236.34000000000003,59.129999999999995,45.6,6.659826395037859,0.0,52.2,1331.9652790075718,513.2309233876533,818.7343556199185,977.7062500000001,0.0,-158.9718943800816,0.0,0.0,0.0,0.0,-158.9718943800816,0.0,818.7343556199185,818.7343556199185,818.7343556199185,,22.8,22.8,0.0,0.0,0.0,6.995713147410357,1.5702373505976095,0.4486392430278883,0.07851186752988047,47.697388461155384,0.0,63.266846759999986,0.0,354.41653668777474,True
2036,0.0,0.0,0.0,2333109.636,927.7942922632052,349.45874573788655,0.0,0.0,72.33772849759472,0.0,0.0,25.664205996,0.0,0.025349999999999998,60.660850536,236.34000000000003,59.129999999999995,45.6,6.386265190005458,0.0,52.2,1277.2530380010917,506.14440021960024,771.1086377814914,977.7062500000001,0.0,-206.59761221850863,0.0,0.0,0.0,0.0,-206.59761221850863,0.0,771.1086377814914,771.1086377814914,771.1086377814914,,22.8,22.8,0.0,0.0,0.0,6.995713147410357,1.5702373505976095,0.4486392430278883,0.07851186752988047,47.697388461155384,0.0,60.660850536,0.0,349.45874573788655,True
2037,0.0,0.0,0.0,2333109.636,923.1111947151414,354.13047843187,0.0,0.0,72.33772849759472,0.0,0.0,25.664205996,0.0,0.025349999999999998,60.660850536,236.34000000000003,59.129999999999995,45.6,6.386208365735057,0.0,52.2,1277.2416731470114,506.1443433953298,771.0973297516816,977.7062500000001,0.0,-206.60892024831844,0.0,0.0,0.0,0.0,-206.60892024831844,0.0,771.0973297516816,771.0973297516816,771.0973297516816,,22.8,22.8,0.0,0.0,0.0,6.995713147410357,1.5702373505976095,0.4486392430278883,0.07851186752988047,47.697388461155384,0.0,60.660850536,0.0,354.13047843187,True
2038,0.0,0.0,0.0,2511296.424,993.7106862613302,380.7438283827042,0.0,0.0,77.8616303141201,0.0,0.0,27.624260664,0.0,0.022709999999999998,65.293707024,157.56,59.129999999999995,45.6,6.872272573220172,0.0,52.2,1374.4545146440344,439.96458057534034,934.4899340686941,977.7062500000001,0.0,-43.216315931305985,0.0,0.0,0.0,0.0,-43.216315931305985,0.0,934.4899340686941,934.4899340686941,934.4899340686941,,22.8,22.8,0.0,0.0,0.0,6.995713147410357,1.5702373505976095,0.4486392430278883,0.07851186752988047,47.697388461155384,0.0,65.293707024,0.0,380.7438283827042,True
2039,0.0,0.0,0.0,2407857.27,942.9748726962205,375.0208769312138,0.0,0.0,74.65492594841572,0.0,0.0,26.486429969999996,0.0,0.02562,62.60428902,157.56,59.129999999999995,45.6,6.589978748137171,0.0,52.2,1317.9957496274342,432.65124368655296,885.3445059408812,977.7062500000001,0.0,-92.3617440591189,0.0,0.0,0.0,0.0,-92.3617440591189,0.0,885.3445059408812,885.3445059408812,885.3445059408812,,22.8,22.8,0.0,0.0,0.0,6.995713147410357,1.5702373505976095,0.4486392430278883,0.07851186752988047,47.697388461155384,0.0,62.60428902,0.0,375.0208769312138,True
