year,energy_mwh,revenue_market_pln,cfd_payment_pln,capacity_rev_pln,balancing_rev_pln,fuel_cost_pln,co2_cost_pln,co2_t,vom_cost_pln,start_cost_pln,cycling_cost_pln,fund_cost_pln,fom_multiplier,capture_price,x_hours_at_min,x_curtailed_mwh,x_price_mean,x_neg_hours,x_avail_mean
2035,2433340.26,977548742.319797,354416536.6877748,0.0,0.0,75444977.37261538,0.0,0.0,26766742.86,0.0,22530.0,63266846.75999999,1.5150000000000001,547.381433210484,33,7425.0,400.0,295,0.9399999999999997
2036,2333109.636,927794292.2632053,349458745.73788655,0.0,0.0,72337728.49759473,0.0,0.0,25664205.996,0.0,25350.0,60660850.536,1.5150000000000001,547.4466430094038,32,7353.0,398.0,295,0.9013698630136984
2037,2333109.636,923111194.7151415,354130478.43187004,0.0,0.0,72337728.49759473,0.0,0.0,25664205.996,0.0,25350.0,60660850.536,1.5150000000000001,547.4417718906594,32,7353.0,395.99999999999994,293,0.9013698630136984
2038,2511296.424,993710686.2613302,380743828.3827042,0.0,0.0,77861630.31412011,0.0,0.0,27624260.664,0.0,22710.0,65293707.024000004,1.01,547.3087531637542,30,7362.0,394.0,291,0.9699999999999999
2039,2407857.27,942974872.6962205,375020876.93121386,0.0,0.0,74654925.94841573,0.0,0.0,26486429.97,0.0,25620.0,62604289.02,1.01,547.3728721584209,30,7297.5,392.0,291,0.9301369863013698
2040,2407897.284,938134643.8781205,379852071.4671921,0.0,0.0,74656148.34267649,0.0,0.0,26486870.123999998,0.0,25215.0,62605329.384,1.01,547.3600240770538,29,7257.0,390.0,291,0.9301369863013698
2041,2511400.164,981143165.9154044,393295910.54808795,0.0,0.0,77864737.62267649,0.0,0.0,27625401.803999998,0.0,22305.0,65296404.264,1.01,547.279997893435,29,7257.0,389.0,291,0.9699999999999999
2042,2407857.27,933289529.7631197,384696003.0363965,0.0,0.0,74654925.94841573,0.0,0.0,26486429.97,0.0,25620.0,62604289.02,1.01,547.3686290381806,30,7297.5,388.0,290,0.9301369863013698
2043,2407920.996,930870979.347496,387119367.3811857,0.0,0.0,74656810.86271136,0.0,0.0,26487130.955999997,0.0,25620.0,62605945.896,1.01,547.3561420487243,30,7233.0,387.0,290,0.9301369863013698
2044,2338919.076,901401585.3594408,378954672.2942168,0.0,0.0,72517751.34271134,0.0,0.0,25728109.836,0.0,25620.0,60811895.975999996,1.01,547.4136624869093,30,7233.0,386.0,290,0.9035616438356163
