year,energy_mwh,revenue_market_pln,cfd_payment_pln,capacity_rev_pln,balancing_rev_pln,fuel_cost_pln,co2_cost_pln,co2_t,vom_cost_pln,start_cost_pln,cycling_cost_pln,fund_cost_pln,fom_multiplier,capture_price,x_hours_at_min,x_curtailed_mwh,x_price_mean,x_neg_hours,x_avail_mean
2035,2470320.0,988128000.0,0.0,0.0,0.0,76579920.0,0.0,0.0,27173520.0,0.0,0.0,64228320.0,1.5,400.0,0,0.0,400.0,295,0.9399999999999997
2036,2368800.0,937773514.618228,0.0,0.0,0.0,73432800.0,0.0,0.0,26056800.0,0.0,0.0,61588800.0,1.5,395.88547560715466,0,0.0,398.0,295,0.9013698630136984
2037,2368800.0,933024878.3589885,0.0,0.0,0.0,73432800.0,0.0,0.0,26056800.0,0.0,0.0,61588800.0,1.5,393.88081659869493,0,0.0,395.99999999999994,293,0.9013698630136984
2038,2549160.0,1004369040.0,0.0,0.0,0.0,79023960.0,0.0,0.0,28040760.0,0.0,0.0,66278160.0,1.0,394.0,0,0.0,394.0,291,0.9699999999999999
2039,2444400.0,953003023.3170907,0.0,0.0,0.0,75776400.0,0.0,0.0,26888400.0,0.0,0.0,63554400.0,1.0,389.87196175629634,0,0.0,392.0,291,0.9301369863013698
2040,2444400.0,948103967.02061,0.0,0.0,0.0,75776400.0,0.0,0.0,26888400.0,0.0,0.0,63554400.0,1.0,387.8677659223572,0,0.0,390.0,291,0.9301369863013698
2041,2549160.0,991623240.0,0.0,0.0,0.0,79023960.0,0.0,0.0,28040760.0,0.0,0.0,66278160.0,1.0,389.0,0,0.0,389.0,291,0.9699999999999999
2042,2444400.0,943168680.8425939,0.0,0.0,0.0,75776400.0,0.0,0.0,26888400.0,0.0,0.0,63554400.0,1.0,385.8487485037612,0,0.0,388.0,290,0.9301369863013698
2043,2444400.0,940701320.7995353,0.0,0.0,0.0,75776400.0,0.0,0.0,26888400.0,0.0,0.0,63554400.0,1.0,384.8393555880933,0,0.0,387.0,290,0.9301369863013698
2044,2374560.0,910862684.9758606,0.0,0.0,0.0,73611360.0,0.0,0.0,26120160.0,0.0,0.0,61738560.0,1.0,383.59219601772986,0,0.0,386.0,290,0.9035616438356163
2045,2444400.0,935767166.8053172,0.0,0.0,0.0,75776400.0,0.0,0.0,26888400.0,0.0,0.0,63554400.0,1.0,382.8208013440178,0,0.0,385.0,290,0.9301369863013698
2046,2444400.0,933300372.8541577,0.0,0.0,0.0,75776400.0,0.0,0.0,26888400.0,0.0,0.0,63554400.0,1.0,381.81164001561024,0,0.0,384.0,290,0.9301369863013698
2047,2549160.0,976328280.0,0.0,0.0,0.0,79023960.0,0.0,0.0,28040760.0,0.0,0.0,66278160.0,1.0,383.0,0,0.0,383.0,289,0.9699999999999999
2048,2444400.0,928367351.0437374,0.0,0.0,0.0,75776400.0,0.0,0.0,26888400.0,0.0,0.0,63554400.0,1.0,379.79354894605524,0,0.0,382.0,289,0.9301369863013698
2049,2444400.0,925901123.1844769,0.0,0.0,0.0,75776400.0,0.0,0.0,26888400.0,0.0,0.0,63554400.0,1.0,378.78461920490787,0,0.0,381.0,288,0.9301369863013698
2050,2549160.0,968680800.0,0.0,0.0,0.0,79023960.0,0.0,0.0,28040760.0,0.0,0.0,66278160.0,1.0,380.0,0,0.0,380.0,288,0.9699999999999999
2051,2444400.0,923399231.5355799,0.0,0.0,0.0,75776400.0,0.0,0.0,26888400.0,0.0,0.0,63554400.0,1.0,377.7610994663639,0,0.0,380.0,288,0.9301369863013698
2052,2444400.0,923363379.0486438,0.0,0.0,0.0,75776400.0,0.0,0.0,26888400.0,0.0,0.0,63554400.0,1.0,377.7464322732138,0,0.0,380.0,287,0.9301369863013698
2053,2549160.0,968680800.0,0.0,0.0,0.0,79023960.0,0.0,0.0,28040760.0,0.0,0.0,66278160.0,1.0,380.0,0,0.0,380.0,287,0.9699999999999999
2054,2339640.0,884541055.0407449,0.0,0.0,0.0,72528840.0,0.0,0.0,25736040.0,0.0,0.0,60830640.0,1.0,378.0671620594386,0,0.0,380.0,287,0.8902739726027397
2055,2444400.0,923255821.5878358,0.0,0.0,0.0,75776400.0,0.0,0.0,26888400.0,0.0,0.0,63554400.0,1.0,377.70243069376363,0,0.0,380.0,287,0.9301369863013698
2056,2549160.0,968680800.0,0.0,0.0,0.0,79023960.0,0.0,0.0,28040760.0,0.0,0.0,66278160.0,1.0,380.0,0,0.0,380.0,287,0.9699999999999999
2057,2444400.0,923184116.6139637,0.0,0.0,0.0,75776400.0,0.0,0.0,26888400.0,0.0,0.0,63554400.0,1.0,377.6730963074635,0,0.0,380.0,286,0.9301369863013698
2058,2444400.0,923148264.1270276,0.0,0.0,0.0,75776400.0,0.0,0.0,26888400.0,0.0,0.0,63554400.0,1.0,377.6584291143134,0,0.0,380.0,285,0.9301369863013698
2059,2549160.0,968680800.0,0.0,0.0,0.0,79023960.0,0.0,0.0,28040760.0,0.0,0.0,66278160.0,1.0,380.0,0,0.0,380.0,285,0.9699999999999999
2060,2444400.0,923076559.1531556,0.0,0.0,0.0,75776400.0,0.0,0.0,26888400.0,0.0,0.0,63554400.0,1.0,377.62909472801323,0,0.0,380.0,285,0.9301369863013698
2061,2444400.0,923040706.6662195,0.0,0.0,0.0,75776400.0,0.0,0.0,26888400.0,0.0,0.0,63554400.0,1.0,377.6144275348631,0,0.0,380.0,285,0.9301369863013698
2062,2549160.0,968680800.0,0.0,0.0,0.0,79023960.0,0.0,0.0,28040760.0,0.0,0.0,66278160.0,1.0,380.0,0,0.0,380.0,285,0.9699999999999999
2063,2444400.0,923040706.6662195,0.0,0.0,0.0,75776400.0,0.0,0.0,26888400.0,0.0,0.0,63554400.0,1.0,377.6144275348631,0,0.0,380.0,285,0.9301369863013698
2064,2339640.0,884008778.1505699,0.0,0.0,0.0,72528840.0,0.0,0.0,25736040.0,0.0,0.0,60830640.0,1.0,377.83965830237554,0,0.0,380.0,285,0.8902739726027397
2065,2549160.0,968680800.0,0.0,0.0,0.0,79023960.0,0.0,0.0,28040760.0,0.0,0.0,66278160.0,1.0,380.0,0,0.0,380.0,285,0.9699999999999999
2066,2444400.0,923040706.6662195,0.0,0.0,0.0,75776400.0,0.0,0.0,26888400.0,0.0,0.0,63554400.0,1.0,377.6144275348631,0,0.0,380.0,285,0.9301369863013698
2067,2444400.0,923040706.6662195,0.0,0.0,0.0,75776400.0,0.0,0.0,26888400.0,0.0,0.0,63554400.0,1.0,377.6144275348631,0,0.0,380.0,285,0.9301369863013698
2068,2549160.0,968680800.0,0.0,0.0,0.0,79023960.0,0.0,0.0,28040760.0,0.0,0.0,66278160.0,1.0,380.0,0,0.0,380.0,285,0.9699999999999999
2069,2444400.0,923040706.6662195,0.0,0.0,0.0,75776400.0,0.0,0.0,26888400.0,0.0,0.0,63554400.0,1.0,377.6144275348631,0,0.0,380.0,285,0.9301369863013698
2070,2444400.0,923040706.6662195,0.0,0.0,0.0,75776400.0,0.0,0.0,26888400.0,0.0,0.0,63554400.0,1.0,377.6144275348631,0,0.0,380.0,285,0.9301369863013698
2071,2549160.0,968680800.0,0.0,0.0,0.0,79023960.0,0.0,0.0,28040760.0,0.0,0.0,66278160.0,1.0,380.0,0,0.0,380.0,285,0.9699999999999999
