year,energy_mwh,revenue_market_pln,cfd_payment_pln,capacity_rev_pln,balancing_rev_pln,fuel_cost_pln,co2_cost_pln,co2_t,vom_cost_pln,start_cost_pln,cycling_cost_pln,fund_cost_pln,fom_multiplier,capture_price,x_hours_at_min,x_curtailed_mwh,x_price_mean,x_neg_hours,x_avail_mean
2035,2352458.628,979130226.3465841,0.0,0.0,0.0,73058606.0865243,0.0,0.0,25877044.908,0.0,161370.0,61163924.328,1.5150000000000001,416.2157050043492,496,89289.0,400.0,295,0.9399999999999997
2036,2251878.252,929370864.3921741,0.0,0.0,0.0,69941007.23102194,0.0,0.0,24770660.772,0.0,164190.0,58548834.55199999,1.5150000000000001,412.7091966747118,498,89571.0,398.0,295,0.9013698630136984
2037,2251596.672,924670217.1964917,0.0,0.0,0.0,69932673.71331207,0.0,0.0,24767563.391999997,0.0,164550.0,58541513.471999995,1.5150000000000001,410.67311419284766,501,89856.0,395.99999999999994,293,0.9013698630136984
2038,2427109.932,995240948.69333,0.0,0.0,0.0,75378085.93031475,0.0,0.0,26698209.252,0.0,166590.0,63104858.232,1.01,410.0518627408139,502,92571.0,394.0,291,0.9699999999999999
2039,2323527.0239999997,944495775.5965725,0.0,0.0,0.0,72167127.85895225,0.0,0.0,25558797.264,0.0,169500.0,60411702.62399999,1.01,406.4922705183792,503,92652.0,392.0,291,0.9301369863013698
2040,2323255.818,939646875.11148,0.0,0.0,0.0,72159104.32470289,0.0,0.0,25555813.998,0.0,169500.0,60404651.268,1.01,404.4526082023913,504,92926.5,390.0,291,0.9301369863013698
2041,2426758.698,982661150.3305097,0.0,0.0,0.0,75367693.60470289,0.0,0.0,26694345.678,0.0,166590.0,63095726.147999994,1.01,404.9274248570179,504,92926.5,389.0,291,0.9699999999999999
2042,2323055.748,934791997.5015255,0.0,0.0,0.0,72153220.34487611,0.0,0.0,25553613.228,0.0,169905.0,60399449.44800001,1.01,402.39757410312717,506,93129.0,388.0,290,0.9301369863013698
2043,2322975.72,932365978.247102,0.0,0.0,0.0,72150851.5535136,0.0,0.0,25552732.92,0.0,169905.0,60397368.720000006,1.01,401.36707853627587,507,93210.0,387.0,290,0.9301369863013698
2044,2253686.292,902885033.5830907,0.0,0.0,0.0,70003360.61935635,0.0,0.0,24790549.211999997,0.0,172005.0,58595843.592,1.01,400.6258709511158,508,93501.0,386.0,290,0.9035616438356163
2045,2322504.444,927495344.2266148,0.0,0.0,0.0,72137020.03659646,0.0,0.0,25547548.884000003,0.0,172005.0,60385115.544,1.01,399.3513754614003,509,93687.0,385.0,290,0.9301369863013698
2046,2322296.964,925061296.0086904,0.0,0.0,0.0,72130957.41380171,0.0,0.0,25545266.604000002,0.0,172005.0,60379721.064,1.01,398.33893354247624,509,93897.0,384.0,290,0.9301369863013698
2047,2425592.364,967576444.2918813,0.0,0.0,0.0,75333408.07384798,0.0,0.0,26681516.004,0.0,169500.0,63065401.464,1.01,398.9031539892666,510,94107.0,383.0,289,0.9699999999999999
2048,2322089.484,920208308.81847,0.0,0.0,0.0,72124818.79384798,0.0,0.0,25542984.324,0.0,172410.0,60374326.58400001,1.01,396.284602793744,510,94107.0,382.0,289,0.9301369863013698
2049,2321467.0439999998,917749218.1005725,0.0,0.0,0.0,72106478.93114576,0.0,0.0,25536137.483999997,0.0,174915.0,60358143.143999994,1.01,395.3315729691541,512,94737.0,381.0,288,0.9301369863013698
2050,2424889.896,960027621.8036933,0.0,0.0,0.0,75312699.41978325,0.0,0.0,26673788.856000002,0.0,172005.0,63047137.296000004,1.01,395.9056546803696,513,94818.0,380.0,288,0.9699999999999999
2051,2320764.576,915275714.578845,0.0,0.0,0.0,72085846.27424,0.0,0.0,25528410.336,0.0,178065.0,60339878.975999996,1.01,394.38542109962174,514,95448.0,380.0,288,0.9301369863013698
2052,2320493.37,915247626.1118414,0.0,0.0,0.0,72077898.73714964,0.0,0.0,25525427.07,0.0,178065.0,60332827.620000005,1.01,394.4194100894335,514,95722.5,380.0,287,0.9301369863013698
2053,2423908.812,960042271.7800328,0.0,0.0,0.0,75283940.58281916,0.0,0.0,26662996.932,0.0,176205.0,63021629.111999996,1.01,396.0719425694438,513,95811.0,380.0,287,0.9699999999999999
2054,2216655.558,876922456.7324816,0.0,0.0,0.0,68859477.00576365,0.0,0.0,24383211.138000004,0.0,180165.0,57633044.508,1.01,395.606098370869,514,96061.5,380.0,287,0.8902739726027397
2055,2320078.41,915194180.0839818,0.0,0.0,0.0,72065697.49440114,0.0,0.0,25520862.51,0.0,180975.0,60322038.660000004,1.01,394.4669180745412,515,96142.5,380.0,287,0.9301369863013698
2056,2423029.986,960064419.0198337,0.0,0.0,0.0,75258086.4661215,0.0,0.0,26653329.846,0.0,179520.0,62998779.636,1.01,396.2247370304866,518,96700.5,380.0,287,0.9699999999999999
2057,2319095.844,915112099.1339754,0.0,0.0,0.0,72036812.06630611,0.0,0.0,25510054.284,0.0,183480.0,60296491.944,1.01,394.59865425638503,520,97137.0,380.0,286,0.9301369863013698
2058,2319095.844,915103561.2529434,0.0,0.0,0.0,72036812.06630611,0.0,0.0,25510054.284,0.0,183480.0,60296491.944,1.01,394.5949727004657,520,97137.0,380.0,285,0.9301369863013698
2059,2422454.97,960106823.1912388,0.0,0.0,0.0,75241147.64064799,0.0,0.0,26647004.67,0.0,180570.0,62983829.220000006,1.01,396.33629317420866,521,97282.5,380.0,285,0.9699999999999999
2060,2318600.856,915053534.6278338,0.0,0.0,0.0,72022166.03503612,0.0,0.0,25504609.416,0.0,183885.0,60283622.256000005,1.01,394.6576368502099,523,97638.0,380.0,285,0.9301369863013698
2061,2318584.554,915044271.983503,0.0,0.0,0.0,72021682.15796922,0.0,0.0,25504430.094,0.0,183885.0,60283198.404,1.01,394.65641673704647,524,97654.5,380.0,285,0.9301369863013698
2062,2422087.434,960136684.1972781,0.0,0.0,0.0,75230271.43796922,0.0,0.0,26642961.774,0.0,180975.0,62974273.283999994,1.01,396.4087632508142,524,97654.5,380.0,285,0.9699999999999999
2063,2318584.554,915044271.983503,0.0,0.0,0.0,72021682.15796922,0.0,0.0,25504430.094,0.0,183885.0,60283198.404,1.01,394.65641673704647,524,97654.5,380.0,285,0.9301369863013698
2064,2215081.674,876480726.6100413,0.0,0.0,0.0,68813092.87796922,0.0,0.0,24365898.414,0.0,183885.0,57592123.524000004,1.01,395.6877693937534,524,97654.5,380.0,285,0.8902739726027397
2065,2422087.434,960136684.1972781,0.0,0.0,0.0,75230271.43796922,0.0,0.0,26642961.774,0.0,180975.0,62974273.283999994,1.01,396.4087632508142,524,97654.5,380.0,285,0.9699999999999999
2066,2318584.554,915044271.983503,0.0,0.0,0.0,72021682.15796922,0.0,0.0,25504430.094,0.0,183885.0,60283198.404,1.01,394.65641673704647,524,97654.5,380.0,285,0.9301369863013698
2067,2318584.554,915044271.983503,0.0,0.0,0.0,72021682.15796922,0.0,0.0,25504430.094,0.0,183885.0,60283198.404,1.01,394.65641673704647,524,97654.5,380.0,285,0.9301369863013698
2068,2422087.434,960136684.1972781,0.0,0.0,0.0,75230271.43796922,0.0,0.0,26642961.774,0.0,180975.0,62974273.283999994,1.01,396.4087632508142,524,97654.5,380.0,285,0.9699999999999999
2069,2318584.554,915044271.983503,0.0,0.0,0.0,72021682.15796922,0.0,0.0,25504430.094,0.0,183885.0,60283198.404,1.01,394.65641673704647,524,97654.5,380.0,285,0.9301369863013698
2070,2318584.554,915044271.983503,0.0,0.0,0.0,72021682.15796922,0.0,0.0,25504430.094,0.0,183885.0,60283198.404,1.01,394.65641673704647,524,97654.5,380.0,285,0.9301369863013698
2071,2422087.434,960136684.1972781,0.0,0.0,0.0,75230271.43796922,0.0,0.0,26642961.774,0.0,180975.0,62974273.283999994,1.01,396.4087632508142,524,97654.5,380.0,285,0.9699999999999999
2072,2318584.554,915044271.983503,0.0,0.0,0.0,72021682.15796922,0.0,0.0,25504430.094,0.0,183885.0,60283198.404,1.01,394.65641673704647,524,97654.5,380.0,285,0.9301369863013698
2073,2318584.554,915044271.983503,0.0,0.0,0.0,72021682.15796922,0.0,0.0,25504430.094,0.0,183885.0,60283198.404,1.01,394.65641673704647,524,97654.5,380.0,285,0.9301369863013698
2074,2249582.634,887983700.3384483,0.0,0.0,0.0,69882622.63796923,0.0,0.0,24745408.974,0.0,183885.0,58489148.484000005,1.01,394.73264369911925,524,97654.5,380.0,285,0.9035616438356163
2075,2318584.554,915044271.983503,0.0,0.0,0.0,72021682.15796922,0.0,0.0,25504430.094,0.0,183885.0,60283198.404,1.01,394.65641673704647,524,97654.5,380.0,285,0.9301369863013698
2076,2318584.554,915044271.983503,0.0,0.0,0.0,72021682.15796922,0.0,0.0,25504430.094,0.0,183885.0,60283198.404,1.01,394.65641673704647,524,97654.5,380.0,285,0.9301369863013698
2077,2422087.434,960136684.1972781,0.0,0.0,0.0,75230271.43796922,0.0,0.0,26642961.774,0.0,180975.0,62974273.283999994,1.01,396.4087632508142,524,97654.5,380.0,285,0.9699999999999999
2078,2318584.554,915044271.983503,0.0,0.0,0.0,72021682.15796922,0.0,0.0,25504430.094,0.0,183885.0,60283198.404,1.01,394.65641673704647,524,97654.5,380.0,285,0.9301369863013698
2079,2318584.554,915044271.983503,0.0,0.0,0.0,72021682.15796922,0.0,0.0,25504430.094,0.0,183885.0,60283198.404,1.01,394.65641673704647,524,97654.5,380.0,285,0.9301369863013698
2080,2422087.434,960136684.1972781,0.0,0.0,0.0,75230271.43796922,0.0,0.0,26642961.774,0.0,180975.0,62974273.283999994,1.01,396.4087632508142,524,97654.5,380.0,285,0.9699999999999999
2081,2318584.554,915044271.983503,0.0,0.0,0.0,72021682.15796922,0.0,0.0,25504430.094,0.0,183885.0,60283198.404,1.01,394.65641673704647,524,97654.5,380.0,285,0.9301369863013698
2082,2318584.554,915044271.983503,0.0,0.0,0.0,72021682.15796922,0.0,0.0,25504430.094,0.0,183885.0,60283198.404,1.01,394.65641673704647,524,97654.5,380.0,285,0.9301369863013698
2083,2422087.434,960136684.1972781,0.0,0.0,0.0,75230271.43796922,0.0,0.0,26642961.774,0.0,180975.0,62974273.283999994,1.01,396.4087632508142,524,97654.5,380.0,285,0.9699999999999999
2084,2215081.674,876480726.6100413,0.0,0.0,0.0,68813092.87796922,0.0,0.0,24365898.414,0.0,183885.0,57592123.524000004,1.01,395.6877693937534,524,97654.5,380.0,285,0.8902739726027397
2085,2318584.554,915044271.983503,0.0,0.0,0.0,72021682.15796922,0.0,0.0,25504430.094,0.0,183885.0,60283198.404,1.01,394.65641673704647,524,97654.5,380.0,285,0.9301369863013698
2086,2422087.434,960136684.1972781,0.0,0.0,0.0,75230271.43796922,0.0,0.0,26642961.774,0.0,180975.0,62974273.283999994,1.01,396.4087632508142,524,97654.5,380.0,285,0.9699999999999999
2087,2318584.554,915044271.983503,0.0,0.0,0.0,72021682.15796922,0.0,0.0,25504430.094,0.0,183885.0,60283198.404,1.01,394.65641673704647,524,97654.5,380.0,285,0.9301369863013698
2088,2318584.554,915044271.983503,0.0,0.0,0.0,72021682.15796922,0.0,0.0,25504430.094,0.0,183885.0,60283198.404,1.01,394.65641673704647,524,97654.5,380.0,285,0.9301369863013698
2089,2422087.434,960136684.1972781,0.0,0.0,0.0,75230271.43796922,0.0,0.0,26642961.774,0.0,180975.0,62974273.283999994,1.01,396.4087632508142,524,97654.5,380.0,285,0.9699999999999999
2090,2318584.554,915044271.983503,0.0,0.0,0.0,72021682.15796922,0.0,0.0,25504430.094,0.0,183885.0,60283198.404,1.01,394.65641673704647,524,97654.5,380.0,285,0.9301369863013698
2091,2318584.554,915044271.983503,0.0,0.0,0.0,72021682.15796922,0.0,0.0,25504430.094,0.0,183885.0,60283198.404,1.01,394.65641673704647,524,97654.5,380.0,285,0.9301369863013698
2092,2422087.434,960136684.1972781,0.0,0.0,0.0,75230271.43796922,0.0,0.0,26642961.774,0.0,180975.0,62974273.283999994,1.01,396.4087632508142,524,97654.5,380.0,285,0.9699999999999999
2093,2318584.554,915044271.983503,0.0,0.0,0.0,72021682.15796922,0.0,0.0,25504430.094,0.0,183885.0,60283198.404,1.01,394.65641673704647,524,97654.5,380.0,285,0.9301369863013698
2094,2215081.674,876480726.6100413,0.0,0.0,0.0,68813092.87796922,0.0,0.0,24365898.414,0.0,183885.0,57592123.524000004,1.01,395.6877693937534,524,97654.5,380.0,285,0.8902739726027397
