year,capex,other_capex,capex_total,energy_mwh,revenue_market,cfd_payment,capacity_rev,balancing_rev,fuel,co2,co2_t,vom,start,cycling,fund,fom,sustaining,property_tax,licence_fee,fixed_other,staff_cost,revenue,opex,ebitda,depreciation_tax,decommissioning,ebit_tax,debt_draw,interest,principal,debt_service,taxable_income,cit,fcf_pretax,fcf_posttax,equity_cf,dscr,local_property_tax_host,local_property_tax_neighbours,local_cit_gmina,local_cit_powiat,local_cit_wojewodztwo,pit_paid_staff,local_pit_gmina,local_pit_powiat,local_pit_wojewodztwo,local_total,state_cit,state_fund_contribution,state_eua_revenue,cfd_cost_to_state,operating
2027,558.0,31.5,589.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-589.5,-589.5,-589.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.3261762,0.09319319999999999,0.0,0.4193694,0.0,0.0,0.0,0.0,False
2028,837.0,47.25,884.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-884.25,-884.25,-884.25,,0.0,0.0,0.0,0.0,0.0,0.0,0.48926430000000004,0.1397898,0.0,0.6290541000000001,0.0,0.0,0.0,0.0,False
2029,465.0,26.25,491.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-491.25,-491.25,-491.25,,0.0,0.0,0.0,0.0,0.0,0.0,0.2718135,0.077661,0.0,0.34947449999999997,0.0,0.0,0.0,0.0,False
2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2031,0.0,0.0,0.0,860638.5,496.4276246315567,0.0,0.0,4.5,202.02375647368424,158.70357907002068,317257.4518947399,13.770216,23.656074,0.0,0.0,30.0,0.0,5.58,2.5046381231577834,17.4,12.0,500.9276246315567,453.6382636668627,47.28936096469397,128.21625,0.0,-80.92688903530603,0.0,0.0,0.0,0.0,-80.92688903530603,0.0,47.28936096469397,47.28936096469397,47.28936096469397,,5.58,0.0,0.0,0.0,0.0,1.0942788844621512,0.3609741035856573,0.10313545816733065,0.018048705179282865,6.062158266932271,0.0,0.0,158.70357907002068,0.0,True
2032,0.0,0.0,0.0,812631.0,472.81496946089135,0.0,0.0,4.5,190.70956444736842,156.1297443199097,300269.8344561433,13.002096,23.464836,0.0,0.0,30.0,0.0,5.58,2.386574847304457,17.4,12.0,477.31496946089135,438.67281561458253,38.642153846308815,128.21625,0.0,-89.57409615369119,0.0,0.0,0.0,0.0,-89.57409615369119,0.0,38.642153846308815,38.642153846308815,38.642153846308815,,5.58,0.0,0.0,0.0,0.0,1.0942788844621512,0.3609741035856573,0.10313545816733065,0.018048705179282865,6.062158266932271,0.0,0.0,156.1297443199097,0.0,True
2033,0.0,0.0,0.0,739482.0,438.25606293390223,0.0,0.0,4.5,173.96365168421056,147.74894384123104,274412.63522807247,11.831712,23.479722,0.0,0.0,30.0,0.0,5.58,2.213780314669511,17.4,12.0,442.75606293390223,412.21780984011104,30.538253093791184,128.21625,0.0,-97.67799690620882,0.0,0.0,0.0,0.0,-97.67799690620882,0.0,30.538253093791184,30.538253093791184,30.538253093791184,,5.58,0.0,0.0,0.0,0.0,1.0942788844621512,0.3609741035856573,0.10313545816733065,0.018048705179282865,6.062158266932271,0.0,0.0,147.74894384123104,0.0,True
2034,0.0,0.0,0.0,661060.5,400.59871624916445,0.0,0.0,4.5,155.82231118421052,137.1193830152749,246647.80038596224,10.576967999999999,23.445168,0.0,0.0,30.0,0.0,5.58,2.025493581245822,17.4,12.0,405.09871624916445,381.96932378073126,23.129392468433196,128.21625,0.0,-105.0868575315668,0.0,0.0,0.0,0.0,-105.0868575315668,0.0,23.129392468433196,23.129392468433196,23.129392468433196,,5.58,0.0,0.0,0.0,0.0,1.0942788844621512,0.3609741035856573,0.10313545816733065,0.018048705179282865,6.062158266932271,0.0,0.0,137.1193830152749,0.0,True
2035,0.0,0.0,0.0,570429.0,355.1756570960492,0.0,0.0,4.5,134.5160247631579,122.72023180134472,213751.2656140326,9.126864,22.003674,0.0,0.0,30.0,0.0,5.58,1.798378285480246,17.4,12.0,359.6756570960492,343.1451728499828,16.53048424606635,128.21625,0.0,-111.68576575393365,0.0,0.0,0.0,0.0,-111.68576575393365,0.0,16.53048424606635,16.53048424606635,16.53048424606635,,5.58,0.0,0.0,0.0,0.0,1.0942788844621512,0.3609741035856573,0.10313545816733065,0.018048705179282865,6.062158266932271,0.0,0.0,122.72023180134472,0.0,True
2036,0.0,0.0,0.0,532078.5,335.10658634724507,0.0,0.0,4.5,125.76070113157895,116.15616628294616,199821.9887368397,8.513256,21.214278,0.0,0.0,30.0,0.0,5.58,1.6980329317362255,17.4,12.0,339.60658634724507,326.32243434626133,13.284152000983738,128.21625,0.0,-114.93209799901626,0.0,0.0,0.0,0.0,-114.93209799901626,0.0,13.284152000983738,13.284152000983738,13.284152000983738,,5.58,0.0,0.0,0.0,0.0,1.0942788844621512,0.3609741035856573,0.10313545816733065,0.018048705179282865,6.062158266932271,0.0,0.0,116.15616628294616,0.0,True
