year,capex,other_capex,capex_total,energy_mwh,revenue_market,cfd_payment,capacity_rev,balancing_rev,fuel,co2,co2_t,vom,start,cycling,fund,fom,sustaining,property_tax,licence_fee,fixed_other,staff_cost,revenue,opex,ebitda,depreciation_tax,decommissioning,ebit_tax,debt_draw,interest,principal,debt_service,taxable_income,cit,fcf_pretax,fcf_posttax,equity_cf,dscr,local_property_tax_host,local_property_tax_neighbours,local_cit_gmina,local_cit_powiat,local_cit_wojewodztwo,pit_paid_staff,local_pit_gmina,local_pit_powiat,local_pit_wojewodztwo,local_total,state_cit,state_fund_contribution,state_eua_revenue,cfd_cost_to_state,operating
2029,510.0,52.5,562.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-562.5,-562.5,-562.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.48926430000000004,0.1397898,0.0,0.6290541000000001,0.0,0.0,0.0,0.0,False
2030,510.0,52.5,562.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-562.5,-562.5,-562.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.48926430000000004,0.1397898,0.0,0.6290541000000001,0.0,0.0,0.0,0.0,False
2031,0.0,0.0,0.0,160455.0,143.14904037322944,0.0,0.0,12.0,55.244180769230766,43.21314716335384,84914.59723076971,3.2091,5.5887075,0.0,0.0,16.5,0.0,2.448,0.7757452018661473,10.5,6.0,155.14904037322944,137.47888063445075,17.670159738778693,75.9375,0.0,-58.26734026122131,0.0,0.0,0.0,0.0,-58.26734026122131,0.0,17.670159738778693,17.670159738778693,17.670159738778693,,2.448,0.0,0.0,0.0,0.0,0.5471394422310756,0.18048705179282865,0.051567729083665324,0.009024352589641432,2.6890791334661355,0.0,0.0,43.21314716335384,0.0,True
2032,0.0,0.0,0.0,146205.0,132.88546856109713,0.0,0.0,12.0,50.26314807692307,41.016031110865384,77404.4418461543,2.9240999999999997,5.1659925,0.0,0.0,16.5,0.0,2.448,0.7244273428054856,10.5,6.0,144.88546856109713,129.54169903059392,15.34376953050321,75.9375,0.0,-60.59373046949679,0.0,0.0,0.0,0.0,-60.59373046949679,0.0,15.34376953050321,15.34376953050321,15.34376953050321,,2.448,0.0,0.0,0.0,0.0,0.5471394422310756,0.18048705179282865,0.051567729083665324,0.009024352589641432,2.6890791334661355,0.0,0.0,41.016031110865384,0.0,True
2033,0.0,0.0,0.0,135945.0,125.34082406413324,0.0,0.0,12.0,46.66918846153846,39.66322166369999,72054.90276923121,2.7189,4.998607499999999,0.0,0.0,16.5,0.0,2.448,0.6867041203206662,10.5,6.0,137.34082406413324,124.18462174555913,13.156202318574117,75.9375,0.0,-62.78129768142588,0.0,0.0,0.0,0.0,-62.78129768142588,0.0,13.156202318574117,13.156202318574117,13.156202318574117,,2.448,0.0,0.0,0.0,0.0,0.5471394422310756,0.18048705179282865,0.051567729083665324,0.009024352589641432,2.6890791334661355,0.0,0.0,39.66322166369999,0.0,True
2034,0.0,0.0,0.0,125115.0,117.23971660162616,0.0,0.0,12.0,42.943032692307696,37.907447700357686,66339.96307692323,2.5023,4.6626224999999994,0.0,0.0,16.5,0.0,2.448,0.6461985830081308,10.5,6.0,129.23971660162616,118.10960147567351,11.130115125952642,75.9375,0.0,-64.80738487404736,0.0,0.0,0.0,0.0,-64.80738487404736,0.0,11.130115125952642,11.130115125952642,11.130115125952642,,2.448,0.0,0.0,0.0,0.0,0.5471394422310756,0.18048705179282865,0.051567729083665324,0.009024352589641432,2.6890791334661355,0.0,0.0,37.907447700357686,0.0,True
2035,0.0,0.0,0.0,114570.0,109.15855984196581,0.0,0.0,12.0,39.293826923076914,35.99816344513845,60735.50769230769,2.2914,4.2401504999999995,0.0,0.0,16.5,0.0,2.448,0.6057927992098291,10.5,6.0,121.15855984196581,111.87733366742518,9.281226174540635,75.9375,0.0,-66.65627382545937,0.0,0.0,0.0,0.0,-66.65627382545937,0.0,9.281226174540635,9.281226174540635,9.281226174540635,,2.448,0.0,0.0,0.0,0.0,0.5471394422310756,0.18048705179282865,0.051567729083665324,0.009024352589641432,2.6890791334661355,0.0,0.0,35.99816344513845,0.0,True
2036,0.0,0.0,0.0,111150.0,106.21878562912292,0.0,0.0,12.0,38.089263461538465,35.42249985059999,58958.346000000005,2.223,4.197271499999999,0.0,0.0,16.5,0.0,2.448,0.5910939281456146,10.5,6.0,118.21878562912292,109.97112874028406,8.247656888838861,75.9375,0.0,-67.68984311116114,0.0,0.0,0.0,0.0,-67.68984311116114,0.0,8.247656888838861,8.247656888838861,8.247656888838861,,2.448,0.0,0.0,0.0,0.0,0.5471394422310756,0.18048705179282865,0.051567729083665324,0.009024352589641432,2.6890791334661355,0.0,0.0,35.42249985059999,0.0,True
2037,0.0,0.0,0.0,106590.0,102.38371292064988,0.0,0.0,12.0,36.54829038461538,34.447709497181535,56522.59907692308,2.1317999999999997,3.988101,0.0,0.0,16.5,0.0,2.448,0.5719185646032494,10.5,6.0,114.38371292064988,107.13581944640015,7.247893474249736,75.9375,0.0,-68.68960652575026,0.0,0.0,0.0,0.0,-68.68960652575026,0.0,7.247893474249736,7.247893474249736,7.247893474249736,,2.448,0.0,0.0,0.0,0.0,0.5471394422310756,0.18048705179282865,0.051567729083665324,0.009024352589641432,2.6890791334661355,0.0,0.0,34.447709497181535,0.0,True
2038,0.0,0.0,0.0,98895.0,96.18850650024139,0.0,0.0,12.0,33.85109423076923,32.40474336278615,52420.17476923077,1.9779,3.6473774999999997,0.0,0.0,16.5,0.0,2.448,0.5409425325012069,10.5,6.0,108.18850650024139,101.87005762605659,6.318448874184796,75.9375,0.0,-69.6190511258152,0.0,0.0,0.0,0.0,-69.6190511258152,0.0,6.318448874184796,6.318448874184796,6.318448874184796,,2.448,0.0,0.0,0.0,0.0,0.5471394422310756,0.18048705179282865,0.051567729083665324,0.009024352589641432,2.6890791334661355,0.0,0.0,32.40474336278615,0.0,True
2039,0.0,0.0,0.0,96615.0,94.14495045181656,0.0,0.0,12.0,33.05199807692307,32.091326516870765,51265.49030769231,1.9323,3.6883125,0.0,0.0,16.5,0.0,2.448,0.5307247522590828,10.5,6.0,106.14495045181656,100.7426618460529,5.402288605763658,75.9375,0.0,-70.53521139423634,0.0,0.0,0.0,0.0,-70.53521139423634,0.0,5.402288605763658,5.402288605763658,5.402288605763658,,2.448,0.0,0.0,0.0,0.0,0.5471394422310756,0.18048705179282865,0.051567729083665324,0.009024352589641432,2.6890791334661355,0.0,0.0,32.091326516870765,0.0,True
2040,0.0,0.0,0.0,93195.0,91.19990513794546,0.0,0.0,12.0,31.882949999999994,31.373665902346147,49470.274615384624,1.8639,3.6036479999999997,0.0,0.0,16.5,0.0,2.448,0.5159995256897273,10.5,6.0,103.19990513794546,98.68816342803585,4.511741709909614,75.9375,0.0,-71.42575829009039,0.0,0.0,0.0,0.0,-71.42575829009039,0.0,4.511741709909614,4.511741709909614,4.511741709909614,,2.448,0.0,0.0,0.0,0.0,0.5471394422310756,0.18048705179282865,0.051567729083665324,0.009024352589641432,2.6890791334661355,0.0,0.0,31.373665902346147,0.0,True
2041,0.0,0.0,0.0,92625.0,90.57785390336635,0.0,0.0,12.0,31.699453846153844,31.181778037499996,49177.09,1.8524999999999998,3.6036479999999997,0.0,0.0,16.5,0.0,2.448,0.5128892695168318,10.5,6.0,102.57785390336635,98.29826915317068,4.279584750195667,59.06250000000001,0.0,-54.78291524980434,0.0,0.0,0.0,0.0,-54.78291524980434,0.0,4.279584750195667,4.279584750195667,4.279584750195667,,2.448,0.0,0.0,0.0,0.0,0.5471394422310756,0.18048705179282865,0.051567729083665324,0.009024352589641432,2.6890791334661355,0.0,0.0,31.181778037499996,0.0,True
2042,0.0,0.0,0.0,92055.0,89.92178510496606,0.0,0.0,12.0,31.52187692307692,30.98989017265384,48865.85138461538,1.8411,3.562713,0.0,0.0,16.5,0.0,2.448,0.5096089255248303,10.5,6.0,101.92178510496606,97.87318902125558,4.048596083710478,59.06250000000001,0.0,-55.01390391628953,0.0,0.0,0.0,0.0,-55.01390391628953,0.0,4.048596083710478,4.048596083710478,4.048596083710478,,2.448,0.0,0.0,0.0,0.0,0.5471394422310756,0.18048705179282865,0.051567729083665324,0.009024352589641432,2.6890791334661355,0.0,0.0,30.98989017265384,0.0,True
2043,0.0,0.0,0.0,91770.0,89.49783087290885,0.0,0.0,12.0,31.433088461538453,30.893946240230765,48719.259076923074,1.8354,3.562713,0.0,0.0,16.5,0.0,2.448,0.5074891543645442,10.5,6.0,101.49783087290885,97.68063685613377,3.817194016775076,59.06250000000001,0.0,-55.24530598322493,0.0,0.0,0.0,0.0,-55.24530598322493,0.0,3.817194016775076,3.817194016775076,3.817194016775076,,2.448,0.0,0.0,0.0,0.0,0.5471394422310756,0.18048705179282865,0.051567729083665324,0.009024352589641432,2.6890791334661355,0.0,0.0,30.893946240230765,0.0,True
2044,0.0,0.0,0.0,91485.0,89.01665319408032,0.0,0.0,12.0,31.32950192307692,30.798002307807685,48554.612769230764,1.8296999999999999,3.5199555,0.0,0.0,16.5,0.0,2.448,0.5050832659704017,10.5,6.0,101.01665319408032,97.430242996855,3.5864101972253195,59.06250000000001,0.0,-55.47608980277469,0.0,0.0,0.0,0.0,-55.47608980277469,0.0,3.5864101972253195,3.5864101972253195,3.5864101972253195,,2.448,0.0,0.0,0.0,0.0,0.5471394422310756,0.18048705179282865,0.051567729083665324,0.009024352589641432,2.6890791334661355,0.0,0.0,30.798002307807685,0.0,True
2045,0.0,0.0,0.0,89205.0,87.26743698975616,0.0,0.0,12.0,30.580719230769226,30.03045084842307,47399.92830769232,1.7841,3.5608904999999997,0.0,0.0,16.5,0.0,2.448,0.4963371849487808,10.5,6.0,99.26743698975616,95.90049776414108,3.3669392256150843,22.499999999999886,0.0,-19.133060774384802,0.0,0.0,0.0,0.0,-19.133060774384802,0.0,3.3669392256150843,3.3669392256150843,3.3669392256150843,,2.448,0.0,0.0,0.0,0.0,0.5471394422310756,0.18048705179282865,0.051567729083665324,0.009024352589641432,2.6890791334661355,0.0,0.0,30.03045084842307,0.0,True
2046,0.0,0.0,0.0,88065.0,86.13045681304958,0.0,0.0,12.0,30.162426923076918,29.646675118730762,46777.45107692308,1.7612999999999999,3.4751325,0.0,0.0,16.5,0.0,2.448,0.4906522840652479,10.5,6.0,98.13045681304958,94.98418682587291,3.146269987176666,7.875,0.0,-4.728730012823334,0.0,0.0,0.0,0.0,-4.728730012823334,0.0,3.146269987176666,3.146269987176666,3.146269987176666,,2.448,0.0,0.0,0.0,0.0,0.5471394422310756,0.18048705179282865,0.051567729083665324,0.009024352589641432,2.6890791334661355,0.0,0.0,29.646675118730762,0.0,True
2047,0.0,0.0,0.0,88065.0,85.90473689597923,0.0,0.0,12.0,30.162426923076918,29.646675118730762,46777.45107692308,1.7612999999999999,3.4751325,0.0,0.0,16.5,0.0,2.448,0.48952368447989614,10.5,6.0,97.90473689597923,94.98305822628755,2.921678669691673,7.875,0.0,-4.953321330308327,0.0,0.0,0.0,0.0,-4.953321330308327,0.0,2.921678669691673,2.921678669691673,2.921678669691673,,2.448,0.0,0.0,0.0,0.0,0.5471394422310756,0.18048705179282865,0.051567729083665324,0.009024352589641432,2.6890791334661355,0.0,0.0,29.646675118730762,0.0,True
2048,0.0,0.0,0.0,86925.0,84.84091867140864,0.0,0.0,12.0,29.771757692307688,29.262899389038456,46173.027846153855,1.7385,3.4331039999999997,0.0,0.0,16.5,0.0,2.448,0.48420459335704324,10.5,6.0,96.84091867140864,94.13846567470318,2.7024529967054605,7.875,0.0,-5.1725470032945395,0.0,0.0,0.0,0.0,-5.1725470032945395,0.0,2.7024529967054605,2.7024529967054605,2.7024529967054605,,2.448,0.0,0.0,0.0,0.0,0.5471394422310756,0.18048705179282865,0.051567729083665324,0.009024352589641432,2.6890791334661355,0.0,0.0,29.262899389038456,0.0,True
2049,0.0,0.0,0.0,85785.0,83.81004115260606,0.0,0.0,12.0,29.410684615384607,28.879123659346146,45568.60461538462,1.7157,3.392169,0.0,0.0,16.5,0.0,2.448,0.4790502057630303,10.5,6.0,95.81004115260606,93.32472748049378,2.4853136721122837,7.875,0.0,-5.389686327887716,0.0,0.0,0.0,0.0,-5.389686327887716,0.0,2.4853136721122837,2.4853136721122837,2.4853136721122837,,2.448,0.0,0.0,0.0,0.0,0.5471394422310756,0.18048705179282865,0.051567729083665324,0.009024352589641432,2.6890791334661355,0.0,0.0,28.879123659346146,0.0,True
2050,0.0,0.0,0.0,85785.0,83.5883696960566,0.0,0.0,12.0,29.410684615384607,28.879123659346146,45568.60461538462,1.7157,3.392169,0.0,0.0,16.5,0.0,2.448,0.47794184848028304,10.5,6.0,95.5883696960566,93.32361912321103,2.2647505728455712,7.875,0.0,-5.610249427154429,0.0,0.0,0.0,0.0,-5.610249427154429,0.0,2.2647505728455712,2.2647505728455712,2.2647505728455712,,2.448,0.0,0.0,0.0,0.0,0.5471394422310756,0.18048705179282865,0.051567729083665324,0.009024352589641432,2.6890791334661355,0.0,0.0,28.879123659346146,0.0,True
2051,0.0,0.0,0.0,85785.0,83.58667210080006,0.0,0.0,12.0,29.410684615384607,28.879123659346146,45568.60461538462,1.7157,3.392169,0.0,0.0,16.5,0.0,2.448,0.4779333605040003,10.5,6.0,95.58667210080006,93.32361063523474,2.2630614655653147,7.875,0.0,-5.611938534434685,0.0,0.0,0.0,0.0,-5.611938534434685,0.0,2.2630614655653147,2.2630614655653147,2.2630614655653147,,2.448,0.0,0.0,0.0,0.0,0.5471394422310756,0.18048705179282865,0.051567729083665324,0.009024352589641432,2.6890791334661355,0.0,0.0,28.879123659346146,0.0,True
