year,energy_mwh,revenue_market_pln,cfd_payment_pln,capacity_rev_pln,balancing_rev_pln,fuel_cost_pln,co2_cost_pln,co2_t,vom_cost_pln,start_cost_pln,cycling_cost_pln,fund_cost_pln,fom_multiplier,capture_price,x_starts,x_running_hours,x_price_mean,x_gas_mean,x_eua,x_srmc_full
2031,160455.0,143149040.37322944,0.0,0.0,12000000.0,55244180.76923077,43213147.16335384,84914.59723076971,3209100.0,5588707.5,0.0,0.0,1.0,892.1444665060574,"{'ocgt1': {'hot': 6, 'warm': 84, 'cold': 42}, 'ocgt2': {'hot': 6, 'warm': 84, 'cold': 42}}","[563.0, 563.0]",408.0,135.05917808219178,523.596,635.6218863645943
2032,146205.0,132885468.56109715,0.0,0.0,12000000.0,50263148.07692307,41016031.110865384,77404.4418461543,2924100.0,5165992.5,0.0,0.0,1.0,908.8982494517776,"{'ocgt1': {'hot': 5, 'warm': 75, 'cold': 42}, 'ocgt2': {'hot': 5, 'warm': 75, 'cold': 42}}","[513.0, 513.0]",406.0,135.05917808219178,545.4125,646.8433989286968
2033,135945.0,125340824.06413326,0.0,0.0,12000000.0,46669188.461538464,39663221.66369999,72054.90276923121,2718900.0,4998607.5,0.0,0.0,1.0,921.996572614905,"{'ocgt1': {'hot': 4, 'warm': 72, 'cold': 42}, 'ocgt2': {'hot': 4, 'warm': 72, 'cold': 42}}","[477.0, 477.0]",404.0,135.05917808219178,567.2289999999999,658.0649114927994
2034,125115.0,117239716.60162616,0.0,0.0,12000000.0,42943032.692307696,37907447.70035769,66339.96307692323,2502300.0,4662622.5,0.0,0.0,1.0,937.0556416227164,"{'ocgt1': {'hot': 3, 'warm': 67, 'cold': 40}, 'ocgt2': {'hot': 3, 'warm': 67, 'cold': 40}}","[439.0, 439.0]",402.0,135.05917808219178,589.0455,669.286424056902
2035,114570.0,109158559.84196581,0.0,0.0,12000000.0,39293826.92307691,35998163.445138454,60735.50769230769,2291400.0,4240150.5,0.0,0.0,1.0,952.7673897352345,"{'ocgt1': {'hot': 1, 'warm': 63, 'cold': 36}, 'ocgt2': {'hot': 1, 'warm': 63, 'cold': 36}}","[402.0, 402.0]",400.0,135.05917808219178,610.862,680.5079366210045
2036,111150.0,106218785.62912293,0.0,0.0,12000000.0,38089263.461538464,35422499.85059999,58958.346000000005,2223000.0,4197271.5,0.0,0.0,1.0,955.6345985526129,"{'ocgt1': {'hot': 1, 'warm': 61, 'cold': 37}, 'ocgt2': {'hot': 1, 'warm': 61, 'cold': 37}}","[390.0, 390.0]",398.0,135.05917808219178,619.5885999999999,684.9965416466455
2037,106590.0,102383712.92064989,0.0,0.0,12000000.0,36548290.38461538,34447709.497181535,56522.59907692308,2131800.0,3988101.0,0.0,0.0,1.0,960.5376950994454,"{'ocgt1': {'hot': 1, 'warm': 57, 'cold': 36}, 'ocgt2': {'hot': 1, 'warm': 57, 'cold': 36}}","[374.0, 374.0]",395.99999999999994,135.05917808219178,628.3152,689.4851466722866
2038,98895.0,96188506.5002414,0.0,0.0,12000000.0,33851094.23076923,32404743.362786148,52420.17476923077,1977900.0,3647377.5,0.0,0.0,1.0,972.6326558495515,"{'ocgt1': {'hot': 1, 'warm': 51, 'cold': 34}, 'ocgt2': {'hot': 1, 'warm': 51, 'cold': 34}}","[347.0, 347.0]",394.0,135.05917808219178,637.0418,693.9737516979276
2039,96615.0,94144950.45181656,0.0,0.0,12000000.0,33051998.076923072,32091326.516870767,51265.49030769231,1932300.0,3688312.5,0.0,0.0,1.0,974.4340987612334,"{'ocgt1': {'hot': 2, 'warm': 51, 'cold': 34}, 'ocgt2': {'hot': 2, 'warm': 51, 'cold': 34}}","[339.0, 339.0]",392.0,135.05917808219178,645.7683999999999,698.4623567235686
2040,93195.0,91199905.13794547,0.0,0.0,12000000.0,31882949.999999996,31373665.90234615,49470.274615384624,1863900.0,3603648.0,0.0,0.0,1.0,978.592254283443,"{'ocgt1': {'hot': 2, 'warm': 49, 'cold': 34}, 'ocgt2': {'hot': 2, 'warm': 49, 'cold': 34}}","[327.0, 327.0]",390.0,135.05917808219178,654.495,702.9509617492097
