year,capex,other_capex,capex_total,energy_mwh,revenue_market,cfd_payment,capacity_rev,balancing_rev,fuel,co2,co2_t,vom,start,cycling,fund,fom,sustaining,property_tax,licence_fee,fixed_other,staff_cost,revenue,opex,ebitda,depreciation_tax,decommissioning,ebit_tax,debt_draw,interest,principal,debt_service,taxable_income,cit,fcf_pretax,fcf_posttax,equity_cf,dscr,local_property_tax_host,local_property_tax_neighbours,local_cit_gmina,local_cit_powiat,local_cit_wojewodztwo,pit_paid_staff,local_pit_gmina,local_pit_powiat,local_pit_wojewodztwo,local_total,state_cit,state_fund_contribution,state_eua_revenue,cfd_cost_to_state,operating
2029,136.8,12.6,149.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-149.4,-149.4,-149.4,,0.0,0.0,0.0,0.0,0.0,0.0,0.117423432,0.033549551999999996,0.0,0.15097298399999998,0.0,0.0,0.0,0.0,False
2030,136.8,12.6,149.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-149.4,-149.4,-149.4,,0.0,0.0,0.0,0.0,0.0,0.0,0.117423432,0.033549551999999996,0.0,0.15097298399999998,0.0,0.0,0.0,0.0,False
2031,0.0,0.0,0.0,106505.63999999998,74.55189763857099,0.0,0.0,2.88,29.937029239285714,23.310000535489202,44763.14778000102,3.4081804799999995,0.6519308399999993,0.0,0.0,5.3999999999999995,0.0,0.65664,0.38715948819285495,2.52,12.0,77.43189763857099,66.27094058296777,11.16095705560322,20.169000000000004,0.0,-9.008042944396784,0.0,0.0,0.0,0.0,-9.008042944396784,0.0,11.16095705560322,11.16095705560322,11.16095705560322,,0.65664,0.0,0.0,0.0,0.0,1.0942788844621512,0.3609741035856573,0.10313545816733065,0.018048705179282865,1.138798266932271,0.0,0.0,23.310000535489202,0.0,True
2032,0.0,0.0,0.0,96929.63999999998,69.08008214841118,0.0,0.0,2.88,27.260807174999997,22.098526095176247,40753.95618000098,3.1017484799999995,0.6326951399999992,0.0,0.0,5.3999999999999995,0.0,0.65664,0.3598004107420559,2.52,12.0,71.96008214841117,62.0302173009183,9.929864847492873,20.169000000000004,0.0,-10.239135152507131,0.0,0.0,0.0,0.0,-10.239135152507131,0.0,9.929864847492873,9.929864847492873,9.929864847492873,,0.65664,0.0,0.0,0.0,0.0,1.0942788844621512,0.3609741035856573,0.10313545816733065,0.018048705179282865,1.138798266932271,0.0,0.0,22.098526095176247,0.0,True
2033,0.0,0.0,0.0,85691.51999999997,62.60111653524919,0.0,0.0,2.88,24.104021367857143,20.317725842375182,36040.24591714378,2.742128639999999,0.5904835199999984,0.0,0.0,5.3999999999999995,0.0,0.65664,0.3274055826762459,2.52,12.0,65.48111653524919,56.658404952908576,8.82271158234061,20.169000000000004,0.0,-11.346288417659395,0.0,0.0,0.0,0.0,-11.346288417659395,0.0,8.82271158234061,8.82271158234061,8.82271158234061,,0.65664,0.0,0.0,0.0,0.0,1.0942788844621512,0.3609741035856573,0.10313545816733065,0.018048705179282865,1.138798266932271,0.0,0.0,20.317725842375182,0.0,True
2034,0.0,0.0,0.0,77469.84,57.704769173124845,0.0,0.0,2.88,21.77342022857143,19.07474889716492,32589.008888572025,2.47903488,0.5518371599999979,0.0,0.0,5.3999999999999995,0.0,0.65664,0.30292384586562426,2.52,12.0,60.58476917312485,52.75860501160197,7.826164161522875,20.169000000000004,0.0,-12.342835838477129,0.0,0.0,0.0,0.0,-12.342835838477129,0.0,7.826164161522875,7.826164161522875,7.826164161522875,,0.65664,0.0,0.0,0.0,0.0,1.0942788844621512,0.3609741035856573,0.10313545816733065,0.018048705179282865,1.138798266932271,0.0,0.0,19.07474889716492,0.0,True
2035,0.0,0.0,0.0,70794.0,53.6599457015195,0.0,0.0,2.88,19.91012544642857,18.075453092777998,29786.503662857707,2.265408,0.5250286799999957,0.0,0.0,5.3999999999999995,0.0,0.65664,0.2826997285075975,2.52,12.0,56.5399457015195,49.63535494771417,6.90459075380533,20.169000000000004,0.0,-13.264409246194674,0.0,0.0,0.0,0.0,-13.264409246194674,0.0,6.90459075380533,6.90459075380533,6.90459075380533,,0.65664,0.0,0.0,0.0,0.0,1.0942788844621512,0.3609741035856573,0.10313545816733065,0.018048705179282865,1.138798266932271,0.0,0.0,18.075453092777998,0.0,True
2036,0.0,0.0,0.0,66402.72,50.88284128557421,0.0,0.0,2.88,18.669603503571427,17.196105570329845,27944.720554286265,2.12488704,0.5096158199999961,0.0,0.0,5.3999999999999995,0.0,0.65664,0.26881420642787107,2.52,12.0,53.76284128557421,47.345666140329136,6.417175145245075,20.169000000000004,0.0,-13.751824854754929,0.0,0.0,0.0,0.0,-13.751824854754929,0.0,6.417175145245075,6.417175145245075,6.417175145245075,,0.65664,0.0,0.0,0.0,0.0,1.0942788844621512,0.3609741035856573,0.10313545816733065,0.018048705179282865,1.138798266932271,0.0,0.0,17.196105570329845,0.0,True
2037,0.0,0.0,0.0,63461.51999999999,48.922939947686366,0.0,0.0,2.88,17.83651532142857,16.665993961901687,26706.878134286242,2.03076864,0.4865864399999966,0.0,0.0,5.3999999999999995,0.0,0.65664,0.25901469973843183,2.52,12.0,51.80293994768637,45.855519063068684,5.947420884617685,20.169000000000004,0.0,-14.221579115382319,0.0,0.0,0.0,0.0,-14.221579115382319,0.0,5.947420884617685,5.947420884617685,5.947420884617685,,0.65664,0.0,0.0,0.0,0.0,1.0942788844621512,0.3609741035856573,0.10313545816733065,0.018048705179282865,1.138798266932271,0.0,0.0,16.665993961901687,0.0,True
2038,0.0,0.0,0.0,61108.55999999999,47.31356219100249,0.0,0.0,2.88,17.169347828571432,16.26999607172077,25717.570517143362,1.9554739199999995,0.47511791999999675,0.0,0.0,5.3999999999999995,0.0,0.65664,0.25096781095501247,2.52,12.0,50.19356219100249,44.697543551247215,5.4960186397552775,20.169000000000004,0.0,-14.672981360244727,0.0,0.0,0.0,0.0,-14.672981360244727,0.0,5.4960186397552775,5.4960186397552775,5.4960186397552775,,0.65664,0.0,0.0,0.0,0.0,1.0942788844621512,0.3609741035856573,0.10313545816733065,0.018048705179282865,1.138798266932271,0.0,0.0,16.26999607172077,0.0,True
2039,0.0,0.0,0.0,58030.56,45.275873738428686,0.0,0.0,2.88,16.303138167857142,15.662190163318488,24423.279257143346,1.8569779199999998,0.4538978999999973,0.0,0.0,5.3999999999999995,0.0,0.65664,0.24077936869214345,2.52,12.0,48.15587373842869,43.093623519867776,5.062250218560912,20.169000000000004,0.0,-15.106749781439092,0.0,0.0,0.0,0.0,-15.106749781439092,0.0,5.062250218560912,5.062250218560912,5.062250218560912,,0.65664,0.0,0.0,0.0,0.0,1.0942788844621512,0.3609741035856573,0.10313545816733065,0.018048705179282865,1.138798266932271,0.0,0.0,15.662190163318488,0.0,True
2040,0.0,0.0,0.0,54747.36,43.12268248659328,0.0,0.0,2.88,15.385839203571427,14.975806174261715,23043.231497143322,1.7519155199999998,0.43272647999999747,0.0,0.0,5.3999999999999995,0.0,0.65664,0.2300134124329664,2.52,12.0,46.00268248659328,41.35294079026611,4.649741696327169,20.169000000000004,0.0,-15.519258303672835,0.0,0.0,0.0,0.0,-15.519258303672835,0.0,4.649741696327169,4.649741696327169,4.649741696327169,,0.65664,0.0,0.0,0.0,0.0,1.0942788844621512,0.3609741035856573,0.10313545816733065,0.018048705179282865,1.138798266932271,0.0,0.0,14.975806174261715,0.0,True
2041,0.0,0.0,0.0,54336.95999999999,42.779172591210106,0.0,0.0,2.88,15.272145578571427,14.863551773326714,22870.99633714332,1.7387827199999997,0.4308053399999974,0.0,0.0,5.3999999999999995,0.0,0.65664,0.22829586295605053,2.52,12.0,45.65917259121011,41.1102212748542,4.548951316355911,15.687000000000003,0.0,-11.138048683644092,0.0,0.0,0.0,0.0,-11.138048683644092,0.0,4.548951316355911,4.548951316355911,4.548951316355911,,0.65664,0.0,0.0,0.0,0.0,1.0942788844621512,0.3609741035856573,0.10313545816733065,0.018048705179282865,1.138798266932271,0.0,0.0,14.863551773326714,0.0,True
2042,0.0,0.0,0.0,53851.31999999999,42.388501522709966,0.0,0.0,2.88,15.133772989285715,14.730450126503788,22666.90876285761,1.7232422399999996,0.4288501799999974,0.0,0.0,5.3999999999999995,0.0,0.65664,0.22634250761354985,2.52,12.0,45.26850152270997,40.81929804340306,4.4492034793069095,15.687000000000003,0.0,-11.237796520693093,0.0,0.0,0.0,0.0,-11.237796520693093,0.0,4.4492034793069095,4.4492034793069095,4.4492034793069095,,0.65664,0.0,0.0,0.0,0.0,1.0942788844621512,0.3609741035856573,0.10313545816733065,0.018048705179282865,1.138798266932271,0.0,0.0,14.730450126503788,0.0,True
2043,0.0,0.0,0.0,53646.119999999995,42.16211855603467,0.0,0.0,2.88,15.073367239285714,14.674322926036286,22580.4301028576,1.7166758399999997,0.4268950199999974,0.0,0.0,5.3999999999999995,0.0,0.65664,0.22521059278017336,2.52,12.0,45.04211855603467,40.69311161810217,4.349006937932501,15.687000000000003,0.0,-11.337993062067502,0.0,0.0,0.0,0.0,-11.337993062067502,0.0,4.349006937932501,4.349006937932501,4.349006937932501,,0.65664,0.0,0.0,0.0,0.0,1.0942788844621512,0.3609741035856573,0.10313545816733065,0.018048705179282865,1.138798266932271,0.0,0.0,14.674322926036286,0.0,True
2044,0.0,0.0,0.0,53235.719999999994,41.81142893379974,0.0,0.0,2.88,14.951016739285715,14.562068525101287,22408.1949428576,1.7035430399999998,0.4249058399999973,0.0,0.0,5.3999999999999995,0.0,0.65664,0.22345714466899871,2.52,12.0,44.69142893379974,40.441631289056005,4.249797644743737,15.687000000000003,0.0,-11.437202355256266,0.0,0.0,0.0,0.0,-11.437202355256266,0.0,4.249797644743737,4.249797644743737,4.249797644743737,,0.65664,0.0,0.0,0.0,0.0,1.0942788844621512,0.3609741035856573,0.10313545816733065,0.018048705179282865,1.138798266932271,0.0,0.0,14.562068525101287,0.0,True
2045,0.0,0.0,0.0,53030.52,41.58813836875524,0.0,0.0,2.88,14.890803364285714,14.505941324633788,22322.4384428576,1.69697664,0.4249058399999973,0.0,0.0,5.3999999999999995,0.0,0.65664,0.22234069184377622,2.52,12.0,44.46813836875524,40.31760786076328,4.150530507991959,5.975999999999971,0.0,-1.8254694920080112,0.0,0.0,0.0,0.0,-1.8254694920080112,0.0,4.150530507991959,4.150530507991959,4.150530507991959,,0.65664,0.0,0.0,0.0,0.0,1.0942788844621512,0.3609741035856573,0.10313545816733065,0.018048705179282865,1.138798266932271,0.0,0.0,14.505941324633788,0.0,True
2046,0.0,0.0,0.0,52483.31999999999,41.158076314631025,0.0,0.0,2.88,14.729785489285714,14.356268790053786,22093.0322828576,1.6794662399999998,0.4229701199999974,0.0,0.0,5.3999999999999995,0.0,0.65664,0.22019038157315515,2.52,12.0,44.03807631463103,39.98532102091266,4.05275529371837,2.0916,0.0,1.9611552937183698,0.0,0.0,0.0,0.0,0.0,0.0,4.05275529371837,4.05275529371837,4.05275529371837,,0.65664,0.0,0.0,0.0,0.0,1.0942788844621512,0.3609741035856573,0.10313545816733065,0.018048705179282865,1.138798266932271,0.0,0.0,14.356268790053786,0.0,True
2047,0.0,0.0,0.0,51867.72,40.68799450365136,0.0,0.0,2.88,14.550876739285714,14.187887188651285,21834.3184628572,1.65976704,0.4190695199999976,0.0,0.0,5.3999999999999995,0.0,0.65664,0.21783997251825682,2.52,12.0,43.56799450365136,39.61208046045526,3.9559140431961026,2.0916,0.0,1.8643140431961025,0.0,0.0,0.0,0.0,0.0,0.0,3.9559140431961026,3.9559140431961026,3.9559140431961026,,0.65664,0.0,0.0,0.0,0.0,1.0942788844621512,0.3609741035856573,0.10313545816733065,0.018048705179282865,1.138798266932271,0.0,0.0,14.187887188651285,0.0,True
2048,0.0,0.0,0.0,51730.92,40.50815301280953,0.0,0.0,2.88,14.511439864285714,14.150469055006287,21777.1474628572,1.6553894399999998,0.4190695199999976,0.0,0.0,5.3999999999999995,0.0,0.65664,0.21694076506404766,2.52,12.0,43.38815301280953,39.529948644356054,3.858204368453478,2.0916,0.0,1.766604368453478,0.0,0.0,0.0,0.0,0.0,0.0,3.858204368453478,3.858204368453478,3.858204368453478,,0.65664,0.0,0.0,0.0,0.0,1.0942788844621512,0.3609741035856573,0.10313545816733065,0.018048705179282865,1.138798266932271,0.0,0.0,14.150469055006287,0.0,True
2049,0.0,0.0,0.0,50910.119999999995,39.9157592944775,0.0,0.0,2.88,14.277511864285714,13.925960253136283,21430.5106628572,1.6291238399999999,0.409371479999998,0.0,0.0,5.3999999999999995,0.0,0.65664,0.21397879647238754,2.52,12.0,42.795759294477506,39.032586233894385,3.763173060583121,2.0916,0.0,1.6715730605831207,0.0,0.0,0.0,0.0,0.0,0.0,3.763173060583121,3.763173060583121,3.763173060583121,,0.65664,0.0,0.0,0.0,0.0,1.0942788844621512,0.3609741035856573,0.10313545816733065,0.018048705179282865,1.138798266932271,0.0,0.0,13.925960253136283,0.0,True
2050,0.0,0.0,0.0,50773.31999999999,39.73389871736653,0.0,0.0,2.88,14.236728364285714,13.888542119491285,21372.617502857196,1.6247462399999997,0.40741631999999806,0.0,0.0,5.3999999999999995,0.0,0.65664,0.21306949358683266,2.52,12.0,42.61389871736653,38.94714253736384,3.666756180002693,2.0916,0.0,1.575156180002693,0.0,0.0,0.0,0.0,0.6624214339986874,0.1258600724597506,3.666756180002693,3.5408961075429426,3.5408961075429426,,0.65664,0.0,0.010598742943978999,0.011261164377977686,0.01523569298196981,1.0942788844621512,0.3609741035856573,0.10313545816733065,0.018048705179282865,1.1758938672361974,0.1258600724597506,0.0,13.888542119491285,0.0,True
2051,0.0,0.0,0.0,50773.31999999999,39.741176814886316,0.0,0.0,2.88,14.236728364285714,13.888542119491285,21372.617502857196,1.6247462399999997,0.40741631999999806,0.0,0.0,5.3999999999999995,0.0,0.65664,0.2131058840744316,2.52,12.0,42.62117681488632,38.94717892785144,3.6739978870348793,2.0916,0.0,1.5823978870348792,0.0,0.0,0.0,0.0,1.5823978870348792,0.30065559853662704,3.6739978870348793,3.373342288498252,3.373342288498252,,0.65664,0.0,0.02531836619255807,0.026900764079592947,0.03639515140180222,1.0942788844621512,0.3609741035856573,0.10313545816733065,0.018048705179282865,1.2274125486062242,0.30065559853662704,0.0,13.888542119491285,0.0,True
2052,0.0,0.0,0.0,50841.719999999994,39.78901564132671,0.0,0.0,2.88,14.256350614285715,13.907251186313784,21401.203002857197,1.6269350399999998,0.40741631999999806,0.0,0.0,5.3999999999999995,0.0,0.65664,0.2133450782066336,2.52,12.0,42.669015641326716,38.987938238806144,3.6810774025205717,2.0916,0.0,1.5894774025205716,0.0,0.0,0.0,0.0,1.5894774025205716,0.3020007064789086,3.6810774025205717,3.379076696041663,3.379076696041663,,0.65664,0.0,0.025431638440329144,0.02702111584284972,0.03655798025797315,1.0942788844621512,0.3609741035856573,0.10313545816733065,0.018048705179282865,1.2278090014734229,0.3020007064789086,0.0,13.907251186313784,0.0,True
