year,energy_mwh,revenue_market_pln,cfd_payment_pln,capacity_rev_pln,balancing_rev_pln,fuel_cost_pln,co2_cost_pln,co2_t,vom_cost_pln,start_cost_pln,cycling_cost_pln,fund_cost_pln,fom_multiplier,capture_price,x_starts,x_running_hours,x_price_mean,x_gas_mean,x_eua,x_srmc_full
2031,106505.63999999998,74551897.638571,0.0,0.0,2880000.0,29937029.239285715,23310000.5354892,44763.14778000102,3408180.4799999995,651930.8399999994,0.0,0.0,1.0,699.9807487995097,"{'engine1': {'hot': 68, 'warm': 243, 'cold': 27}, 'engine2': {'hot': 68, 'warm': 243, 'cold': 27}, 'engine3': {'hot': 68, 'warm': 243, 'cold': 27}, 'engine4': {'hot': 68, 'warm': 243, 'cold': 27}}","[1576.0, 1576.0, 1576.0, 1576.0]",408.0,135.05917808219178,523.596,532.1927826712329
2032,96929.63999999998,69080082.14841118,0.0,0.0,2880000.0,27260807.174999997,22098526.09517625,40753.95618000098,3101748.4799999995,632695.1399999992,0.0,0.0,1.0,712.6827474899442,"{'engine1': {'hot': 62, 'warm': 238, 'cold': 28}, 'engine2': {'hot': 62, 'warm': 238, 'cold': 28}, 'engine3': {'hot': 62, 'warm': 238, 'cold': 28}, 'engine4': {'hot': 62, 'warm': 238, 'cold': 28}}","[1436.0, 1436.0, 1436.0, 1436.0]",406.0,135.05917808219178,545.4125,541.3102616295662
2033,85691.51999999997,62601116.535249196,0.0,0.0,2880000.0,24104021.367857143,20317725.84237518,36040.24591714378,2742128.639999999,590483.5199999984,0.0,0.0,1.0,730.5403911057851,"{'engine1': {'hot': 54, 'warm': 220, 'cold': 32}, 'engine2': {'hot': 54, 'warm': 220, 'cold': 32}, 'engine3': {'hot': 54, 'warm': 220, 'cold': 32}, 'engine4': {'hot': 54, 'warm': 220, 'cold': 32}}","[1269.0, 1269.0, 1269.0, 1269.0]",404.0,135.05917808219178,567.2289999999999,550.4277405878995
2034,77469.84,57704769.17312485,0.0,0.0,2880000.0,21773420.22857143,19074748.897164922,32589.008888572025,2479034.88,551837.1599999979,0.0,0.0,1.0,744.8675403631253,"{'engine1': {'hot': 47, 'warm': 204, 'cold': 35}, 'engine2': {'hot': 47, 'warm': 204, 'cold': 35}, 'engine3': {'hot': 47, 'warm': 204, 'cold': 35}, 'engine4': {'hot': 47, 'warm': 204, 'cold': 35}}","[1147.0, 1147.0, 1147.0, 1147.0]",402.0,135.05917808219178,589.0455,559.5452195462328
2035,70794.0,53659945.7015195,0.0,0.0,2880000.0,19910125.44642857,18075453.092777997,29786.503662857707,2265408.0,525028.6799999957,0.0,0.0,1.0,757.9730725982357,"{'engine1': {'hot': 37, 'warm': 199, 'cold': 36}, 'engine2': {'hot': 37, 'warm': 199, 'cold': 36}, 'engine3': {'hot': 37, 'warm': 199, 'cold': 36}, 'engine4': {'hot': 37, 'warm': 199, 'cold': 36}}","[1044.0, 1044.0, 1044.0, 1044.0]",400.0,135.05917808219178,610.862,568.6626985045662
2036,66402.72,50882841.28557421,0.0,0.0,2880000.0,18669603.50357143,17196105.570329845,27944.720554286265,2124887.04,509615.8199999961,0.0,0.0,1.0,766.2764610481952,"{'engine1': {'hot': 32, 'warm': 196, 'cold': 36}, 'engine2': {'hot': 32, 'warm': 196, 'cold': 36}, 'engine3': {'hot': 32, 'warm': 196, 'cold': 36}, 'engine4': {'hot': 32, 'warm': 196, 'cold': 36}}","[978.0, 978.0, 978.0, 978.0]",398.0,135.05917808219178,619.5885999999999,572.3096900878995
2037,63461.51999999999,48922939.94768637,0.0,0.0,2880000.0,17836515.32142857,16665993.961901689,26706.878134286242,2030768.6399999997,486586.4399999966,0.0,0.0,1.0,770.9071567728976,"{'engine1': {'hot': 27, 'warm': 189, 'cold': 36}, 'engine2': {'hot': 27, 'warm': 189, 'cold': 36}, 'engine3': {'hot': 27, 'warm': 189, 'cold': 36}, 'engine4': {'hot': 27, 'warm': 189, 'cold': 36}}","[935.0, 935.0, 935.0, 935.0]",395.99999999999994,135.05917808219178,628.3152,575.9566816712329
2038,61108.55999999999,47313562.19100249,0.0,0.0,2880000.0,17169347.82857143,16269996.071720768,25717.570517143362,1955473.9199999997,475117.9199999968,0.0,0.0,1.0,774.2542483573905,"{'engine1': {'hot': 26, 'warm': 184, 'cold': 36}, 'engine2': {'hot': 26, 'warm': 184, 'cold': 36}, 'engine3': {'hot': 26, 'warm': 184, 'cold': 36}, 'engine4': {'hot': 26, 'warm': 184, 'cold': 36}}","[897.0, 897.0, 897.0, 897.0]",394.0,135.05917808219178,637.0418,579.6036732545663
2039,58030.56,45275873.73842869,0.0,0.0,2880000.0,16303138.167857144,15662190.163318489,24423.279257143346,1856977.92,453897.89999999735,0.0,0.0,1.0,780.2074241301254,"{'engine1': {'hot': 22, 'warm': 176, 'cold': 37}, 'engine2': {'hot': 22, 'warm': 176, 'cold': 37}, 'engine3': {'hot': 22, 'warm': 176, 'cold': 37}, 'engine4': {'hot': 22, 'warm': 176, 'cold': 37}}","[852.0, 852.0, 852.0, 852.0]",392.0,135.05917808219178,645.7683999999999,583.2506648378995
2040,54747.36,43122682.486593276,0.0,0.0,2880000.0,15385839.203571428,14975806.174261715,23043.231497143322,1751915.52,432726.4799999975,0.0,0.0,1.0,787.6668845144912,"{'engine1': {'hot': 19, 'warm': 162, 'cold': 43}, 'engine2': {'hot': 19, 'warm': 162, 'cold': 43}, 'engine3': {'hot': 19, 'warm': 162, 'cold': 43}, 'engine4': {'hot': 19, 'warm': 162, 'cold': 43}}","[804.0, 804.0, 804.0, 804.0]",390.0,135.05917808219178,654.495,586.8976564212329
