year,capex,other_capex,capex_total,energy_mwh,revenue_market,cfd_payment,capacity_rev,balancing_rev,fuel,co2,co2_t,vom,start,cycling,fund,fom,sustaining,property_tax,licence_fee,fixed_other,staff_cost,revenue,opex,ebitda,depreciation_tax,decommissioning,ebit_tax,debt_draw,interest,principal,debt_service,taxable_income,cit,fcf_pretax,fcf_posttax,equity_cf,dscr,local_property_tax_host,local_property_tax_neighbours,local_cit_gmina,local_cit_powiat,local_cit_wojewodztwo,pit_paid_staff,local_pit_gmina,local_pit_powiat,local_pit_wojewodztwo,local_total,state_cit,state_fund_contribution,state_eua_revenue,cfd_cost_to_state,operating
2027,558.0,31.5,589.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-589.5,-589.5,-589.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.3261762,0.09319319999999999,0.0,0.4193694,0.0,0.0,0.0,0.0,False
2028,837.0,47.25,884.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-884.25,-884.25,-884.25,,0.0,0.0,0.0,0.0,0.0,0.0,0.48926430000000004,0.1397898,0.0,0.6290541000000001,0.0,0.0,0.0,0.0,False
2029,465.0,26.25,491.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-491.25,-491.25,-491.25,,0.0,0.0,0.0,0.0,0.0,0.0,0.2718135,0.077661,0.0,0.34947449999999997,0.0,0.0,0.0,0.0,False
2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2031,0.0,0.0,0.0,860638.5,496.4276246315567,0.0,111.78,4.5,202.02375647368424,158.70357907002068,317257.4518947399,13.770216,23.656074,0.0,0.0,30.0,0.0,5.58,3.0635381231577834,17.4,12.0,612.7076246315567,454.1971636668627,158.51046096469395,128.21625,0.0,30.294210964693946,0.0,0.0,0.0,0.0,30.294210964693946,5.755900083291849,158.51046096469395,152.75456088140209,152.75456088140209,,5.58,0.0,0.4847073754351031,0.5150015863997971,0.6967668521879608,1.0942788844621512,0.3609741035856573,0.10313545816733065,0.018048705179282865,7.758634080955131,5.755900083291849,0.0,158.70357907002068,0.0,True
2032,0.0,0.0,0.0,812631.0,472.81496946089135,0.0,111.78,4.5,190.70956444736842,156.1297443199097,300269.8344561433,13.002096,23.464836,0.0,0.0,30.0,0.0,5.58,2.9454748473044567,17.4,12.0,589.0949694608913,439.2317156145825,149.8632538463088,128.21625,0.0,21.64700384630879,0.0,0.0,0.0,0.0,21.64700384630879,4.112930730798671,149.8632538463088,145.75032311551013,145.75032311551013,,5.58,0.0,0.34635206154094067,0.36799906538724947,0.4978810884651022,1.0942788844621512,0.3609741035856573,0.10313545816733065,0.018048705179282865,7.274390482325564,4.112930730798671,0.0,156.1297443199097,0.0,True
2033,0.0,0.0,0.0,739482.0,438.25606293390223,0.0,111.78,4.5,173.96365168421056,147.74894384123104,274412.63522807247,11.831712,23.479722,0.0,0.0,30.0,0.0,5.58,2.772680314669511,17.4,12.0,554.5360629339023,412.77670984011104,141.75935309379122,128.21625,0.0,13.543103093791217,0.0,0.0,0.0,0.0,13.543103093791217,2.5731895878203312,141.75935309379122,139.18616350597088,139.18616350597088,,5.58,0.0,0.21668964950065947,0.2302327525944507,0.311491371157198,1.0942788844621512,0.3609741035856573,0.10313545816733065,0.018048705179282865,6.820572040184579,2.5731895878203312,0.0,147.74894384123104,0.0,True
2034,0.0,0.0,0.0,661060.5,400.59871624916445,0.0,111.78,4.5,155.82231118421052,137.1193830152749,246647.80038596224,10.576967999999999,23.445168,0.0,0.0,30.0,0.0,5.58,2.584393581245822,17.4,12.0,516.8787162491644,382.52822378073125,134.35049246843317,128.21625,0.0,6.134242468433172,0.0,0.0,0.0,0.0,6.134242468433172,1.1655060690023027,134.35049246843317,133.18498639943087,133.18498639943087,,5.58,0.0,0.09814787949493076,0.10428212196336392,0.14108757677396294,1.0942788844621512,0.3609741035856573,0.10313545816733065,0.018048705179282865,6.405675845164529,1.1655060690023027,0.0,137.1193830152749,0.0,True
2035,0.0,0.0,0.0,570429.0,355.1756570960492,0.0,111.78,4.5,134.5160247631579,122.72023180134472,213751.2656140326,9.126864,22.003674,0.0,0.0,30.0,0.0,5.58,2.357278285480246,17.4,12.0,471.4556570960492,343.7040728499828,127.75158424606639,128.21625,0.0,-0.4646657539336161,0.0,0.0,0.0,0.0,-0.4646657539336161,0.0,127.75158424606639,127.75158424606639,127.75158424606639,,5.58,0.0,0.0,0.0,0.0,1.0942788844621512,0.3609741035856573,0.10313545816733065,0.018048705179282865,6.062158266932271,0.0,0.0,122.72023180134472,0.0,True
2036,0.0,0.0,0.0,532078.5,335.10658634724507,0.0,111.78,4.5,125.76070113157895,116.15616628294616,199821.9887368397,8.513256,21.214278,0.0,0.0,30.0,0.0,5.58,2.2569329317362254,17.4,12.0,451.38658634724504,326.8813343462613,124.50525200098372,128.21625,0.0,-3.7109979990162856,0.0,0.0,0.0,0.0,-3.7109979990162856,0.0,124.50525200098372,124.50525200098372,124.50525200098372,,5.58,0.0,0.0,0.0,0.0,1.0942788844621512,0.3609741035856573,0.10313545816733065,0.018048705179282865,6.062158266932271,0.0,0.0,116.15616628294616,0.0,True
