year,energy_mwh,revenue_market_pln,cfd_payment_pln,capacity_rev_pln,balancing_rev_pln,fuel_cost_pln,co2_cost_pln,co2_t,vom_cost_pln,start_cost_pln,cycling_cost_pln,fund_cost_pln,fom_multiplier,capture_price,x_starts,x_running_hours,x_price_mean,x_gas_mean,x_eua,x_srmc_full
2031,860638.5,496427624.6315567,0.0,111780000.0,4500000.0,202023756.47368425,158703579.07002068,317257.4518947399,13770216.0,23656074.0,0.0,0.0,1.0,576.8131737443267,"{'ccgt1': {'hot': 40, 'warm': 128, 'cold': 28}}",[3114.0],408.0,135.05917808219178,523.596,437.21497488103824
2032,812631.0,472814969.46089137,0.0,111780000.0,4500000.0,190709564.44736844,156129744.3199097,300269.8344561433,13002096.0,23464836.0,0.0,0.0,1.0,581.8323069891394,"{'ccgt1': {'hot': 40, 'warm': 124, 'cold': 30}}",[2944.0],406.0,135.05917808219178,545.4125,444.89285189858214
2033,739482.0,438256062.93390226,0.0,111780000.0,4500000.0,173963651.68421057,147748943.84123105,274412.63522807247,11831712.0,23479722.0,0.0,0.0,1.0,592.6527798295324,"{'ccgt1': {'hot': 35, 'warm': 128, 'cold': 30}}",[2678.0],404.0,135.05917808219178,567.2289999999999,452.570728916126
2034,661060.5,400598716.24916446,0.0,111780000.0,4500000.0,155822311.18421054,137119383.0152749,246647.80038596224,10576968.0,23445168.0,0.0,0.0,1.0,605.99402966773,"{'ccgt1': {'hot': 36, 'warm': 122, 'cold': 34}}",[2390.0],402.0,135.05917808219178,589.0455,460.2486059336698
2035,570429.0,355175657.0960492,0.0,111780000.0,4500000.0,134516024.7631579,122720231.80134472,213751.2656140326,9126864.0,22003674.0,0.0,0.0,1.0,622.6465644208994,"{'ccgt1': {'hot': 30, 'warm': 111, 'cold': 37}}",[2064.0],400.0,135.05917808219178,610.862,467.92648295121364
2036,532078.5,335106586.3472451,0.0,111780000.0,4500000.0,125760701.13157897,116156166.28294617,199821.9887368397,8513256.0,21214278.0,0.0,0.0,1.0,629.80666639837,"{'ccgt1': {'hot': 27, 'warm': 108, 'cold': 36}}",[1930.0],398.0,135.05917808219178,619.5885999999999,470.9976337582312
2037,503496.0,319772594.4204012,0.0,111780000.0,4500000.0,119108141.05263159,111471924.53316586,189546.30652631342,8055936.0,20908272.0,0.0,0.0,1.0,635.1045379117237,"{'ccgt1': {'hot': 27, 'warm': 103, 'cold': 38}}",[1827.0],395.99999999999994,135.05917808219178,628.3152,474.0687845652488
2038,467976.0,301206395.67517906,0.0,111780000.0,4500000.0,110753153.52631581,105023593.79735436,176849.24154385732,7487616.0,20803212.0,0.0,0.0,1.0,643.6364165580693,"{'ccgt1': {'hot': 23, 'warm': 104, 'cold': 39}}",[1696.0],394.0,135.05917808219178,637.0418,477.13993537226634
2039,439948.5,286565424.7496418,0.0,111780000.0,4500000.0,104283515.60526317,100058963.65677029,166933.4427719275,7039176.0,20843502.0,0.0,0.0,1.0,651.3612951280475,"{'ccgt1': {'hot': 23, 'warm': 103, 'cold': 40}}",[1592.0],392.0,135.05917808219178,645.7683999999999,480.2110861792838
2040,407037.0,268731571.3521206,0.0,111780000.0,4500000.0,96558765.63157897,93837216.28519897,154928.02547368198,6512592.0,20178864.0,0.0,0.0,1.0,660.2141116215985,"{'ccgt1': {'hot': 19, 'warm': 102, 'cold': 39}}",[1474.0],390.0,135.05917808219178,654.495,483.2822369863014
2041,400488.0,264560363.30376554,0.0,111780000.0,4500000.0,94962749.21052633,92335561.74235371,152489.22217543639,6407808.0,19985346.0,0.0,0.0,1.0,660.5949823809091,"{'ccgt1': {'hot': 17, 'warm': 102, 'cold': 39}}",[1451.0],389.0,135.05917808219178,654.495,483.2822369863014
2042,398268.0,262888877.19664976,0.0,111780000.0,4500000.0,94430387.36842106,91824215.1329853,151707.93796491006,6372288.0,19985346.0,0.0,0.0,1.0,660.0803408675811,"{'ccgt1': {'hot': 17, 'warm': 102, 'cold': 39}}",[1443.0],388.0,135.05917808219178,654.495,483.2822369863014
2043,394105.5,260259758.99990508,0.0,111780000.0,4500000.0,93529972.89473686,90865440.2404195,150170.81407017322,6305688.0,19869606.0,0.0,0.0,1.0,660.3809360689081,"{'ccgt1': {'hot': 17, 'warm': 101, 'cold': 39}}",[1428.0],387.0,135.05917808219178,654.495,483.2822369863014
2044,388944.0,257090809.7230296,0.0,111780000.0,4500000.0,92327623.81578949,89683377.3284295,148292.5294035066,6223104.0,19777950.0,0.0,0.0,1.0,660.9969808585031,"{'ccgt1': {'hot': 16, 'warm': 101, 'cold': 39}}",[1410.0],386.0,135.05917808219178,654.495,483.2822369863014
