year,capex,other_capex,capex_total,energy_mwh,revenue_market,cfd_payment,capacity_rev,balancing_rev,fuel,co2,co2_t,vom,start,cycling,fund,fom,sustaining,property_tax,licence_fee,fixed_other,staff_cost,revenue,opex,ebitda,depreciation_tax,decommissioning,ebit_tax,debt_draw,interest,principal,debt_service,taxable_income,cit,fcf_pretax,fcf_posttax,equity_cf,dscr,local_property_tax_host,local_property_tax_neighbours,local_cit_gmina,local_cit_powiat,local_cit_wojewodztwo,pit_paid_staff,local_pit_gmina,local_pit_powiat,local_pit_wojewodztwo,local_total,state_cit,state_fund_contribution,state_eua_revenue,cfd_cost_to_state,operating
2029,1650.0,920.0,2570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2570.0,-2570.0,-2570.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.063618043478261,0.3038908695652174,0.0,1.3675089130434783,0.0,0.0,0.0,0.0,False
2030,2969.9999999999995,35.99999999999999,3005.9999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3005.9999999999995,-3005.9999999999995,-3005.9999999999995,,0.0,0.0,0.0,0.0,0.0,0.0,1.9145124782608691,0.5470035652173911,0.0,2.46151604347826,0.0,0.0,0.0,0.0,False
2031,3795.0,46.0,3841.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3841.0,-3841.0,-3841.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.4463215,0.6989489999999999,0.0,3.1452704999999996,0.0,0.0,0.0,0.0,False
2032,3684.9999999999995,44.66666666666666,3729.666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3729.666666666666,-3729.666666666666,-3729.666666666666,,0.0,0.0,0.0,0.0,0.0,0.0,2.375413630434782,0.678689608695652,0.0,3.054103239130434,0.0,0.0,0.0,0.0,False
2033,2750.0,33.33333333333333,2783.3333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2783.3333333333335,-2783.3333333333335,-2783.3333333333335,,0.0,0.0,0.0,0.0,0.0,0.0,1.772696739130435,0.5064847826086957,0.0,2.2791815217391305,0.0,0.0,0.0,0.0,False
2034,1650.0000000000016,720.0,2370.000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2370.000000000002,-2370.000000000002,-2370.000000000002,,0.0,0.0,0.0,0.0,0.0,0.0,1.0636180434782618,0.3038908695652176,0.0,1.3675089130434794,0.0,0.0,0.0,0.0,False
2035,0.0,0.0,0.0,2359167.7199999997,1138.9803238468767,258.00090181823725,112.59599999999999,0.0,94.38726211922094,0.0,0.0,35.387515799999996,0.0,0.11903999999999999,82.57087019999999,451.656,94.60799999999999,132.0,7.54788612832557,0.0,95.0,1509.577225665114,898.2765742475464,611.3006514175676,1422.825,0.0,-811.5243485824325,0.0,0.0,0.0,0.0,-811.5243485824325,0.0,611.3006514175676,611.3006514175676,611.3006514175676,,66.0,66.0,0.0,0.0,0.0,14.873041168658695,2.8577116533864535,0.816489043824701,0.14288558266932266,135.81708627988047,0.0,82.57087019999999,0.0,258.00090181823725,True
2036,0.0,0.0,0.0,2228758.14,1078.9427213057643,241.60253600406065,112.59599999999999,0.0,89.17214289051763,0.0,0.0,33.4313721,0.0,0.13427999999999998,78.0065349,451.656,94.60799999999999,132.0,7.165706286549125,0.0,95.0,1433.141257309825,886.1740361770668,546.9672211327583,1422.825,0.0,-875.8577788672418,0.0,0.0,0.0,0.0,-875.8577788672418,0.0,546.9672211327583,546.9672211327583,546.9672211327583,,66.0,66.0,0.0,0.0,0.0,14.873041168658695,2.8577116533864535,0.816489043824701,0.14288558266932266,135.81708627988047,0.0,78.0065349,0.0,241.60253600406065,True
2037,0.0,0.0,0.0,2228120.16,1087.829419815787,232.76179485542337,112.59599999999999,0.0,89.14765745912725,0.0,0.0,33.421802400000004,0.0,0.14532,77.98420560000001,451.656,94.60799999999999,132.0,7.165936073356053,0.0,95.0,1433.1872146712105,886.1289215324832,547.0582931387273,1422.825,0.0,-875.7667068612727,0.0,0.0,0.0,0.0,-875.7667068612727,0.0,547.0582931387273,547.0582931387273,547.0582931387273,,66.0,66.0,0.0,0.0,0.0,14.873041168658695,2.8577116533864535,0.816489043824701,0.14288558266932266,135.81708627988047,0.0,77.98420560000001,0.0,232.76179485542337,True
2038,0.0,0.0,0.0,2434408.2,1205.75728732939,236.91668853071255,112.59599999999999,0.0,97.40093692525967,0.0,0.0,36.516123,0.0,0.1419,85.204287,250.92000000000002,94.60799999999999,132.0,7.776349879300512,0.0,95.0,1555.2699758601025,704.5675968045601,850.7023790555423,1422.825,0.0,-572.1226209444577,0.0,0.0,0.0,0.0,-572.1226209444577,0.0,850.7023790555423,850.7023790555423,850.7023790555423,,66.0,66.0,0.0,0.0,0.0,14.873041168658695,2.8577116533864535,0.816489043824701,0.14288558266932266,135.81708627988047,0.0,85.204287,0.0,236.91668853071255,True
