year,energy_mwh,revenue_market_pln,cfd_payment_pln,capacity_rev_pln,balancing_rev_pln,fuel_cost_pln,co2_cost_pln,co2_t,vom_cost_pln,start_cost_pln,cycling_cost_pln,fund_cost_pln,fom_multiplier,capture_price,x_hours_at_min,x_curtailed_mwh,x_price_mean,x_neg_hours,x_avail_mean
2035,2359167.7199999997,1138980323.8468766,258000901.81823725,112596000.0,0.0,94387262.11922094,0.0,0.0,35387515.8,0.0,119040.0,82570870.19999999,1.836,592.1500255459217,48,10446.0,480.0,291,0.92
2036,2228758.14,1078942721.3057644,241602536.00406066,112596000.0,0.0,89172142.89051764,0.0,0.0,33431372.1,0.0,134280.0,78006534.9,1.836,592.5027187157352,49,11037.0,484.0,291,0.8695890410958904
2037,2228120.16,1087829419.815787,232761794.8554234,112596000.0,0.0,89147657.45912725,0.0,0.0,33421802.400000002,0.0,145320.0,77984205.60000001,1.836,592.6929967148677,56,11688.0,488.0,290,0.8695890410958904
2038,2434408.2,1205757287.32939,236916688.53071254,112596000.0,0.0,97400936.92525968,0.0,0.0,36516123.0,0.0,141900.0,85204287.0,1.02,592.6179413378999,59,12510.0,492.0,290,0.9500000000000002
2039,2299954.65,1141689653.6640778,222088479.24038875,112596000.0,0.0,92023640.05428594,0.0,0.0,34499319.75,0.0,160500.0,80498412.75,1.02,592.9587059051215,61,12907.5,496.0,290,0.8979452054794522
2040,2299227.0,1150822396.3607144,213001071.10192788,112596000.0,0.0,91996089.09657663,0.0,0.0,34488405.0,0.0,166200.0,80472945.0,1.02,593.1660803664198,63,13650.0,500.0,289,0.8979452054794522
2041,2432835.3,1230329673.77988,212495185.70142174,112596000.0,0.0,97341111.65211475,0.0,0.0,36492529.5,0.0,157800.0,85149235.5,1.02,593.0631060315927,68,14115.0,502.0,288,0.9500000000000002
2042,2298249.45,1159929871.9956517,203958103.33624858,112596000.0,0.0,91958765.38931055,0.0,0.0,34473741.75,0.0,177600.0,80438730.75,1.02,593.4464491362762,70,14647.5,504.0,288,0.8979452054794522
2043,2297529.15,1164450960.9158306,199451514.21456075,112596000.0,0.0,91931405.0387607,0.0,0.0,34462937.25,0.0,183300.0,80413520.25,1.02,593.6388119952218,72,15382.5,506.0,288,0.8979452054794522
2044,2263741.2,1152071189.986881,192144833.96384585,112596000.0,0.0,90580475.64794035,0.0,0.0,33956118.0,0.0,187500.0,79230942.0,1.02,593.8028710838178,72,15660.0,508.0,287,0.8849315068493153
2045,2295897.45,1173437764.5672245,190492709.5393262,112596000.0,0.0,91869613.51362391,0.0,0.0,34438461.75,0.0,203100.0,80356410.75,1.02,594.0729077888695,77,17047.5,510.0,287,0.8979452054794522
2046,2295111.0,1178011568.8728201,185947230.51399356,112596000.0,0.0,91839912.38554075,0.0,0.0,34426665.0,0.0,219900.0,80328885.0,1.02,594.2888162650147,77,17850.0,512.0,287,0.8979452054794522
2047,2428748.7,1259872863.1430864,183103543.88884068,112596000.0,0.0,97186101.98545675,0.0,0.0,36431230.5,0.0,210000.0,85006204.5,1.02,594.1233883241716,82,18285.0,514.0,285,0.9500000000000002
