year,capex,other_capex,capex_total,energy_mwh,revenue_market,cfd_payment,capacity_rev,balancing_rev,fuel,co2,co2_t,vom,start,cycling,fund,fom,sustaining,property_tax,licence_fee,fixed_other,staff_cost,revenue,opex,ebitda,depreciation_tax,decommissioning,ebit_tax,debt_draw,interest,principal,debt_service,taxable_income,cit,fcf_pretax,fcf_posttax,equity_cf,dscr,local_property_tax_host,local_property_tax_neighbours,local_cit_gmina,local_cit_powiat,local_cit_wojewodztwo,pit_paid_staff,local_pit_gmina,local_pit_powiat,local_pit_wojewodztwo,local_total,state_cit,state_fund_contribution,state_eua_revenue,cfd_cost_to_state,operating
2029,1650.0,920.0,2570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2570.0,-2570.0,-2570.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.063618043478261,0.3038908695652174,0.0,1.3675089130434783,0.0,0.0,0.0,0.0,False
2030,2969.9999999999995,35.99999999999999,3005.9999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3005.9999999999995,-3005.9999999999995,-3005.9999999999995,,0.0,0.0,0.0,0.0,0.0,0.0,1.9145124782608691,0.5470035652173911,0.0,2.46151604347826,0.0,0.0,0.0,0.0,False
2031,3795.0,46.0,3841.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3841.0,-3841.0,-3841.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.4463215,0.6989489999999999,0.0,3.1452704999999996,0.0,0.0,0.0,0.0,False
2032,3684.9999999999995,44.66666666666666,3729.666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3729.666666666666,-3729.666666666666,-3729.666666666666,,0.0,0.0,0.0,0.0,0.0,0.0,2.375413630434782,0.678689608695652,0.0,3.054103239130434,0.0,0.0,0.0,0.0,False
2033,2750.0,33.33333333333333,2783.3333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2783.3333333333335,-2783.3333333333335,-2783.3333333333335,,0.0,0.0,0.0,0.0,0.0,0.0,1.772696739130435,0.5064847826086957,0.0,2.2791815217391305,0.0,0.0,0.0,0.0,False
2034,1650.0000000000016,720.0,2370.000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2370.000000000002,-2370.000000000002,-2370.000000000002,,0.0,0.0,0.0,0.0,0.0,0.0,1.0636180434782618,0.3038908695652176,0.0,1.3675089130434794,0.0,0.0,0.0,0.0,False
2035,0.0,0.0,0.0,2417760.0,1168.724889375,0.0,112.59599999999999,0.0,96.71039999999999,0.0,0.0,36.2664,0.0,0.0,84.6216,442.8,94.60799999999999,132.0,6.406604446875,0.0,95.0,1281.320889375,893.413004446875,387.907884928125,1422.825,0.0,-1034.917115071875,0.0,0.0,0.0,0.0,-1034.917115071875,0.0,387.907884928125,387.907884928125,387.907884928125,,66.0,66.0,0.0,0.0,0.0,14.873041168658695,2.8577116533864535,0.816489043824701,0.14288558266932266,135.81708627988047,0.0,84.6216,0.0,0.0,True
2036,0.0,0.0,0.0,2285280.0,1104.6851694092463,0.0,112.59599999999999,0.0,91.4112,0.0,0.0,34.279199999999996,0.0,0.0,79.98479999999999,442.8,94.60799999999999,132.0,6.086405847046231,0.0,95.0,1217.2811694092463,881.1696058470461,336.1115635622002,1422.825,0.0,-1086.7134364377998,0.0,0.0,0.0,0.0,-1086.7134364377998,0.0,336.1115635622002,336.1115635622002,336.1115635622002,,66.0,66.0,0.0,0.0,0.0,14.873041168658695,2.8577116533864535,0.816489043824701,0.14288558266932266,135.81708627988047,0.0,79.98479999999999,0.0,0.0,True
2037,0.0,0.0,0.0,2285280.0,1104.6851694092463,0.0,112.59599999999999,0.0,91.4112,0.0,0.0,34.279199999999996,0.0,0.0,79.98479999999999,442.8,94.60799999999999,132.0,6.086405847046231,0.0,95.0,1217.2811694092463,881.1696058470461,336.1115635622002,1422.825,0.0,-1086.7134364377998,0.0,0.0,0.0,0.0,-1086.7134364377998,0.0,336.1115635622002,336.1115635622002,336.1115635622002,,66.0,66.0,0.0,0.0,0.0,14.873041168658695,2.8577116533864535,0.816489043824701,0.14288558266932266,135.81708627988047,0.0,79.98479999999999,0.0,0.0,True
2038,0.0,0.0,0.0,2496600.0,1206.8354835937503,0.0,112.59599999999999,0.0,99.86399999999999,0.0,0.0,37.449,0.0,0.0,87.381,246.0,94.60799999999999,132.0,6.597157417968751,0.0,95.0,1319.4314835937503,703.8991574179687,615.5323261757816,1422.825,0.0,-807.2926738242185,0.0,0.0,0.0,0.0,-807.2926738242185,0.0,615.5323261757816,615.5323261757816,615.5323261757816,,66.0,66.0,0.0,0.0,0.0,14.873041168658695,2.8577116533864535,0.816489043824701,0.14288558266932266,135.81708627988047,0.0,87.381,0.0,0.0,True
