year,capex,other_capex,capex_total,energy_mwh,revenue_market,cfd_payment,capacity_rev,balancing_rev,fuel,co2,co2_t,vom,start,cycling,fund,fom,sustaining,property_tax,licence_fee,fixed_other,staff_cost,revenue,opex,ebitda,depreciation_tax,decommissioning,ebit_tax,debt_draw,interest,principal,debt_service,taxable_income,cit,fcf_pretax,fcf_posttax,equity_cf,dscr,local_property_tax_host,local_property_tax_neighbours,local_cit_gmina,local_cit_powiat,local_cit_wojewodztwo,pit_paid_staff,local_pit_gmina,local_pit_powiat,local_pit_wojewodztwo,local_total,state_cit,state_fund_contribution,state_eua_revenue,cfd_cost_to_state,operating
2029,1650.0,920.0,2570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2570.0,-2570.0,-2570.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.063618043478261,0.3038908695652174,0.0,1.3675089130434783,0.0,0.0,0.0,0.0,False
2030,2969.9999999999995,35.99999999999999,3005.9999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3005.9999999999995,-3005.9999999999995,-3005.9999999999995,,0.0,0.0,0.0,0.0,0.0,0.0,1.9145124782608691,0.5470035652173911,0.0,2.46151604347826,0.0,0.0,0.0,0.0,False
2031,3795.0,46.0,3841.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3841.0,-3841.0,-3841.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.4463215,0.6989489999999999,0.0,3.1452704999999996,0.0,0.0,0.0,0.0,False
2032,3684.9999999999995,44.66666666666666,3729.666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3729.666666666666,-3729.666666666666,-3729.666666666666,,0.0,0.0,0.0,0.0,0.0,0.0,2.375413630434782,0.678689608695652,0.0,3.054103239130434,0.0,0.0,0.0,0.0,False
2033,2750.0,33.33333333333333,2783.3333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2783.3333333333335,-2783.3333333333335,-2783.3333333333335,,0.0,0.0,0.0,0.0,0.0,0.0,1.772696739130435,0.5064847826086957,0.0,2.2791815217391305,0.0,0.0,0.0,0.0,False
2034,1650.0000000000016,720.0,2370.000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2370.000000000002,-2370.000000000002,-2370.000000000002,,0.0,0.0,0.0,0.0,0.0,0.0,1.0636180434782618,0.3038908695652176,0.0,1.3675089130434794,0.0,0.0,0.0,0.0,False
2035,0.0,0.0,0.0,2417760.0,1160.5248,0.0,112.59599999999999,0.0,96.71039999999999,0.0,0.0,36.2664,0.0,0.0,84.6216,442.8,94.60799999999999,132.0,6.365603999999999,0.0,95.0,1273.1208,893.372004,379.74879599999997,1422.825,0.0,-1043.076204,0.0,0.0,0.0,0.0,-1043.076204,0.0,379.74879599999997,379.74879599999997,379.74879599999997,,66.0,66.0,0.0,0.0,0.0,14.873041168658695,2.8577116533864535,0.816489043824701,0.14288558266932266,135.81708627988047,0.0,84.6216,0.0,0.0,True
2036,0.0,0.0,0.0,2285280.0,1099.2147121871274,0.0,112.59599999999999,0.0,91.4112,0.0,0.0,34.279199999999996,0.0,0.0,79.98479999999999,442.8,94.60799999999999,132.0,6.059053560935637,0.0,95.0,1211.8107121871274,881.1422535609355,330.66845862619186,1422.825,0.0,-1092.156541373808,0.0,0.0,0.0,0.0,-1092.156541373808,0.0,330.66845862619186,330.66845862619186,330.66845862619186,,66.0,66.0,0.0,0.0,0.0,14.873041168658695,2.8577116533864535,0.816489043824701,0.14288558266932266,135.81708627988047,0.0,79.98479999999999,0.0,0.0,True
2037,0.0,0.0,0.0,2285280.0,1108.2101596507352,0.0,112.59599999999999,0.0,91.4112,0.0,0.0,34.279199999999996,0.0,0.0,79.98479999999999,442.8,94.60799999999999,132.0,6.104030798253676,0.0,95.0,1220.8061596507353,881.1872307982536,339.61892885248164,1422.825,0.0,-1083.2060711475183,0.0,0.0,0.0,0.0,-1083.2060711475183,0.0,339.61892885248164,339.61892885248164,339.61892885248164,,66.0,66.0,0.0,0.0,0.0,14.873041168658695,2.8577116533864535,0.816489043824701,0.14288558266932266,135.81708627988047,0.0,79.98479999999999,0.0,0.0,True
2038,0.0,0.0,0.0,2496600.0,1228.3272000000002,0.0,112.59599999999999,0.0,99.86399999999999,0.0,0.0,37.449,0.0,0.0,87.381,246.0,94.60799999999999,132.0,6.7046160000000015,0.0,95.0,1340.9232000000002,704.0066159999999,636.9165840000003,1422.825,0.0,-785.9084159999998,0.0,0.0,0.0,0.0,-785.9084159999998,0.0,636.9165840000003,636.9165840000003,636.9165840000003,,66.0,66.0,0.0,0.0,0.0,14.873041168658695,2.8577116533864535,0.816489043824701,0.14288558266932266,135.81708627988047,0.0,87.381,0.0,0.0,True
