year,energy_mwh,revenue_market_pln,cfd_payment_pln,capacity_rev_pln,balancing_rev_pln,fuel_cost_pln,co2_cost_pln,co2_t,vom_cost_pln,start_cost_pln,cycling_cost_pln,fund_cost_pln,fom_multiplier,capture_price,x_hours_at_min,x_curtailed_mwh,x_price_mean,x_neg_hours,x_avail_mean
2035,2282242.62,1140657931.1092188,0.0,112596000.0,0.0,91457698.8264118,0.0,0.0,34233639.300000004,0.0,615840.0,79878491.7,1.836,499.79696335230955,514,88941.0,480.0,291,0.92
2036,2152476.9,1080651018.1301308,0.0,112596000.0,0.0,86266953.33430119,0.0,0.0,32287153.5,0.0,626880.0,75336691.5,1.836,502.049995579572,513,88875.0,484.0,291,0.8695890410958904
2037,2152606.26,1089550135.7782288,0.0,112596000.0,0.0,86271894.35008003,0.0,0.0,32289093.9,0.0,626880.0,75341219.1,1.836,506.15393814669517,511,88743.0,488.0,290,0.8695890410958904
2038,2357490.45,1207469996.2219915,0.0,112596000.0,0.0,94472085.12466559,0.0,0.0,35362356.75,0.0,630900.0,82512165.75,1.02,512.184469812801,511,90997.5,492.0,290,0.9500000000000002
2039,2223154.5,1143427184.5211906,0.0,112596000.0,0.0,89099235.73384525,0.0,0.0,33347317.5,0.0,646500.0,77810407.5,1.02,514.3264602263093,511,91275.0,496.0,290,0.8979452054794522
2040,2223228.0,1152609340.6425426,0.0,112596000.0,0.0,89102042.9961109,0.0,0.0,33348420.0,0.0,646500.0,77812980.0,1.02,518.4395575453991,510,91200.0,500.0,289,0.8979452054794522
2041,2357137.65,1232124723.9320312,0.0,112596000.0,0.0,94458761.08544394,0.0,0.0,35357064.75,0.0,635100.0,82499817.75,1.02,522.7207345875754,508,91357.5,502.0,288,0.9500000000000002
2042,2223000.15,1161718685.5352225,0.0,112596000.0,0.0,89093393.8231783,0.0,0.0,33345002.25,0.0,646500.0,77805005.25,1.02,522.5904665527001,509,91432.5,504.0,288,0.8979452054794522
2043,2222853.15,1166271538.899546,0.0,112596000.0,0.0,89087779.29864702,0.0,0.0,33342797.25,0.0,648000.0,77799860.25,1.02,524.6732285934164,511,91582.5,506.0,288,0.8979452054794522
2044,2189278.35,1153904413.7727728,0.0,112596000.0,0.0,87744897.16908221,0.0,0.0,32839175.25,0.0,648000.0,76624742.25,1.02,527.0706732073484,510,91642.5,508.0,287,0.8849315068493153
2045,2222801.7,1175395780.458483,0.0,112596000.0,0.0,89085819.73543262,0.0,0.0,33342025.500000004,0.0,648000.0,77798059.5,1.02,528.7902112268868,509,91635.0,510.0,287,0.8979452054794522
2046,2222801.7,1179959903.9860325,0.0,112596000.0,0.0,89085819.73543262,0.0,0.0,33342025.500000004,0.0,648000.0,77798059.5,1.02,530.8435313802543,509,91635.0,512.0,287,0.8979452054794522
2047,2356836.3,1261844857.8192763,0.0,112596000.0,0.0,94447304.65024573,0.0,0.0,35352544.5,0.0,635100.0,82489270.5,1.02,535.397752410414,508,91665.0,514.0,285,0.9500000000000002
2048,2222698.8,1189076665.4168017,0.0,112596000.0,0.0,89081937.38798009,0.0,0.0,33340481.999999996,0.0,646500.0,77794458.0,1.02,534.969769820725,509,91740.0,516.0,285,0.8979452054794522
2049,2222625.3,1193633516.9279938,0.0,112596000.0,0.0,89079130.12571445,0.0,0.0,33339379.499999996,0.0,646500.0,77791885.5,1.02,537.0376720394544,510,91815.0,518.0,285,0.8979452054794522
2050,2356828.95,1276691295.6736941,0.0,112596000.0,0.0,94447022.08389531,0.0,0.0,35352434.25,0.0,635100.0,82489013.25,1.02,541.6987497856788,509,91672.5,520.0,285,0.9500000000000002
2051,2222764.95,1198239574.936906,0.0,112596000.0,0.0,89084462.08389531,0.0,0.0,33341474.250000004,0.0,646500.0,77796773.25,1.02,539.0761515008171,509,91672.5,520.0,285,0.8979452054794522
