year,capex,other_capex,capex_total,energy_mwh,revenue_market,cfd_payment,capacity_rev,balancing_rev,fuel,co2,co2_t,vom,start,cycling,fund,fom,sustaining,property_tax,licence_fee,fixed_other,staff_cost,revenue,opex,ebitda,depreciation_tax,decommissioning,ebit_tax,debt_draw,interest,principal,debt_service,taxable_income,cit,fcf_pretax,fcf_posttax,equity_cf,dscr,local_property_tax_host,local_property_tax_neighbours,local_cit_gmina,local_cit_powiat,local_cit_wojewodztwo,pit_paid_staff,local_pit_gmina,local_pit_powiat,local_pit_wojewodztwo,local_total,state_cit,state_fund_contribution,state_eua_revenue,cfd_cost_to_state,operating
2026,765.0,31.5,796.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-796.5,-796.5,-796.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.3261762,0.09319319999999999,0.0,0.4193694,0.0,0.0,0.0,0.0,False
2027,1147.5,47.25,1194.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1194.75,-1194.75,-1194.75,,0.0,0.0,0.0,0.0,0.0,0.0,0.48926430000000004,0.1397898,0.0,0.6290541000000001,0.0,0.0,0.0,0.0,False
2028,637.5,26.25,663.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-663.75,-663.75,-663.75,,0.0,0.0,0.0,0.0,0.0,0.0,0.2718135,0.077661,0.0,0.34947449999999997,0.0,0.0,0.0,0.0,False
2029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2031,0.0,0.0,0.0,673227.0,480.803248772642,0.0,0.0,12.0,195.42560041666673,153.23374308610684,239491.3249999972,14.810993999999999,27.10137,0.0,0.0,39.0,0.0,7.65,2.46401624386321,17.4,20.8,492.803248772642,457.08572374663675,35.71752502600526,173.23874999999998,0.0,-137.52122497399472,0.0,0.0,0.0,0.0,-137.52122497399472,0.0,35.71752502600526,35.71752502600526,35.71752502600526,,7.65,0.0,0.0,0.0,0.0,2.559150066401062,0.6256884462151394,0.17876812749003984,0.03128442231075697,8.485740996015936,0.0,0.0,153.23374308610684,0.0,True
2032,0.0,0.0,0.0,581058.0,430.65698017734996,0.0,0.0,12.0,168.78464750000003,141.57530589349406,207724.64333333072,12.783275999999999,25.56513,0.0,0.0,39.0,0.0,7.65,2.21328490088675,17.4,20.8,442.65698017734996,414.97164429438084,27.685335882969127,173.23874999999998,0.0,-145.55341411703085,0.0,0.0,0.0,0.0,-145.55341411703085,0.0,27.685335882969127,27.685335882969127,27.685335882969127,,7.65,0.0,0.0,0.0,0.0,2.559150066401062,0.6256884462151394,0.17876812749003984,0.03128442231075697,8.485740996015936,0.0,0.0,141.57530589349406,0.0,True
2033,0.0,0.0,0.0,504450.0,389.47845221400354,0.0,0.0,12.0,146.8768875,130.98841317993,181942.1939999974,11.0979,25.39653,0.0,0.0,39.0,0.0,7.65,2.007392261070018,17.4,20.8,401.47845221400354,380.41712294099995,21.061329273003594,173.23874999999998,0.0,-152.1774207269964,0.0,0.0,0.0,0.0,-152.1774207269964,0.0,21.061329273003594,21.061329273003594,21.061329273003594,,7.65,0.0,0.0,0.0,0.0,2.559150066401062,0.6256884462151394,0.17876812749003984,0.03128442231075697,8.485740996015936,0.0,0.0,130.98841317993,0.0,True
2034,0.0,0.0,0.0,438387.0,351.77691717971163,0.0,0.0,12.0,128.0069029166667,120.90023489501371,159098.86899999756,9.644514,24.185039999999997,0.0,0.0,39.0,0.0,7.65,1.8188845858985583,17.4,20.8,363.77691717971163,348.60557639757894,15.171340782132688,173.23874999999998,0.0,-158.0674092178673,0.0,0.0,0.0,0.0,-158.0674092178673,0.0,15.171340782132688,15.171340782132688,15.171340782132688,,7.65,0.0,0.0,0.0,0.0,2.559150066401062,0.6256884462151394,0.17876812749003984,0.03128442231075697,8.485740996015936,0.0,0.0,120.90023489501371,0.0,True
2035,0.0,0.0,0.0,391077.0,324.27253343040195,0.0,0.0,12.0,114.47542750000002,114.13362275805999,142703.8309999977,8.603693999999999,23.121,0.0,0.0,39.0,0.0,7.65,1.6813626671520099,17.4,20.8,336.27253343040195,326.065106925212,10.207426505189972,173.23874999999998,0.0,-163.03132349481,0.0,0.0,0.0,0.0,-163.03132349481,0.0,10.207426505189972,10.207426505189972,10.207426505189972,,7.65,0.0,0.0,0.0,0.0,2.559150066401062,0.6256884462151394,0.17876812749003984,0.03128442231075697,8.485740996015936,0.0,0.0,114.13362275805999,0.0,True
