year,energy_mwh,revenue_market_pln,cfd_payment_pln,capacity_rev_pln,balancing_rev_pln,fuel_cost_pln,co2_cost_pln,co2_t,vom_cost_pln,start_cost_pln,cycling_cost_pln,fund_cost_pln,fom_multiplier,capture_price,x_starts,x_running_hours,x_price_mean,x_gas_mean,x_eua,x_srmc_full
2031,673227.0,480803248.772642,0.0,0.0,12000000.0,195425600.41666675,153233743.08610684,239491.3249999972,14810994.0,27101370.0,0.0,0.0,1.0,714.1770142502336,"{'ccgt1': {'hot': 41, 'warm': 123, 'cold': 35}}",[2364.0],472.0,175.07671232876712,680.6748,541.3667953479453
2032,581058.0,430656980.17735,0.0,0.0,12000000.0,168784647.50000003,141575305.89349407,207724.64333333072,12783276.0,25565130.0,0.0,0.0,1.0,741.160056616293,"{'ccgt1': {'hot': 33, 'warm': 117, 'cold': 36}}",[2040.0],474.0000000000001,175.07671232876712,728.6710999999999,557.4135583146119
2033,504450.0,389478452.21400356,0.0,0.0,12000000.0,146876887.50000003,130988413.17993002,181942.1939999974,11097900.0,25396530.0,0.0,0.0,1.0,772.0853448587641,"{'ccgt1': {'hot': 30, 'warm': 117, 'cold': 37}}",[1770.0],476.0,175.07671232876712,776.6673999999999,573.4603212812785
2034,438387.0,351776917.17971164,0.0,0.0,12000000.0,128006902.9166667,120900234.89501372,159098.86899999756,9644514.0,24185040.0,0.0,0.0,1.0,802.4346460540838,"{'ccgt1': {'hot': 23, 'warm': 110, 'cold': 40}}",[1540.0],478.0,175.07671232876712,824.6637,589.5070842479453
2035,391077.0,324272533.430402,0.0,0.0,12000000.0,114475427.50000003,114133622.75806,142703.8309999977,8603694.0,23121000.0,0.0,0.0,1.0,829.178226871951,"{'ccgt1': {'hot': 21, 'warm': 105, 'cold': 39}}",[1374.0],480.0,175.07671232876712,872.66,605.5538472146118
2036,390507.0,326770479.5445299,0.0,0.0,12000000.0,114299202.50000003,116246666.34069721,142513.26099999776,8591154.0,23121000.0,0.0,0.0,1.0,836.7852037083328,"{'ccgt1': {'hot': 21, 'warm': 105, 'cold': 39}}",[1372.0],484.0,175.07671232876712,890.1131999999999,611.3890337479452
2037,386802.0,327547274.3339647,0.0,0.0,12000000.0,113283415.00000003,117401805.7020224,141346.771999998,8509644.0,23225220.0,0.0,0.0,1.0,846.8086368063368,"{'ccgt1': {'hot': 22, 'warm': 105, 'cold': 39}}",[1359.0],488.0,175.07671232876712,907.5663999999999,617.2242202812786
2038,392787.0,334460018.6180297,0.0,0.0,12000000.0,115084733.75000003,121510483.0790596,143492.18899999763,8641314.0,23500260.0,0.0,0.0,1.0,851.504806976885,"{'ccgt1': {'hot': 22, 'warm': 107, 'cold': 39}}",[1380.0],492.0,175.07671232876712,925.0196,623.0594068146119
2039,391932.0,336810251.65315115,0.0,0.0,12000000.0,114829540.00000003,123533723.1409488,143206.33399999762,8622504.0,23500260.0,0.0,0.0,1.0,859.3588981077104,"{'ccgt1': {'hot': 22, 'warm': 107, 'cold': 39}}",[1377.0],496.0,175.07671232876712,942.4727999999999,628.8945933479451
2040,388227.0,337227295.02882314,0.0,0.0,12000000.0,113764708.75000003,124632319.544766,141895.4129999979,8540994.0,23384070.0,0.0,0.0,1.0,868.6343171104099,"{'ccgt1': {'hot': 21, 'warm': 107, 'cold': 39}}",[1364.0],500.0,175.07671232876712,959.9259999999999,634.7297798812785
2041,395922.0,344043716.61885893,0.0,0.0,12000000.0,115993290.00000003,127101916.36533602,144684.7559999976,8710284.0,23806110.0,0.0,0.0,1.0,868.9684246363146,"{'ccgt1': {'hot': 23, 'warm': 106, 'cold': 41}}",[1391.0],502.0,175.07671232876712,959.9259999999999,634.7297798812785
2042,405213.0,351818320.0662027,0.0,0.0,12000000.0,118743674.58333337,130071530.31994733,147922.77433333092,8914686.0,24057300.0,0.0,0.0,1.0,868.2305850656388,"{'ccgt1': {'hot': 24, 'warm': 107, 'cold': 41}}",[1423.0],504.0,175.07671232876712,959.9259999999999,634.7297798812785
2043,422313.0,364608867.3375606,0.0,0.0,12000000.0,123519205.83333337,135559523.25454733,153928.73833333084,9290886.0,24562410.0,0.0,0.0,1.0,863.361694614091,"{'ccgt1': {'hot': 24, 'warm': 112, 'cold': 40}}",[1483.0],506.0,175.07671232876712,959.9259999999999,634.7297798812785
2044,433713.0,374190521.8281994,0.0,0.0,12000000.0,126850855.83333337,139218185.21094733,158101.2183333308,9541686.0,25202520.0,0.0,0.0,1.0,862.7606777481869,"{'ccgt1': {'hot': 24, 'warm': 118, 'cold': 39}}",[1523.0],508.0,175.07671232876712,959.9259999999999,634.7297798812785
2045,439413.0,379417162.7044245,0.0,0.0,12000000.0,128412774.58333337,141047516.18914732,160006.9183333308,9667086.0,25208190.0,0.0,0.0,1.0,863.4636724548989,"{'ccgt1': {'hot': 24, 'warm': 118, 'cold': 39}}",[1543.0],510.0,175.07671232876712,959.9259999999999,634.7297798812785
2046,452238.0,389738004.48150015,0.0,0.0,12000000.0,132079418.33333337,145163510.89009732,164583.60733333073,9949236.0,25735590.0,0.0,0.0,1.0,861.7984434777709,"{'ccgt1': {'hot': 24, 'warm': 122, 'cold': 39}}",[1588.0],512.0,175.07671232876712,959.9259999999999,634.7297798812785
2047,473613.0,405125848.13028336,0.0,0.0,12000000.0,138181624.58333337,152023502.05834734,171802.1983333307,10419486.0,25825080.0,0.0,0.0,1.0,855.3942736586271,"{'ccgt1': {'hot': 25, 'warm': 123, 'cold': 38}}",[1663.0],514.0,175.07671232876712,959.9259999999999,634.7297798812785
2048,485013.0,414412836.1992925,0.0,0.0,12000000.0,141425162.08333337,155682164.01474732,175758.03033333068,10670286.0,26036010.0,0.0,0.0,1.0,854.4365536579277,"{'ccgt1': {'hot': 25, 'warm': 127, 'cold': 36}}",[1703.0],516.0,175.07671232876712,959.9259999999999,634.7297798812785
2049,506844.0,430831631.6948986,0.0,0.0,12000000.0,147764884.16666672,162676306.12139866,183405.23666666393,11150568.0,26626200.0,0.0,0.0,1.0,850.0280790438451,"{'ccgt1': {'hot': 26, 'warm': 133, 'cold': 34}}",[1779.0],518.0,175.07671232876712,959.9259999999999,634.7297798812785
2050,511974.0,435857184.30177593,0.0,0.0,12000000.0,149261134.16666672,164322704.00177866,185120.36666666396,11263428.0,26626200.0,0.0,0.0,1.0,851.3267945281907,"{'ccgt1': {'hot': 26, 'warm': 133, 'cold': 34}}",[1797.0],520.0,175.07671232876712,959.9259999999999,634.7297798812785
2051,511974.0,435857184.30177593,0.0,0.0,12000000.0,149261134.16666672,164322704.00177866,185120.36666666396,11263428.0,26626200.0,0.0,0.0,1.0,851.3267945281907,"{'ccgt1': {'hot': 26, 'warm': 133, 'cold': 34}}",[1797.0],520.0,175.07671232876712,959.9259999999999,634.7297798812785
2052,511974.0,435857184.30177593,0.0,0.0,12000000.0,149261134.16666672,164322704.00177866,185120.36666666396,11263428.0,26626200.0,0.0,0.0,1.0,851.3267945281907,"{'ccgt1': {'hot': 26, 'warm': 133, 'cold': 34}}",[1797.0],520.0,175.07671232876712,959.9259999999999,634.7297798812785
2053,511974.0,435857184.30177593,0.0,0.0,12000000.0,149261134.16666672,164322704.00177866,185120.36666666396,11263428.0,26626200.0,0.0,0.0,1.0,851.3267945281907,"{'ccgt1': {'hot': 26, 'warm': 133, 'cold': 34}}",[1797.0],520.0,175.07671232876712,959.9259999999999,634.7297798812785
2054,511974.0,435857184.30177593,0.0,0.0,12000000.0,149261134.16666672,164322704.00177866,185120.36666666396,11263428.0,26626200.0,0.0,0.0,1.0,851.3267945281907,"{'ccgt1': {'hot': 26, 'warm': 133, 'cold': 34}}",[1797.0],520.0,175.07671232876712,959.9259999999999,634.7297798812785
2055,511974.0,435857184.30177593,0.0,0.0,12000000.0,149261134.16666672,164322704.00177866,185120.36666666396,11263428.0,26626200.0,0.0,0.0,1.0,851.3267945281907,"{'ccgt1': {'hot': 26, 'warm': 133, 'cold': 34}}",[1797.0],520.0,175.07671232876712,959.9259999999999,634.7297798812785
2056,511974.0,435857184.30177593,0.0,0.0,12000000.0,149261134.16666672,164322704.00177866,185120.36666666396,11263428.0,26626200.0,0.0,0.0,1.0,851.3267945281907,"{'ccgt1': {'hot': 26, 'warm': 133, 'cold': 34}}",[1797.0],520.0,175.07671232876712,959.9259999999999,634.7297798812785
2057,511974.0,435857184.30177593,0.0,0.0,12000000.0,149261134.16666672,164322704.00177866,185120.36666666396,11263428.0,26626200.0,0.0,0.0,1.0,851.3267945281907,"{'ccgt1': {'hot': 26, 'warm': 133, 'cold': 34}}",[1797.0],520.0,175.07671232876712,959.9259999999999,634.7297798812785
2058,511974.0,435857184.30177593,0.0,0.0,12000000.0,149261134.16666672,164322704.00177866,185120.36666666396,11263428.0,26626200.0,0.0,0.0,1.0,851.3267945281907,"{'ccgt1': {'hot': 26, 'warm': 133, 'cold': 34}}",[1797.0],520.0,175.07671232876712,959.9259999999999,634.7297798812785
2059,511974.0,435857184.30177593,0.0,0.0,12000000.0,149261134.16666672,164322704.00177866,185120.36666666396,11263428.0,26626200.0,0.0,0.0,1.0,851.3267945281907,"{'ccgt1': {'hot': 26, 'warm': 133, 'cold': 34}}",[1797.0],520.0,175.07671232876712,959.9259999999999,634.7297798812785
2060,511974.0,435857184.30177593,0.0,0.0,12000000.0,149261134.16666672,164322704.00177866,185120.36666666396,11263428.0,26626200.0,0.0,0.0,1.0,851.3267945281907,"{'ccgt1': {'hot': 26, 'warm': 133, 'cold': 34}}",[1797.0],520.0,175.07671232876712,959.9259999999999,634.7297798812785
