year,capex,other_capex,capex_total,energy_mwh,revenue_market,cfd_payment,capacity_rev,balancing_rev,fuel,co2,co2_t,vom,start,cycling,fund,fom,sustaining,property_tax,licence_fee,fixed_other,staff_cost,revenue,opex,ebitda,depreciation_tax,decommissioning,ebit_tax,debt_draw,interest,principal,debt_service,taxable_income,cit,fcf_pretax,fcf_posttax,equity_cf,dscr,local_property_tax_host,local_property_tax_neighbours,local_cit_gmina,local_cit_powiat,local_cit_wojewodztwo,pit_paid_staff,local_pit_gmina,local_pit_powiat,local_pit_wojewodztwo,local_total,state_cit,state_fund_contribution,state_eua_revenue,cfd_cost_to_state,operating
2028,870.0,52.5,922.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-922.5,-922.5,-922.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.48926430000000004,0.1397898,0.0,0.6290541000000001,0.0,0.0,0.0,0.0,False
2029,870.0,52.5,922.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-922.5,-922.5,-922.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.48926430000000004,0.1397898,0.0,0.6290541000000001,0.0,0.0,0.0,0.0,False
2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2031,0.0,0.0,0.0,149865.0,158.25742580279234,0.0,0.0,36.0,60.54864069767442,47.58853808777024,72152.46111627953,4.49595,5.703555,0.0,0.0,25.5,0.0,4.176,0.9712871290139617,10.5,10.4,194.25742580279234,159.4839709144586,34.77345488833373,124.53750000000001,0.0,-89.76404511166628,0.0,0.0,0.0,0.0,-89.76404511166628,0.0,34.77345488833373,34.77345488833373,34.77345488833373,,4.176,0.0,0.0,0.0,0.0,1.279575033200531,0.3128442231075697,0.08938406374501992,0.015642211155378484,4.593870498007968,0.0,0.0,47.58853808777024,0.0,True
2032,0.0,0.0,0.0,137643.0,149.2603922819153,0.0,0.0,36.0,55.54141046511628,46.789472393466,66342.43200000018,4.12929,5.4307875,0.0,0.0,25.5,0.0,4.176,0.9263019614095765,10.5,10.4,185.2603922819153,152.99326231999183,32.26712996192347,124.53750000000001,0.0,-92.27037003807654,0.0,0.0,0.0,0.0,-92.27037003807654,0.0,32.26712996192347,32.26712996192347,32.26712996192347,,4.176,0.0,0.0,0.0,0.0,1.279575033200531,0.3128442231075697,0.08938406374501992,0.015642211155378484,4.593870498007968,0.0,0.0,46.789472393466,0.0,True
2033,0.0,0.0,0.0,125421.0,139.98439115849902,0.0,0.0,36.0,50.63721453488372,45.443085200616835,60514.348883720944,3.7626299999999997,5.1124275,0.0,0.0,25.5,0.0,4.176,0.8799219557924951,10.5,10.4,175.98439115849902,146.01127919129303,29.973111967205995,124.53750000000001,0.0,-94.56438803279401,0.0,0.0,0.0,0.0,-94.56438803279401,0.0,29.973111967205995,29.973111967205995,29.973111967205995,,4.176,0.0,0.0,0.0,0.0,1.279575033200531,0.3128442231075697,0.08938406374501992,0.015642211155378484,4.593870498007968,0.0,0.0,45.443085200616835,0.0,True
2034,0.0,0.0,0.0,114945.0,131.52786104066217,0.0,0.0,36.0,46.34530290697674,44.22108925743698,55428.57906976746,3.44835,4.6076025,0.0,0.0,25.5,0.0,4.176,0.8376393052033109,10.5,10.4,167.52786104066217,139.63598396961703,27.891877071045144,124.53750000000001,0.0,-96.64562292895486,0.0,0.0,0.0,0.0,-96.64562292895486,0.0,27.891877071045144,27.891877071045144,27.891877071045144,,4.176,0.0,0.0,0.0,0.0,1.279575033200531,0.3128442231075697,0.08938406374501992,0.015642211155378484,4.593870498007968,0.0,0.0,44.22108925743698,0.0,True
2035,0.0,0.0,0.0,106215.0,124.64328765764331,0.0,0.0,36.0,42.8409523255814,43.24076774218605,51283.716558139546,3.18645,4.422555,0.0,0.0,25.5,0.0,4.176,0.8032164382882166,10.5,10.4,160.64328765764333,134.66994150605566,25.973346151587663,124.53750000000001,0.0,-98.56415384841235,0.0,0.0,0.0,0.0,-98.56415384841235,0.0,25.973346151587663,25.973346151587663,25.973346151587663,,4.176,0.0,0.0,0.0,0.0,1.279575033200531,0.3128442231075697,0.08938406374501992,0.015642211155378484,4.593870498007968,0.0,0.0,43.24076774218605,0.0,True
2036,0.0,0.0,0.0,105051.0,124.65570021794352,0.0,0.0,36.0,42.376705813953485,43.62223424117191,50722.643023255834,3.1515299999999997,4.37838,0.0,0.0,25.5,0.0,4.176,0.8032785010897177,10.5,10.4,160.65570021794352,134.50812855621513,26.147571661728392,124.53750000000001,0.0,-98.38992833827162,0.0,0.0,0.0,0.0,-98.38992833827162,0.0,26.147571661728392,26.147571661728392,26.147571661728392,,4.176,0.0,0.0,0.0,0.0,1.279575033200531,0.3128442231075697,0.08938406374501992,0.015642211155378484,4.593870498007968,0.0,0.0,43.62223424117191,0.0,True
2037,0.0,0.0,0.0,105342.0,125.98158502277478,0.0,0.0,36.0,42.49513604651163,44.60077873857042,50876.451906976756,3.16026,4.42413,0.0,0.0,25.5,0.0,4.176,0.8099079251138739,10.5,10.4,161.98158502277477,135.6662127101959,26.31537231257886,124.53750000000001,0.0,-98.22212768742115,0.0,0.0,0.0,0.0,-98.22212768742115,0.0,26.31537231257886,26.31537231257886,26.31537231257886,,4.176,0.0,0.0,0.0,0.0,1.279575033200531,0.3128442231075697,0.08938406374501992,0.015642211155378484,4.593870498007968,0.0,0.0,44.60077873857042,0.0,True
