year,energy_mwh,revenue_market_pln,cfd_payment_pln,capacity_rev_pln,balancing_rev_pln,fuel_cost_pln,co2_cost_pln,co2_t,vom_cost_pln,start_cost_pln,cycling_cost_pln,fund_cost_pln,fom_multiplier,capture_price,x_starts,x_running_hours,x_price_mean,x_gas_mean,x_eua,x_srmc_full
2031,149865.0,158257425.80279234,0.0,0.0,36000000.0,60548640.69767442,47588538.08777024,72152.46111627953,4495950.0,5703555.0,0.0,0.0,1.0,1055.999905266689,"{'ocgt1': {'hot': 5, 'warm': 77, 'cold': 42}, 'ocgt2': {'hot': 5, 'warm': 77, 'cold': 42}}","[515.0, 515.0]",472.0,175.07671232876712,680.6748,754.6978539738772
2032,137643.0,149260392.2819153,0.0,0.0,36000000.0,55541410.465116285,46789472.393466,66342.43200000018,4129290.0,5430787.5,0.0,0.0,1.0,1084.4023472455215,"{'ocgt1': {'hot': 4, 'warm': 72, 'cold': 42}, 'ocgt2': {'hot': 4, 'warm': 72, 'cold': 42}}","[473.0, 473.0]",474.0000000000001,175.07671232876712,728.6710999999999,777.0886860203886
2033,125421.0,139984391.15849903,0.0,0.0,36000000.0,50637214.53488372,45443085.20061684,60514.348883720944,3762630.0,5112427.5,0.0,0.0,1.0,1116.1160504102106,"{'ocgt1': {'hot': 2, 'warm': 70, 'cold': 39}, 'ocgt2': {'hot': 2, 'warm': 70, 'cold': 39}}","[431.0, 431.0]",476.0,175.07671232876712,776.6673999999999,799.4795180669003
2034,114945.0,131527861.04066217,0.0,0.0,36000000.0,46345302.906976745,44221089.25743698,55428.57906976746,3448350.0,4607602.5,0.0,0.0,1.0,1144.267789296291,"{'ocgt1': {'hot': 1, 'warm': 63, 'cold': 36}, 'ocgt2': {'hot': 1, 'warm': 63, 'cold': 36}}","[395.0, 395.0]",478.0,175.07671232876712,824.6637,821.8703501134119
2035,106215.0,124643287.65764332,0.0,0.0,36000000.0,42840952.3255814,43240767.742186055,51283.716558139546,3186450.0,4422555.0,0.0,0.0,1.0,1173.4998602611997,"{'ocgt1': {'hot': 2, 'warm': 58, 'cold': 36}, 'ocgt2': {'hot': 2, 'warm': 58, 'cold': 36}}","[365.0, 365.0]",480.0,175.07671232876712,872.66,844.2611821599235
2036,105051.0,124655700.21794352,0.0,0.0,36000000.0,42376705.81395349,43622234.24117191,50722.643023255834,3151530.0,4378380.0,0.0,0.0,1.0,1186.6207862651809,"{'ocgt1': {'hot': 2, 'warm': 57, 'cold': 36}, 'ocgt2': {'hot': 2, 'warm': 57, 'cold': 36}}","[361.0, 361.0]",484.0,175.07671232876712,890.1131999999999,852.4033029041095
2037,105342.0,125981585.02277479,0.0,0.0,36000000.0,42495136.046511635,44600778.73857042,50876.451906976756,3160260.0,4424130.0,0.0,0.0,1.0,1195.9293066656678,"{'ocgt1': {'hot': 2, 'warm': 58, 'cold': 36}, 'ocgt2': {'hot': 2, 'warm': 58, 'cold': 36}}","[362.0, 362.0]",488.0,175.07671232876712,907.5663999999999,860.5454236482957
2038,105342.0,127014048.6723902,0.0,0.0,36000000.0,42495136.046511635,45458486.02200447,50876.451906976756,3160260.0,4424130.0,0.0,0.0,1.0,1205.730370340322,"{'ocgt1': {'hot': 2, 'warm': 58, 'cold': 36}, 'ocgt2': {'hot': 2, 'warm': 58, 'cold': 36}}","[362.0, 362.0]",492.0,175.07671232876712,925.0196,868.6875443924816
2039,104760.0,127527281.35198578,0.0,0.0,36000000.0,42248801.1627907,46060302.734690234,50604.9421395349,3142800.0,4424130.0,0.0,0.0,1.0,1217.3280006871496,"{'ocgt1': {'hot': 2, 'warm': 58, 'cold': 36}, 'ocgt2': {'hot': 2, 'warm': 58, 'cold': 36}}","[360.0, 360.0]",496.0,175.07671232876712,942.4727999999999,876.8296651366676
2040,104469.0,128310998.21662574,0.0,0.0,36000000.0,42142213.95348838,46782956.66134047,50469.187255813966,3134070.0,4424130.0,0.0,0.0,1.0,1228.2207948446498,"{'ocgt1': {'hot': 2, 'warm': 58, 'cold': 36}, 'ocgt2': {'hot': 2, 'warm': 58, 'cold': 36}}","[359.0, 359.0]",500.0,175.07671232876712,959.9259999999999,884.9717858808538
