year,capex,other_capex,capex_total,energy_mwh,revenue_market,cfd_payment,capacity_rev,balancing_rev,fuel,co2,co2_t,vom,start,cycling,fund,fom,sustaining,property_tax,licence_fee,fixed_other,staff_cost,revenue,opex,ebitda,depreciation_tax,decommissioning,ebit_tax,debt_draw,interest,principal,debt_service,taxable_income,cit,fcf_pretax,fcf_posttax,equity_cf,dscr,local_property_tax_host,local_property_tax_neighbours,local_cit_gmina,local_cit_powiat,local_cit_wojewodztwo,pit_paid_staff,local_pit_gmina,local_pit_powiat,local_pit_wojewodztwo,local_total,state_cit,state_fund_contribution,state_eua_revenue,cfd_cost_to_state,operating
2029,180.0,12.6,192.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-192.6,-192.6,-192.6,,0.0,0.0,0.0,0.0,0.0,0.0,0.117423432,0.033549551999999996,0.0,0.15097298399999998,0.0,0.0,0.0,0.0,False
2030,180.0,12.6,192.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-192.6,-192.6,-192.6,,0.0,0.0,0.0,0.0,0.0,0.0,0.117423432,0.033549551999999996,0.0,0.15097298399999998,0.0,0.0,0.0,0.0,False
2031,0.0,0.0,0.0,76377.024,67.35159071938638,0.0,0.0,8.639999999999999,26.69745744,20.8597314132132,30851.47989257202,3.0550809599999997,0.5913233999999955,0.0,0.0,6.84,0.0,0.8639999999999999,0.3799579535969319,2.52,20.8,75.99159071938638,61.80755116681013,14.184039552576252,26.001,0.0,-11.81696044742375,0.0,0.0,0.0,0.0,-11.81696044742375,0.0,14.184039552576252,14.184039552576252,14.184039552576252,,0.8639999999999999,0.0,0.0,0.0,0.0,2.559150066401062,0.6256884462151394,0.17876812749003984,0.03128442231075697,1.699740996015936,0.0,0.0,20.8597314132132,0.0,True
2032,0.0,0.0,0.0,67409.568,61.5914435840034,0.0,0.0,8.639999999999999,23.57407296,19.707482709933625,27240.0471428577,2.6963827199999995,0.5583860999999961,0.0,0.0,6.84,0.0,0.8639999999999999,0.35115721792001703,2.52,20.8,70.2314435840034,57.11148170785364,13.119961876149759,26.001,0.0,-12.881038123850242,0.0,0.0,0.0,0.0,-12.881038123850242,0.0,13.119961876149759,13.119961876149759,13.119961876149759,,0.8639999999999999,0.0,0.0,0.0,0.0,2.559150066401062,0.6256884462151394,0.17876812749003984,0.03128442231075697,1.699740996015936,0.0,0.0,19.707482709933625,0.0,True
2033,0.0,0.0,0.0,61969.03200000001,58.04352662666708,0.0,0.0,8.639999999999999,21.66148128,19.3107295248782,25041.95029028623,2.47876128,0.5129972999999988,0.0,0.0,6.84,0.0,0.8639999999999999,0.3334176331333354,2.52,20.8,66.68352662666707,54.52138701801154,12.162139608655536,26.001,0.0,-13.838860391344465,0.0,0.0,0.0,0.0,-13.838860391344465,0.0,12.162139608655536,12.162139608655536,12.162139608655536,,0.8639999999999999,0.0,0.0,0.0,0.0,2.559150066401062,0.6256884462151394,0.17876812749003984,0.03128442231075697,1.699740996015936,0.0,0.0,19.3107295248782,0.0,True
2034,0.0,0.0,0.0,55676.448000000004,53.78757053627784,0.0,0.0,8.639999999999999,19.468679880000003,18.42171572251106,22502.38867885762,2.22705792,0.47150909999999996,0.0,0.0,6.84,0.0,0.8639999999999999,0.3121378526813892,2.52,20.8,62.42757053627784,51.125100475192454,11.302470061085387,26.001,0.0,-14.698529938914614,0.0,0.0,0.0,0.0,-14.698529938914614,0.0,11.302470061085387,11.302470061085387,11.302470061085387,,0.8639999999999999,0.0,0.0,0.0,0.0,2.559150066401062,0.6256884462151394,0.17876812749003984,0.03128442231075697,1.699740996015936,0.0,0.0,18.42171572251106,0.0,True
2035,0.0,0.0,0.0,50927.328,50.50245436757971,0.0,0.0,8.639999999999999,17.781816900000003,17.831159007289234,20589.0979748572,2.03709312,0.44855009999999995,0.0,0.0,6.84,0.0,0.8639999999999999,0.29571227183789855,2.52,20.8,59.14245436757971,48.61833139912714,10.524122968452566,26.001,0.0,-15.476877031547435,0.0,0.0,0.0,0.0,-15.476877031547435,0.0,10.524122968452566,10.524122968452566,10.524122968452566,,0.8639999999999999,0.0,0.0,0.0,0.0,2.559150066401062,0.6256884462151394,0.17876812749003984,0.03128442231075697,1.699740996015936,0.0,0.0,17.831159007289234,0.0,True
2036,0.0,0.0,0.0,50927.328,50.9309308763218,0.0,0.0,8.639999999999999,17.77961694,18.18778218743502,20588.375814857198,2.03709312,0.44642969999999993,0.0,0.0,6.84,0.0,0.8639999999999999,0.297854654381609,2.52,20.8,59.5709308763218,48.97277660181663,10.59815427450517,26.001,0.0,-15.402845725494831,0.0,0.0,0.0,0.0,-15.402845725494831,0.0,10.59815427450517,10.59815427450517,10.59815427450517,,0.8639999999999999,0.0,0.0,0.0,0.0,2.559150066401062,0.6256884462151394,0.17876812749003984,0.03128442231075697,1.699740996015936,0.0,0.0,18.18778218743502,0.0,True
2037,0.0,0.0,0.0,50857.488,51.31382103864741,0.0,0.0,8.639999999999999,17.757617340000003,18.51897553130555,20560.3560068572,2.03429952,0.44642969999999993,0.0,0.0,6.84,0.0,0.8639999999999999,0.2997691051932371,2.52,20.8,59.95382103864741,49.28109119649879,10.67272984214862,26.001,0.0,-15.328270157851382,0.0,0.0,0.0,0.0,-15.328270157851382,0.0,10.67272984214862,10.67272984214862,10.67272984214862,,0.8639999999999999,0.0,0.0,0.0,0.0,2.559150066401062,0.6256884462151394,0.17876812749003984,0.03128442231075697,1.699740996015936,0.0,0.0,18.51897553130555,0.0,True
2038,0.0,0.0,0.0,50857.488000000005,51.74640822588095,0.0,0.0,8.639999999999999,17.7549285,18.875109676138354,20561.0781668572,2.0342995200000002,0.44858159999999997,0.0,0.0,6.84,0.0,0.8639999999999999,0.30193204112940475,2.52,20.8,60.38640822588095,49.63885133726775,10.747556888613197,26.001,0.0,-15.253443111386805,0.0,0.0,0.0,0.0,-15.253443111386805,0.0,10.747556888613197,10.747556888613197,10.747556888613197,,0.8639999999999999,0.0,0.0,0.0,0.0,2.559150066401062,0.6256884462151394,0.17876812749003984,0.03128442231075697,1.699740996015936,0.0,0.0,18.875109676138354,0.0,True
2039,0.0,0.0,0.0,50927.328,52.23506720898743,0.0,0.0,8.639999999999999,17.78083914,19.25765172787237,20589.0979748572,2.03709312,0.44858159999999997,0.0,0.0,6.84,0.0,0.8639999999999999,0.30437533604493716,2.52,20.8,60.87506720898743,50.0525409239173,10.822526285070133,26.001,0.0,-15.178473714929869,0.0,0.0,0.0,0.0,-15.178473714929869,0.0,10.822526285070133,10.822526285070133,10.822526285070133,,0.8639999999999999,0.0,0.0,0.0,0.0,2.559150066401062,0.6256884462151394,0.17876812749003984,0.03128442231075697,1.699740996015936,0.0,0.0,19.25765172787237,0.0,True
2040,0.0,0.0,0.0,51067.008,52.780187838961524,0.0,0.0,8.639999999999999,17.832171539999997,19.668068792446576,20645.1375908572,2.04268032,0.44858159999999997,0.0,0.0,6.84,0.0,0.8639999999999999,0.30710093919480763,2.52,20.8,61.420187838961525,50.52260319164138,10.897584647320144,26.001,0.0,-15.103415352679857,0.0,0.0,0.0,0.0,-15.103415352679857,0.0,10.897584647320144,10.897584647320144,10.897584647320144,,0.8639999999999999,0.0,0.0,0.0,0.0,2.559150066401062,0.6256884462151394,0.17876812749003984,0.03128442231075697,1.699740996015936,0.0,0.0,19.668068792446576,0.0,True
2041,0.0,0.0,0.0,51905.088,53.66112468343201,0.0,0.0,8.639999999999999,18.12427734,19.99083209901707,20983.541766857197,2.07620352,0.45485459999999994,0.0,0.0,6.84,0.0,0.8639999999999999,0.31150562341716004,2.52,20.8,62.30112468343201,51.181673182434224,11.119451500997783,20.223000000000003,0.0,-9.103548499002219,0.0,0.0,0.0,0.0,-9.103548499002219,0.0,11.119451500997783,11.119451500997783,11.119451500997783,,0.8639999999999999,0.0,0.0,0.0,0.0,2.559150066401062,0.6256884462151394,0.17876812749003984,0.03128442231075697,1.699740996015936,0.0,0.0,19.99083209901707,0.0,True
2042,0.0,0.0,0.0,53308.872,54.99463793756454,0.0,0.0,8.639999999999999,18.6254841,20.531972960231492,21548.717938285772,2.13235488,0.45908909999999997,0.0,0.0,6.84,0.0,0.8639999999999999,0.3181731896878227,2.52,20.8,63.63463793756454,52.29107422991932,11.343563707645224,20.223000000000003,0.0,-8.879436292354779,0.0,0.0,0.0,0.0,-8.879436292354779,0.0,11.343563707645224,11.343563707645224,11.343563707645224,,0.8639999999999999,0.0,0.0,0.0,0.0,2.559150066401062,0.6256884462151394,0.17876812749003984,0.03128442231075697,1.699740996015936,0.0,0.0,20.531972960231492,0.0,True
