year,energy_mwh,revenue_market_pln,cfd_payment_pln,capacity_rev_pln,balancing_rev_pln,fuel_cost_pln,co2_cost_pln,co2_t,vom_cost_pln,start_cost_pln,cycling_cost_pln,fund_cost_pln,fom_multiplier,capture_price,x_starts,x_running_hours,x_price_mean,x_gas_mean,x_eua,x_srmc_full
2031,76377.024,67351590.71938638,0.0,0.0,8640000.0,26697457.44,20859731.4132132,30851.47989257202,3055080.96,591323.3999999955,0.0,0.0,1.0,881.8305190758202,"{'engine1': {'hot': 42, 'warm': 208, 'cold': 35}, 'engine2': {'hot': 42, 'warm': 208, 'cold': 35}, 'engine3': {'hot': 42, 'warm': 208, 'cold': 35}, 'engine4': {'hot': 42, 'warm': 208, 'cold': 35}}","[1099.0, 1099.0, 1099.0, 1099.0]",472.0,175.07671232876712,680.6748,663.2401544175343
2032,67409.568,61591443.584003404,0.0,0.0,8640000.0,23574072.96,19707482.709933627,27240.0471428577,2696382.7199999997,558386.0999999961,0.0,0.0,1.0,913.6899317319969,"{'engine1': {'hot': 34, 'warm': 198, 'cold': 37}, 'engine2': {'hot': 34, 'warm': 198, 'cold': 37}, 'engine3': {'hot': 34, 'warm': 198, 'cold': 37}, 'engine4': {'hot': 34, 'warm': 198, 'cold': 37}}","[967.0, 967.0, 967.0, 967.0]",474.0000000000001,175.07671232876712,728.6710999999999,682.4962699775342
2033,61969.03200000001,58043526.62666708,0.0,0.0,8640000.0,21661481.28,19310729.524878204,25041.95029028623,2478761.2800000003,512997.2999999988,0.0,0.0,1.0,936.6537567775316,"{'engine1': {'hot': 26, 'warm': 185, 'cold': 36}, 'engine2': {'hot': 26, 'warm': 185, 'cold': 36}, 'engine3': {'hot': 26, 'warm': 185, 'cold': 36}, 'engine4': {'hot': 26, 'warm': 185, 'cold': 36}}","[890.0, 890.0, 890.0, 890.0]",476.0,175.07671232876712,776.6673999999999,701.7523855375342
2034,55676.448000000004,53787570.536277846,0.0,0.0,8640000.0,19468679.880000003,18421715.72251106,22502.38867885762,2227057.92,471509.1,0.0,0.0,1.0,966.0740307333873,"{'engine1': {'hot': 21, 'warm': 163, 'cold': 43}, 'engine2': {'hot': 21, 'warm': 163, 'cold': 43}, 'engine3': {'hot': 21, 'warm': 163, 'cold': 43}, 'engine4': {'hot': 21, 'warm': 163, 'cold': 43}}","[799.0, 799.0, 799.0, 799.0]",478.0,175.07671232876712,824.6637,721.0085010975342
2035,50927.328,50502454.36757971,0.0,0.0,8640000.0,17781816.900000002,17831159.007289235,20589.0979748572,2037093.12,448550.1,0.0,0.0,1.0,991.6572565436717,"{'engine1': {'hot': 18, 'warm': 156, 'cold': 42}, 'engine2': {'hot': 18, 'warm': 156, 'cold': 42}, 'engine3': {'hot': 18, 'warm': 156, 'cold': 42}, 'engine4': {'hot': 18, 'warm': 156, 'cold': 42}}","[731.0, 731.0, 731.0, 731.0]",480.0,175.07671232876712,872.66,740.2646166575341
2036,50927.328,50930930.87632181,0.0,0.0,8640000.0,17779616.94,18187782.18743502,20588.375814857198,2037093.12,446429.69999999995,0.0,0.0,1.0,1000.070745441854,"{'engine1': {'hot': 18, 'warm': 155, 'cold': 42}, 'engine2': {'hot': 18, 'warm': 155, 'cold': 42}, 'engine3': {'hot': 18, 'warm': 155, 'cold': 42}, 'engine4': {'hot': 18, 'warm': 155, 'cold': 42}}","[731.0, 731.0, 731.0, 731.0]",484.0,175.07671232876712,890.1131999999999,747.2668404975342
2037,50857.488,51313821.03864741,0.0,0.0,8640000.0,17757617.340000004,18518975.53130555,20560.3560068572,2034299.52,446429.69999999995,0.0,0.0,1.0,1008.9727797536406,"{'engine1': {'hot': 18, 'warm': 155, 'cold': 42}, 'engine2': {'hot': 18, 'warm': 155, 'cold': 42}, 'engine3': {'hot': 18, 'warm': 155, 'cold': 42}, 'engine4': {'hot': 18, 'warm': 155, 'cold': 42}}","[730.0, 730.0, 730.0, 730.0]",488.0,175.07671232876712,907.5663999999999,754.2690643375342
2038,50857.488000000005,51746408.22588095,0.0,0.0,8640000.0,17754928.5,18875109.676138356,20561.0781668572,2034299.5200000003,448581.6,0.0,0.0,1.0,1017.4786498672712,"{'engine1': {'hot': 18, 'warm': 156, 'cold': 42}, 'engine2': {'hot': 18, 'warm': 156, 'cold': 42}, 'engine3': {'hot': 18, 'warm': 156, 'cold': 42}, 'engine4': {'hot': 18, 'warm': 156, 'cold': 42}}","[730.0, 730.0, 730.0, 730.0]",492.0,175.07671232876712,925.0196,761.2712881775342
2039,50927.328,52235067.20898743,0.0,0.0,8640000.0,17780839.14,19257651.72787237,20589.0979748572,2037093.12,448581.6,0.0,0.0,1.0,1025.678535677101,"{'engine1': {'hot': 18, 'warm': 156, 'cold': 42}, 'engine2': {'hot': 18, 'warm': 156, 'cold': 42}, 'engine3': {'hot': 18, 'warm': 156, 'cold': 42}, 'engine4': {'hot': 18, 'warm': 156, 'cold': 42}}","[731.0, 731.0, 731.0, 731.0]",496.0,175.07671232876712,942.4727999999999,768.2735120175341
2040,51067.008,52780187.83896153,0.0,0.0,8640000.0,17832171.54,19668068.792446576,20645.1375908572,2042680.32,448581.6,0.0,0.0,1.0,1033.5476838384877,"{'engine1': {'hot': 18, 'warm': 156, 'cold': 42}, 'engine2': {'hot': 18, 'warm': 156, 'cold': 42}, 'engine3': {'hot': 18, 'warm': 156, 'cold': 42}, 'engine4': {'hot': 18, 'warm': 156, 'cold': 42}}","[733.0, 733.0, 733.0, 733.0]",500.0,175.07671232876712,959.9259999999999,775.2757358575342
2041,51905.088,53661124.68343201,0.0,0.0,8640000.0,18124277.34,19990832.09901707,20983.541766857197,2076203.52,454854.6,0.0,0.0,1.0,1033.8316868556703,"{'engine1': {'hot': 18, 'warm': 158, 'cold': 43}, 'engine2': {'hot': 18, 'warm': 158, 'cold': 43}, 'engine3': {'hot': 18, 'warm': 158, 'cold': 43}, 'engine4': {'hot': 18, 'warm': 158, 'cold': 43}}","[745.0, 745.0, 745.0, 745.0]",502.0,175.07671232876712,959.9259999999999,775.2757358575342
2042,53308.872,54994637.937564544,0.0,0.0,8640000.0,18625484.1,20531972.960231494,21548.717938285772,2132354.88,459089.1,0.0,0.0,1.0,1031.622615041724,"{'engine1': {'hot': 18, 'warm': 160, 'cold': 43}, 'engine2': {'hot': 18, 'warm': 160, 'cold': 43}, 'engine3': {'hot': 18, 'warm': 160, 'cold': 43}, 'engine4': {'hot': 18, 'warm': 160, 'cold': 43}}","[766.0, 766.0, 766.0, 766.0]",504.0,175.07671232876712,959.9259999999999,775.2757358575342
2043,54007.272000000004,55781265.905692875,0.0,0.0,8640000.0,18879701.700000003,20800942.382373575,21828.916018285774,2160290.8800000004,459089.1,0.0,0.0,1.0,1032.8473155558177,"{'engine1': {'hot': 18, 'warm': 160, 'cold': 43}, 'engine2': {'hot': 18, 'warm': 160, 'cold': 43}, 'engine3': {'hot': 18, 'warm': 160, 'cold': 43}, 'engine4': {'hot': 18, 'warm': 160, 'cold': 43}}","[776.0, 776.0, 776.0, 776.0]",506.0,175.07671232876712,959.9259999999999,775.2757358575342
2044,54845.352000000006,56685668.849641,0.0,0.0,8640000.0,19184518.380000003,21123705.68894407,22166.59803428618,2193814.08,463348.80000000005,0.0,0.0,1.0,1033.5546547251806,"{'engine1': {'hot': 18, 'warm': 163, 'cold': 42}, 'engine2': {'hot': 18, 'warm': 163, 'cold': 42}, 'engine3': {'hot': 18, 'warm': 163, 'cold': 42}, 'engine4': {'hot': 18, 'warm': 163, 'cold': 42}}","[788.0, 788.0, 788.0, 788.0]",508.0,175.07671232876712,959.9259999999999,775.2757358575342
2045,56451.672000000006,58188928.80201025,0.0,0.0,8640000.0,19750396.98,21742335.35987085,22814.664418286193,2258066.8800000004,473692.5,0.0,0.0,1.0,1030.7742311336722,"{'engine1': {'hot': 18, 'warm': 170, 'cold': 40}, 'engine2': {'hot': 18, 'warm': 170, 'cold': 40}, 'engine3': {'hot': 18, 'warm': 170, 'cold': 40}, 'engine4': {'hot': 18, 'warm': 170, 'cold': 40}}","[811.0, 811.0, 811.0, 811.0]",510.0,175.07671232876712,959.9259999999999,775.2757358575342
2046,57848.47200000001,59532423.896689326,0.0,0.0,8640000.0,20239032.540000003,22280274.204155013,23378.671378286195,2313938.8800000004,484055.0999999998,0.0,0.0,1.0,1029.1097039985657,"{'engine1': {'hot': 21, 'warm': 175, 'cold': 37}, 'engine2': {'hot': 21, 'warm': 175, 'cold': 37}, 'engine3': {'hot': 21, 'warm': 175, 'cold': 37}, 'engine4': {'hot': 21, 'warm': 175, 'cold': 37}}","[831.0, 831.0, 831.0, 831.0]",512.0,175.07671232876712,959.9259999999999,775.2757358575342
2047,58833.21600000001,60551035.67770159,0.0,0.0,8640000.0,20579415.240000002,22660033.41208419,23775.728701714776,2353328.64,488144.6999999996,0.0,0.0,1.0,1029.1981264070553,"{'engine1': {'hot': 21, 'warm': 177, 'cold': 37}, 'engine2': {'hot': 21, 'warm': 177, 'cold': 37}, 'engine3': {'hot': 21, 'warm': 177, 'cold': 37}, 'engine4': {'hot': 21, 'warm': 177, 'cold': 37}}","[846.0, 846.0, 846.0, 846.0]",514.0,175.07671232876712,959.9259999999999,775.2757358575342
2048,60153.19200000001,61846924.27438953,0.0,0.0,8640000.0,21042751.26,23167873.297223877,24309.10232228622,2406127.6800000006,500533.1999999993,0.0,0.0,1.0,1028.156980836354,"{'engine1': {'hot': 23, 'warm': 181, 'cold': 37}, 'engine2': {'hot': 23, 'warm': 181, 'cold': 37}, 'engine3': {'hot': 23, 'warm': 181, 'cold': 37}, 'engine4': {'hot': 23, 'warm': 181, 'cold': 37}}","[864.0, 864.0, 864.0, 864.0]",516.0,175.07671232876712,959.9259999999999,775.2757358575342
2049,61403.32800000001,63096804.542899184,0.0,0.0,8640000.0,21487969.62,23648816.240149356,24813.01181485765,2456133.12,508769.099999999,0.0,0.0,1.0,1027.579556321429,"{'engine1': {'hot': 23, 'warm': 186, 'cold': 36}, 'engine2': {'hot': 23, 'warm': 186, 'cold': 36}, 'engine3': {'hot': 23, 'warm': 186, 'cold': 36}, 'engine4': {'hot': 23, 'warm': 186, 'cold': 36}}","[881.0, 881.0, 881.0, 881.0]",518.0,175.07671232876712,959.9259999999999,775.2757358575342
2050,62660.448000000004,64333340.118911676,0.0,0.0,8640000.0,21928450.500000004,24132961.2000051,25320.25699885766,2506417.92,517067.9999999988,0.0,0.0,1.0,1026.6977363282126,"{'engine1': {'hot': 24, 'warm': 189, 'cold': 36}, 'engine2': {'hot': 24, 'warm': 189, 'cold': 36}, 'engine3': {'hot': 24, 'warm': 189, 'cold': 36}, 'engine4': {'hot': 24, 'warm': 189, 'cold': 36}}","[899.0, 899.0, 899.0, 899.0]",520.0,175.07671232876712,959.9259999999999,775.2757358575342
2051,62660.448000000004,64333340.118911676,0.0,0.0,8640000.0,21928450.500000004,24132961.2000051,25320.25699885766,2506417.92,517067.9999999988,0.0,0.0,1.0,1026.6977363282126,"{'engine1': {'hot': 24, 'warm': 189, 'cold': 36}, 'engine2': {'hot': 24, 'warm': 189, 'cold': 36}, 'engine3': {'hot': 24, 'warm': 189, 'cold': 36}, 'engine4': {'hot': 24, 'warm': 189, 'cold': 36}}","[899.0, 899.0, 899.0, 899.0]",520.0,175.07671232876712,959.9259999999999,775.2757358575342
2052,62660.448000000004,64333340.118911676,0.0,0.0,8640000.0,21928450.500000004,24132961.2000051,25320.25699885766,2506417.92,517067.9999999988,0.0,0.0,1.0,1026.6977363282126,"{'engine1': {'hot': 24, 'warm': 189, 'cold': 36}, 'engine2': {'hot': 24, 'warm': 189, 'cold': 36}, 'engine3': {'hot': 24, 'warm': 189, 'cold': 36}, 'engine4': {'hot': 24, 'warm': 189, 'cold': 36}}","[899.0, 899.0, 899.0, 899.0]",520.0,175.07671232876712,959.9259999999999,775.2757358575342
2053,62660.448000000004,64333340.118911676,0.0,0.0,8640000.0,21928450.500000004,24132961.2000051,25320.25699885766,2506417.92,517067.9999999988,0.0,0.0,1.0,1026.6977363282126,"{'engine1': {'hot': 24, 'warm': 189, 'cold': 36}, 'engine2': {'hot': 24, 'warm': 189, 'cold': 36}, 'engine3': {'hot': 24, 'warm': 189, 'cold': 36}, 'engine4': {'hot': 24, 'warm': 189, 'cold': 36}}","[899.0, 899.0, 899.0, 899.0]",520.0,175.07671232876712,959.9259999999999,775.2757358575342
2054,62660.448000000004,64333340.118911676,0.0,0.0,8640000.0,21928450.500000004,24132961.2000051,25320.25699885766,2506417.92,517067.9999999988,0.0,0.0,1.0,1026.6977363282126,"{'engine1': {'hot': 24, 'warm': 189, 'cold': 36}, 'engine2': {'hot': 24, 'warm': 189, 'cold': 36}, 'engine3': {'hot': 24, 'warm': 189, 'cold': 36}, 'engine4': {'hot': 24, 'warm': 189, 'cold': 36}}","[899.0, 899.0, 899.0, 899.0]",520.0,175.07671232876712,959.9259999999999,775.2757358575342
2055,62660.448000000004,64333340.118911676,0.0,0.0,8640000.0,21928450.500000004,24132961.2000051,25320.25699885766,2506417.92,517067.9999999988,0.0,0.0,1.0,1026.6977363282126,"{'engine1': {'hot': 24, 'warm': 189, 'cold': 36}, 'engine2': {'hot': 24, 'warm': 189, 'cold': 36}, 'engine3': {'hot': 24, 'warm': 189, 'cold': 36}, 'engine4': {'hot': 24, 'warm': 189, 'cold': 36}}","[899.0, 899.0, 899.0, 899.0]",520.0,175.07671232876712,959.9259999999999,775.2757358575342
