year,capex,other_capex,capex_total,energy_mwh,revenue_market,cfd_payment,capacity_rev,balancing_rev,fuel,co2,co2_t,vom,start,cycling,fund,fom,sustaining,property_tax,licence_fee,fixed_other,staff_cost,revenue,opex,ebitda,depreciation_tax,decommissioning,ebit_tax,debt_draw,interest,principal,debt_service,taxable_income,cit,fcf_pretax,fcf_posttax,equity_cf,dscr,local_property_tax_host,local_property_tax_neighbours,local_cit_gmina,local_cit_powiat,local_cit_wojewodztwo,pit_paid_staff,local_pit_gmina,local_pit_powiat,local_pit_wojewodztwo,local_total,state_cit,state_fund_contribution,state_eua_revenue,cfd_cost_to_state,operating
2031,1436.4,310.8,1747.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1747.2,-1747.2,-1747.2,,0.0,0.0,0.0,0.0,0.0,0.0,1.334357181818182,0.3812449090909092,0.0,1.7156020909090912,0.0,0.0,0.0,0.0,False
2032,2633.3999999999996,19.799999999999997,2653.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2653.2,-2653.2,-2653.2,,0.0,0.0,0.0,0.0,0.0,0.0,2.4463215,0.6989489999999999,0.0,3.1452704999999996,0.0,0.0,0.0,0.0,False
2033,2513.7,18.9,2532.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2532.6,-2532.6,-2532.6,,0.0,0.0,0.0,0.0,0.0,0.0,2.335125068181818,0.6671785909090909,0.0,3.002303659090909,0.0,0.0,0.0,0.0,False
2034,1396.5000000000007,460.5,1857.0000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1857.0000000000007,-1857.0000000000007,-1857.0000000000007,,0.0,0.0,0.0,0.0,0.0,0.0,1.2972917045454553,0.37065477272727293,0.0,1.6679464772727282,0.0,0.0,0.0,0.0,False
2035,0.0,0.0,0.0,2370109.875,712.7457082316572,477.7808387821955,0.0,0.0,54.5146015475777,0.0,0.0,18.960879,0.0,0.0,40.671085455,148.20000000000002,33.7041,12.768,5.952632735069264,0.0,24.0,1190.5265470138527,314.7712987376469,875.7552482762057,683.4225,0.0,192.33274827620573,0.0,0.0,0.0,0.0,192.33274827620573,36.54322217247909,875.7552482762057,839.2120261037267,839.2120261037267,,6.384,6.384,3.077323972419292,3.269656720695498,4.4236532103527315,2.1885577689243023,0.7219482071713146,0.2062709163346613,0.03609741035856573,24.502950437332064,36.54322217247909,40.671085455,0.0,477.7808387821955,True
2036,0.0,0.0,0.0,2292133.875,681.0030707564019,470.3923104686981,0.0,0.0,52.7211535475777,0.0,0.0,18.337070999999998,0.0,0.0,39.333017295,148.20000000000002,33.7041,12.768,5.7569769061255,0.0,24.0,1151.3953812251,310.82031874870313,840.5750624763969,683.4225,0.0,157.15256247639684,0.0,0.0,0.0,0.0,157.15256247639684,29.8589868705154,840.5750624763969,810.7160756058814,810.7160756058814,,6.384,6.384,2.5144409996223493,2.6715935620987463,3.6145089369571273,2.1885577689243023,0.7219482071713146,0.2062709163346613,0.03609741035856573,22.532860032542764,29.8589868705154,39.333017295,0.0,470.3923104686981,True
2037,0.0,0.0,0.0,2292133.875,676.4269373408704,474.9639833338323,0.0,0.0,52.7211535475777,0.0,0.0,18.337070999999998,0.0,0.0,39.333017295,148.20000000000002,33.7041,12.768,5.756954603373513,0.0,24.0,1151.3909206747026,310.82029644595116,840.5706242287514,683.4225,0.0,157.14812422875139,0.0,0.0,0.0,0.0,157.14812422875139,29.858143603462764,840.5706242287514,810.7124806252887,810.7124806252887,,6.384,6.384,2.514369987660022,2.6715181118887736,3.6144068572612817,2.1885577689243023,0.7219482071713146,0.2062709163346613,0.03609741035856573,22.53261149067462,29.858143603462764,39.333017295,0.0,474.9639833338323,True
2038,0.0,0.0,0.0,2444952.3000000003,720.5614473917138,507.5443405683648,0.0,0.0,56.236059441213825,0.0,0.0,19.5596184,0.0,0.0,41.955381468,114.0,33.7041,12.768,6.140528939800394,0.0,24.0,1228.1057879600787,284.36368824901416,943.7420997110646,683.4225,0.0,260.3195997110646,0.0,0.0,0.0,0.0,260.3195997110646,49.46072394510227,943.7420997110646,894.2813757659624,894.2813757659624,,6.384,6.384,4.165113595377034,4.4254331950880985,5.987350793354485,2.1885577689243023,0.7219482071713146,0.2062709163346613,0.03609741035856573,28.31021411768416,49.46072394510227,41.955381468,0.0,507.5443405683648,True
2039,0.0,0.0,0.0,2364513.9,688.3461300214765,499.39260700198867,0.0,0.0,54.385976241213825,0.0,0.0,18.9161112,0.0,0.0,40.57505852399999,114.0,33.7041,12.768,5.938693685117325,0.0,24.0,1187.738737023465,280.28793965033117,907.4507973731339,683.4225,0.0,224.0282973731339,0.0,0.0,0.0,0.0,224.0282973731339,42.56537650089545,907.4507973731339,864.8854208722385,864.8854208722385,,6.384,6.384,3.584452757970143,3.8084810553432766,5.15265083958208,2.1885577689243023,0.7219482071713146,0.2062709163346613,0.03609741035856573,26.27790118676004,42.56537650089545,40.57505852399999,0.0,499.39260700198867,True
2040,0.0,0.0,0.0,2364513.9,683.6257241434301,504.1082474347916,0.0,0.0,54.385976241213825,0.0,0.0,18.9161112,0.0,0.0,40.57505852399999,114.0,33.7041,12.768,5.938669857891109,0.0,24.0,1187.7339715782218,280.287915823105,907.4460557551168,683.4225,0.0,224.02355575511683,0.0,0.0,0.0,0.0,224.02355575511683,42.564475593472196,907.4460557551168,864.8815801616447,864.8815801616447,,6.384,6.384,3.5843768920818695,3.8084004478369864,5.152541782367687,2.1885577689243023,0.7219482071713146,0.2062709163346613,0.03609741035856573,26.277635656151087,42.564475593472196,40.57505852399999,0.0,504.1082474347916,True
