year,energy_mwh,revenue_market_pln,cfd_payment_pln,capacity_rev_pln,balancing_rev_pln,fuel_cost_pln,co2_cost_pln,co2_t,vom_cost_pln,start_cost_pln,cycling_cost_pln,fund_cost_pln,fom_multiplier,capture_price,x_hours_at_min,x_curtailed_mwh,x_price_mean,x_neg_hours,x_avail_mean
2035,2370109.875,712745708.2316573,477780838.7821955,0.0,0.0,54514601.5475777,0.0,0.0,18960879.0,0.0,0.0,40671085.455,1.3,502.30858896946836,8,1660.125,300.0,299,0.9500000000000002
2036,2292133.875,681003070.756402,470392310.46869814,0.0,0.0,52721153.5475777,0.0,0.0,18337071.0,0.0,0.0,39333017.295,1.3,502.3246651442207,8,1660.125,298.0,298,0.9187671232876714
2037,2292133.875,676426937.3408704,474963983.3338323,0.0,0.0,52721153.5475777,0.0,0.0,18337071.0,0.0,0.0,39333017.295,1.3,502.3227191189706,8,1660.125,296.0,297,0.9187671232876714
2038,2444952.3000000003,720561447.3917139,507544340.56836486,0.0,0.0,56236059.44121383,0.0,0.0,19559618.400000002,0.0,0.0,41955381.468,1.0,502.3025553341382,8,1715.7,294.0,297,0.9800000000000003
2039,2364513.9,688346130.0214765,499392607.0019887,0.0,0.0,54385976.24121383,0.0,0.0,18916111.2,0.0,0.0,40575058.524,1.0,502.31835686119894,8,1715.7,292.0,296,0.9477808219178083
2040,2364513.9,683625724.1434302,504108247.4347916,0.0,0.0,54385976.24121383,0.0,0.0,18916111.2,0.0,0.0,40575058.524,1.0,502.3163414595371,8,1715.7,290.0,296,0.9477808219178083
2041,2444952.3000000003,708320417.7734476,519775464.64606273,0.0,0.0,56236059.44121383,0.0,0.0,19559618.400000002,0.0,0.0,41955381.468,1.0,502.2985039092625,8,1715.7,289.0,296,0.9800000000000003
2042,2364513.9,678899729.9705987,508833355.7038853,0.0,0.0,54385976.24121383,0.0,0.0,18916111.2,0.0,0.0,40575058.524,1.0,502.31596679321035,8,1715.7,288.0,296,0.9477808219178083
2043,2364513.9,676536791.9154661,511195809.82607704,0.0,0.0,54385976.24121383,0.0,0.0,18916111.2,0.0,0.0,40575058.524,1.0,502.3157621283355,8,1715.7,287.0,295,0.9477808219178083
2044,2277372.3,649389667.0496845,494616554.9610025,0.0,0.0,52381719.44121383,0.0,0.0,18218978.4,0.0,0.0,39079708.668,1.0,502.3360572229175,8,1715.7,286.0,295,0.9128767123287673
2045,2364513.9,671811033.8677663,515920518.04574996,0.0,0.0,54385976.24121383,0.0,0.0,18916111.2,0.0,0.0,40575058.524,1.0,502.3153181351637,8,1715.7,285.0,295,0.9477808219178083
