year,capex,other_capex,capex_total,energy_mwh,revenue_market,cfd_payment,capacity_rev,balancing_rev,fuel,co2,co2_t,vom,start,cycling,fund,fom,sustaining,property_tax,licence_fee,fixed_other,staff_cost,revenue,opex,ebitda,depreciation_tax,decommissioning,ebit_tax,debt_draw,interest,principal,debt_service,taxable_income,cit,fcf_pretax,fcf_posttax,equity_cf,dscr,local_property_tax_host,local_property_tax_neighbours,local_cit_gmina,local_cit_powiat,local_cit_wojewodztwo,pit_paid_staff,local_pit_gmina,local_pit_powiat,local_pit_wojewodztwo,local_total,state_cit,state_fund_contribution,state_eua_revenue,cfd_cost_to_state,operating
2031,1436.4,310.8,1747.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1747.2,-1747.2,-1747.2,,0.0,0.0,0.0,0.0,0.0,0.0,1.334357181818182,0.3812449090909092,0.0,1.7156020909090912,0.0,0.0,0.0,0.0,False
2032,2633.3999999999996,19.799999999999997,2653.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2653.2,-2653.2,-2653.2,,0.0,0.0,0.0,0.0,0.0,0.0,2.4463215,0.6989489999999999,0.0,3.1452704999999996,0.0,0.0,0.0,0.0,False
2033,2513.7,18.9,2532.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2532.6,-2532.6,-2532.6,,0.0,0.0,0.0,0.0,0.0,0.0,2.335125068181818,0.6671785909090909,0.0,3.002303659090909,0.0,0.0,0.0,0.0,False
2034,1396.5000000000007,460.5,1857.0000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1857.0000000000007,-1857.0000000000007,-1857.0000000000007,,0.0,0.0,0.0,0.0,0.0,0.0,1.2972917045454553,0.37065477272727293,0.0,1.6679464772727282,0.0,0.0,0.0,0.0,False
2035,0.0,0.0,0.0,2371770.0,1146.4937094140628,0.0,0.0,0.0,54.550709999999995,0.0,0.0,18.974159999999998,0.0,0.0,40.6995732,148.20000000000002,33.7041,12.768,5.732468547070314,0.0,24.0,1146.4937094140628,314.6290117470703,831.8646976669925,683.4225,0.0,148.44219766699246,0.0,0.0,0.0,0.0,148.44219766699246,28.204017556728566,831.8646976669925,803.6606801102639,803.6606801102639,,6.384,6.384,2.3750751626718793,2.523517360338872,3.4141705463408263,2.1885577689243023,0.7219482071713146,0.2062709163346613,0.03609741035856573,22.04507960321612,28.204017556728566,40.6995732,0.0,0.0,True
2036,0.0,0.0,0.0,2293794.0,1108.8007655429153,0.0,0.0,0.0,52.757262,0.0,0.0,18.350352,0.0,0.0,39.36150504,148.20000000000002,33.7041,12.768,5.544003827714577,0.0,24.0,1108.8007655429153,310.6852228677146,798.1155426752007,683.4225,0.0,114.69304267520067,0.0,0.0,0.0,0.0,114.69304267520067,21.791678108288128,798.1155426752007,776.3238645669126,776.3238645669126,,6.384,6.384,1.8350886828032107,1.9497817254784116,2.6379399815296156,2.1885577689243023,0.7219482071713146,0.2062709163346613,0.03609741035856573,20.15512692367578,21.791678108288128,39.36150504,0.0,0.0,True
2037,0.0,0.0,0.0,2293794.0,1108.8007655429153,0.0,0.0,0.0,52.757262,0.0,0.0,18.350352,0.0,0.0,39.36150504,148.20000000000002,33.7041,12.768,5.544003827714577,0.0,24.0,1108.8007655429153,310.6852228677146,798.1155426752007,683.4225,0.0,114.69304267520067,0.0,0.0,0.0,0.0,114.69304267520067,21.791678108288128,798.1155426752007,776.3238645669126,776.3238645669126,,6.384,6.384,1.8350886828032107,1.9497817254784116,2.6379399815296156,2.1885577689243023,0.7219482071713146,0.2062709163346613,0.03609741035856573,20.15512692367578,21.791678108288128,39.36150504,0.0,0.0,True
2038,0.0,0.0,0.0,2446668.0000000005,1182.698773921875,0.0,0.0,0.0,56.273364000000015,0.0,0.0,19.573344000000002,0.0,0.0,41.98482288000001,114.0,33.7041,12.768,5.9134938696093755,0.0,24.0,1182.698773921875,284.2171247496094,898.4816491722656,683.4225,0.0,215.05914917226562,0.0,0.0,0.0,0.0,215.05914917226562,40.861238342730466,898.4816491722656,857.6204108295352,857.6204108295352,,6.384,6.384,3.44094638675625,3.6560055359285157,4.946360430962109,2.1885577689243023,0.7219482071713146,0.2062709163346613,0.03609741035856573,25.775628887511413,40.861238342730466,41.98482288000001,0.0,0.0,True
2039,0.0,0.0,0.0,2366229.6,1143.8155265600599,0.0,0.0,0.0,54.42328080000001,0.0,0.0,18.9298368,0.0,0.0,40.604499936,114.0,33.7041,12.768,5.7190776328003,0.0,24.0,1143.8155265600599,280.1487951688003,863.6667313912596,683.4225,0.0,180.24423139125963,0.0,0.0,0.0,0.0,180.24423139125963,34.24640396433933,863.6667313912596,829.4203274269203,829.4203274269203,,6.384,6.384,2.8839077022601542,3.064151933651414,4.145617321998971,2.1885577689243023,0.7219482071713146,0.2062709163346613,0.03609741035856573,23.82599349177508,34.24640396433933,40.604499936,0.0,0.0,True
2040,0.0,0.0,0.0,2366229.6,1143.8155265600599,0.0,0.0,0.0,54.42328080000001,0.0,0.0,18.9298368,0.0,0.0,40.604499936,114.0,33.7041,12.768,5.7190776328003,0.0,24.0,1143.8155265600599,280.1487951688003,863.6667313912596,683.4225,0.0,180.24423139125963,0.0,0.0,0.0,0.0,180.24423139125963,34.24640396433933,863.6667313912596,829.4203274269203,829.4203274269203,,6.384,6.384,2.8839077022601542,3.064151933651414,4.145617321998971,2.1885577689243023,0.7219482071713146,0.2062709163346613,0.03609741035856573,23.82599349177508,34.24640396433933,40.604499936,0.0,0.0,True
