year,energy_mwh,revenue_market_pln,cfd_payment_pln,capacity_rev_pln,balancing_rev_pln,fuel_cost_pln,co2_cost_pln,co2_t,vom_cost_pln,start_cost_pln,cycling_cost_pln,fund_cost_pln,fom_multiplier,capture_price,x_hours_at_min,x_curtailed_mwh,x_price_mean,x_neg_hours,x_avail_mean
2035,2371770.0,1146493709.4140627,0.0,0.0,0.0,54550710.0,0.0,0.0,18974160.0,0.0,0.0,40699573.2,1.3,483.3916060216896,0,0.0,300.0,299,0.9500000000000002
2036,2293794.0,1108800765.5429153,0.0,0.0,0.0,52757262.0,0.0,0.0,18350352.0,0.0,0.0,39361505.04,1.3,483.39160602168954,0,0.0,298.0,298,0.9187671232876714
2037,2293794.0,1108800765.5429153,0.0,0.0,0.0,52757262.0,0.0,0.0,18350352.0,0.0,0.0,39361505.04,1.3,483.39160602168954,0,0.0,296.0,297,0.9187671232876714
2038,2446668.0000000005,1182698773.921875,0.0,0.0,0.0,56273364.000000015,0.0,0.0,19573344.000000004,0.0,0.0,41984822.88000001,1.0,483.3916060216894,0,0.0,294.0,297,0.9800000000000003
2039,2366229.6,1143815526.56006,0.0,0.0,0.0,54423280.80000001,0.0,0.0,18929836.8,0.0,0.0,40604499.936000004,1.0,483.39160602168954,0,0.0,292.0,296,0.9477808219178083
2040,2366229.6,1143815526.56006,0.0,0.0,0.0,54423280.80000001,0.0,0.0,18929836.8,0.0,0.0,40604499.936000004,1.0,483.39160602168954,0,0.0,290.0,296,0.9477808219178083
2041,2446668.0000000005,1182698773.921875,0.0,0.0,0.0,56273364.000000015,0.0,0.0,19573344.000000004,0.0,0.0,41984822.88000001,1.0,483.3916060216894,0,0.0,289.0,296,0.9800000000000003
2042,2366229.6,1143815526.56006,0.0,0.0,0.0,54423280.80000001,0.0,0.0,18929836.8,0.0,0.0,40604499.936000004,1.0,483.39160602168954,0,0.0,288.0,296,0.9477808219178083
2043,2366229.6,1143815526.56006,0.0,0.0,0.0,54423280.80000001,0.0,0.0,18929836.8,0.0,0.0,40604499.936000004,1.0,483.39160602168954,0,0.0,287.0,295,0.9477808219178083
2044,2279088.0,1101692008.5847604,0.0,0.0,0.0,52419024.000000015,0.0,0.0,18232704.0,0.0,0.0,39109150.08,1.0,483.39160602168954,0,0.0,286.0,295,0.9128767123287673
2045,2366229.6,1143815526.56006,0.0,0.0,0.0,54423280.80000001,0.0,0.0,18929836.8,0.0,0.0,40604499.936000004,1.0,483.39160602168954,0,0.0,285.0,295,0.9477808219178083
2046,2366229.6,1143815526.56006,0.0,0.0,0.0,54423280.80000001,0.0,0.0,18929836.8,0.0,0.0,40604499.936000004,1.0,483.39160602168954,0,0.0,284.0,295,0.9477808219178083
2047,2446668.0000000005,1182698773.921875,0.0,0.0,0.0,56273364.000000015,0.0,0.0,19573344.000000004,0.0,0.0,41984822.88000001,1.0,483.3916060216894,0,0.0,283.0,294,0.9800000000000003
2048,2366229.6,1143815526.56006,0.0,0.0,0.0,54423280.80000001,0.0,0.0,18929836.8,0.0,0.0,40604499.936000004,1.0,483.39160602168954,0,0.0,281.99999999999994,293,0.9477808219178083
2049,2366229.6,1143815526.56006,0.0,0.0,0.0,54423280.80000001,0.0,0.0,18929836.8,0.0,0.0,40604499.936000004,1.0,483.39160602168954,0,0.0,281.0,291,0.9477808219178083
2050,2446668.0000000005,1182698773.921875,0.0,0.0,0.0,56273364.000000015,0.0,0.0,19573344.000000004,0.0,0.0,41984822.88000001,1.0,483.3916060216894,0,0.0,280.0,291,0.9800000000000003
