year,capex,other_capex,capex_total,energy_mwh,revenue_market,cfd_payment,capacity_rev,balancing_rev,fuel,co2,co2_t,vom,start,cycling,fund,fom,sustaining,property_tax,licence_fee,fixed_other,staff_cost,revenue,opex,ebitda,depreciation_tax,decommissioning,ebit_tax,debt_draw,interest,principal,debt_service,taxable_income,cit,fcf_pretax,fcf_posttax,equity_cf,dscr,local_property_tax_host,local_property_tax_neighbours,local_cit_gmina,local_cit_powiat,local_cit_wojewodztwo,pit_paid_staff,local_pit_gmina,local_pit_powiat,local_pit_wojewodztwo,local_total,state_cit,state_fund_contribution,state_eua_revenue,cfd_cost_to_state,operating
2031,1436.4,310.8,1747.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1747.2,-1747.2,-1747.2,,0.0,0.0,0.0,0.0,0.0,0.0,1.334357181818182,0.3812449090909092,0.0,1.7156020909090912,0.0,0.0,0.0,0.0,False
2032,2633.3999999999996,19.799999999999997,2653.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2653.2,-2653.2,-2653.2,,0.0,0.0,0.0,0.0,0.0,0.0,2.4463215,0.6989489999999999,0.0,3.1452704999999996,0.0,0.0,0.0,0.0,False
2033,2513.7,18.9,2532.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2532.6,-2532.6,-2532.6,,0.0,0.0,0.0,0.0,0.0,0.0,2.335125068181818,0.6671785909090909,0.0,3.002303659090909,0.0,0.0,0.0,0.0,False
2034,1396.5000000000007,460.5,1857.0000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1857.0000000000007,-1857.0000000000007,-1857.0000000000007,,0.0,0.0,0.0,0.0,0.0,0.0,1.2972917045454553,0.37065477272727293,0.0,1.6679464772727282,0.0,0.0,0.0,0.0,False
2035,0.0,0.0,0.0,2371770.0,711.531,0.0,0.0,0.0,54.550709999999995,0.0,0.0,18.974159999999998,0.0,0.0,40.6995732,148.20000000000002,33.7041,12.768,3.557655,0.0,24.0,711.531,312.4541982,399.07680179999994,683.4225,0.0,-284.3456982000001,0.0,0.0,0.0,0.0,-284.3456982000001,0.0,399.07680179999994,399.07680179999994,399.07680179999994,,6.384,6.384,0.0,0.0,0.0,2.1885577689243023,0.7219482071713146,0.2062709163346613,0.03609741035856573,13.732316533864543,0.0,40.6995732,0.0,0.0,True
2036,0.0,0.0,0.0,2293794.0,679.7919870845811,0.0,0.0,0.0,52.757262,0.0,0.0,18.350352,0.0,0.0,39.36150504,148.20000000000002,33.7041,12.768,3.398959935422906,0.0,24.0,679.7919870845811,308.5401789754229,371.2518081091582,683.4225,0.0,-312.1706918908418,0.0,0.0,0.0,0.0,-312.1706918908418,0.0,371.2518081091582,371.2518081091582,371.2518081091582,,6.384,6.384,0.0,0.0,0.0,2.1885577689243023,0.7219482071713146,0.2062709163346613,0.03609741035856573,13.732316533864543,0.0,39.36150504,0.0,0.0,True
2037,0.0,0.0,0.0,2293794.0,675.2195382757992,0.0,0.0,0.0,52.757262,0.0,0.0,18.350352,0.0,0.0,39.36150504,148.20000000000002,33.7041,12.768,3.376097691378996,0.0,24.0,675.2195382757992,308.517316731379,366.7022215444202,683.4225,0.0,-316.72027845557983,0.0,0.0,0.0,0.0,-316.72027845557983,0.0,366.7022215444202,366.7022215444202,366.7022215444202,,6.384,6.384,0.0,0.0,0.0,2.1885577689243023,0.7219482071713146,0.2062709163346613,0.03609741035856573,13.732316533864543,0.0,39.36150504,0.0,0.0,True
2038,0.0,0.0,0.0,2446668.0000000005,719.320392,0.0,0.0,0.0,56.273364000000015,0.0,0.0,19.573344000000002,0.0,0.0,41.98482288000001,114.0,33.7041,12.768,3.59660196,0.0,24.0,719.320392,281.90023284,437.42015915999997,683.4225,0.0,-246.00234084000004,0.0,0.0,0.0,0.0,-246.00234084000004,0.0,437.42015915999997,437.42015915999997,437.42015915999997,,6.384,6.384,0.0,0.0,0.0,2.1885577689243023,0.7219482071713146,0.2062709163346613,0.03609741035856573,13.732316533864543,0.0,41.98482288000001,0.0,0.0,True
2039,0.0,0.0,0.0,2366229.6,687.1089985033367,0.0,0.0,0.0,54.42328080000001,0.0,0.0,18.9298368,0.0,0.0,40.604499936,114.0,33.7041,12.768,3.4355449925166837,0.0,24.0,687.1089985033367,277.86526252851667,409.24373597482,683.4225,0.0,-274.17876402518,0.0,0.0,0.0,0.0,-274.17876402518,0.0,409.24373597482,409.24373597482,409.24373597482,,6.384,6.384,0.0,0.0,0.0,2.1885577689243023,0.7219482071713146,0.2062709163346613,0.03609741035856573,13.732316533864543,0.0,40.604499936,0.0,0.0,True
2040,0.0,0.0,0.0,2366229.6,682.3925783985917,0.0,0.0,0.0,54.42328080000001,0.0,0.0,18.9298368,0.0,0.0,40.604499936,114.0,33.7041,12.768,3.4119628919929585,0.0,24.0,682.3925783985917,277.84168042799297,404.5508979705987,683.4225,0.0,-278.8716020294013,0.0,0.0,0.0,0.0,-278.8716020294013,0.0,404.5508979705987,404.5508979705987,404.5508979705987,,6.384,6.384,0.0,0.0,0.0,2.1885577689243023,0.7219482071713146,0.2062709163346613,0.03609741035856573,13.732316533864543,0.0,40.604499936,0.0,0.0,True
