year,capex,other_capex,capex_total,energy_mwh,revenue_market,cfd_payment,capacity_rev,balancing_rev,fuel,co2,co2_t,vom,start,cycling,fund,fom,sustaining,property_tax,licence_fee,fixed_other,staff_cost,revenue,opex,ebitda,depreciation_tax,decommissioning,ebit_tax,debt_draw,interest,principal,debt_service,taxable_income,cit,fcf_pretax,fcf_posttax,equity_cf,dscr,local_property_tax_host,local_property_tax_neighbours,local_cit_gmina,local_cit_powiat,local_cit_wojewodztwo,pit_paid_staff,local_pit_gmina,local_pit_powiat,local_pit_wojewodztwo,local_total,state_cit,state_fund_contribution,state_eua_revenue,cfd_cost_to_state,operating
2031,1436.4,310.8,1747.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1747.2,-1747.2,-1747.2,,0.0,0.0,0.0,0.0,0.0,0.0,1.334357181818182,0.3812449090909092,0.0,1.7156020909090912,0.0,0.0,0.0,0.0,False
2032,2633.3999999999996,19.799999999999997,2653.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2653.2,-2653.2,-2653.2,,0.0,0.0,0.0,0.0,0.0,0.0,2.4463215,0.6989489999999999,0.0,3.1452704999999996,0.0,0.0,0.0,0.0,False
2033,2513.7,18.9,2532.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2532.6,-2532.6,-2532.6,,0.0,0.0,0.0,0.0,0.0,0.0,2.335125068181818,0.6671785909090909,0.0,3.002303659090909,0.0,0.0,0.0,0.0,False
2034,1396.5000000000007,460.5,1857.0000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1857.0000000000007,-1857.0000000000007,-1857.0000000000007,,0.0,0.0,0.0,0.0,0.0,0.0,1.2972917045454553,0.37065477272727293,0.0,1.6679464772727282,0.0,0.0,0.0,0.0,False
2035,0.0,0.0,0.0,2287374.375,713.5969873397851,0.0,0.0,0.0,52.708956878311376,0.0,0.0,18.298994999999998,0.0,0.0,39.251344274999994,148.20000000000002,33.7041,12.768,3.5679849366989256,0.0,24.0,713.5969873397851,308.4993810900102,405.09760624977486,683.4225,0.0,-278.32489375022516,0.0,0.0,0.0,0.0,-278.32489375022516,0.0,405.09760624977486,405.09760624977486,405.09760624977486,,6.384,6.384,0.0,0.0,0.0,2.1885577689243023,0.7219482071713146,0.2062709163346613,0.03609741035856573,13.732316533864543,0.0,39.251344274999994,0.0,0.0,True
2036,0.0,0.0,0.0,2209298.625,681.8478883784657,0.0,0.0,0.0,50.9133519597144,0.0,0.0,17.674388999999998,0.0,0.0,37.911564405,148.20000000000002,33.7041,12.768,3.4092394418923284,0.0,24.0,681.8478883784657,304.5806448066067,377.26724357185896,683.4225,0.0,-306.15525642814106,0.0,0.0,0.0,0.0,-306.15525642814106,0.0,377.26724357185896,377.26724357185896,377.26724357185896,,6.384,6.384,0.0,0.0,0.0,2.1885577689243023,0.7219482071713146,0.2062709163346613,0.03609741035856573,13.732316533864543,0.0,37.911564405,0.0,0.0,True
2037,0.0,0.0,0.0,2208921.0,677.2519485357678,0.0,0.0,0.0,50.9051094095411,0.0,0.0,17.671367999999998,0.0,0.0,37.90508436,148.20000000000002,33.7041,12.768,3.3862597426788392,0.0,24.0,677.2519485357678,304.53992151221996,372.7120270235479,683.4225,0.0,-310.71047297645214,0.0,0.0,0.0,0.0,-310.71047297645214,0.0,372.7120270235479,372.7120270235479,372.7120270235479,,6.384,6.384,0.0,0.0,0.0,2.1885577689243023,0.7219482071713146,0.2062709163346613,0.03609741035856573,13.732316533864543,0.0,37.90508436,0.0,0.0,True
2038,0.0,0.0,0.0,2359127.4000000004,721.3927239156039,0.0,0.0,0.0,54.3634221629996,0.0,0.0,18.8730192,0.0,0.0,40.482626184000004,114.0,33.7041,12.768,3.60696361957802,0.0,24.0,721.3927239156039,277.79813116657766,443.5945927490263,683.4225,0.0,-239.82790725097374,0.0,0.0,0.0,0.0,-239.82790725097374,0.0,443.5945927490263,443.5945927490263,443.5945927490263,,6.384,6.384,0.0,0.0,0.0,2.1885577689243023,0.7219482071713146,0.2062709163346613,0.03609741035856573,13.732316533864543,0.0,40.482626184000004,0.0,0.0,True
2039,0.0,0.0,0.0,2278529.4000000004,689.1682988059214,0.0,0.0,0.0,52.50984313801372,0.0,0.0,18.228235200000004,0.0,0.0,39.09956450400001,114.0,33.7041,12.768,3.445841494029607,0.0,24.0,689.1682988059214,273.75558433604334,415.41271446987804,683.4225,0.0,-268.009785530122,0.0,0.0,0.0,0.0,-268.009785530122,0.0,415.41271446987804,415.41271446987804,415.41271446987804,,6.384,6.384,0.0,0.0,0.0,2.1885577689243023,0.7219482071713146,0.2062709163346613,0.03609741035856573,13.732316533864543,0.0,39.09956450400001,0.0,0.0,True
2040,0.0,0.0,0.0,2278449.5999999996,684.4426065800011,0.0,0.0,0.0,52.50809522552077,0.0,0.0,18.227596799999997,0.0,0.0,39.098195135999994,114.0,33.7041,12.768,3.4222130329000056,0.0,24.0,684.4426065800011,273.72820019442077,410.71440638558033,683.4225,0.0,-272.7080936144197,0.0,0.0,0.0,0.0,-272.7080936144197,0.0,410.71440638558033,410.71440638558033,410.71440638558033,,6.384,6.384,0.0,0.0,0.0,2.1885577689243023,0.7219482071713146,0.2062709163346613,0.03609741035856573,13.732316533864543,0.0,39.098195135999994,0.0,0.0,True
