year,energy_mwh,revenue_market_pln,cfd_payment_pln,capacity_rev_pln,balancing_rev_pln,fuel_cost_pln,co2_cost_pln,co2_t,vom_cost_pln,start_cost_pln,cycling_cost_pln,fund_cost_pln,fom_multiplier,capture_price,x_hours_at_min,x_curtailed_mwh,x_price_mean,x_neg_hours,x_avail_mean
2035,2287374.375,713596987.3397851,0.0,0.0,0.0,52708956.87831138,0.0,0.0,18298995.0,0.0,0.0,39251344.275,1.3,311.97210003709387,485,84395.625,300.0,299,0.9500000000000002
2036,2209298.625,681847888.3784657,0.0,0.0,0.0,50913351.9597144,0.0,0.0,17674389.0,0.0,0.0,37911564.405,1.3,308.6264032678994,485,84495.375,298.0,298,0.9187671232876714
2037,2208921.0,677251948.5357679,0.0,0.0,0.0,50905109.4095411,0.0,0.0,17671368.0,0.0,0.0,37905084.36,1.3,306.59853771853676,488,84873.0,296.0,297,0.9187671232876714
2038,2359127.4000000004,721392723.915604,0.0,0.0,0.0,54363422.1629996,0.0,0.0,18873019.200000003,0.0,0.0,40482626.18400001,1.0,305.78794681270875,488,87540.6,294.0,297,0.9800000000000003
2039,2278529.4000000004,689168298.8059214,0.0,0.0,0.0,52509843.13801372,0.0,0.0,18228235.200000003,0.0,0.0,39099564.50400001,1.0,302.4618856381319,490,87700.20000000001,292.0,296,0.9477808219178083
2040,2278449.5999999996,684442606.5800011,0.0,0.0,0.0,52508095.225520775,0.0,0.0,18227596.799999997,0.0,0.0,39098195.13599999,1.0,300.3983966026728,491,87780.0,290.0,296,0.9477808219178083
2041,2358888.0,709138664.4944487,0.0,0.0,0.0,54358178.42552078,0.0,0.0,18871104.0,0.0,0.0,40478518.08,1.0,300.6241349714139,491,87780.0,289.0,296,0.9800000000000003
2042,2278270.05,679710708.8902303,0.0,0.0,0.0,52504134.203190126,0.0,0.0,18226160.4,0.0,0.0,39095114.058,1.0,298.3451013150221,493,87959.55000000002,288.0,296,0.9477808219178083
2043,2278190.25,677345324.4017804,0.0,0.0,0.0,52502386.29069719,0.0,0.0,18225522.0,0.0,0.0,39093744.69,1.0,297.31727822194847,494,88039.35,287.0,295,0.9477808219178083
2044,2190809.25,650188092.2969422,0.0,0.0,0.0,50492917.056271076,0.0,0.0,17526474.0,0.0,0.0,37594286.73,1.0,296.77987360010565,495,88278.75000000001,286.0,295,0.9128767123287673
2045,2277771.3,672602269.971726,0.0,0.0,0.0,52493212.83394043,0.0,0.0,18222170.4,0.0,0.0,39086555.507999994,1.0,295.28964122593254,497,88458.30000000002,285.0,295,0.9477808219178083
2046,2277551.85,670230406.6247358,0.0,0.0,0.0,52488438.40558128,0.0,0.0,18220414.8,0.0,0.0,39082789.746,1.0,294.27668424968493,497,88677.75,284.0,295,0.9477808219178083
2047,2357910.45,694420976.8481783,0.0,0.0,0.0,54336773.69308834,0.0,0.0,18863283.6,0.0,0.0,40461743.322000004,1.0,294.50693381853335,498,88757.54999999999,283.0,294,0.9800000000000003
2048,2277252.6,665493596.1302294,0.0,0.0,0.0,52481884.761676475,0.0,0.0,18218020.8,0.0,0.0,39077654.616000004,1.0,292.23529973364805,500,88977.0,281.99999999999994,293,0.9477808219178083
2049,2277112.95,663125759.9632097,0.0,0.0,0.0,52478826.94275756,0.0,0.0,18216903.6,0.0,0.0,39075258.222,1.0,291.21338050587684,501,89116.65000000001,281.0,291,0.9477808219178083
2050,2357311.95,687056860.0271194,0.0,0.0,0.0,54323697.70833145,0.0,0.0,18858495.6,0.0,0.0,40451473.06200001,1.0,291.45775977045355,502,89356.05,280.0,291,0.9800000000000003
2051,2276873.55,660752035.1370568,0.0,0.0,0.0,52473614.50833145,0.0,0.0,18214988.4,0.0,0.0,39071150.118,1.0,290.20146293897477,502,89356.05,280.0,291,0.9477808219178083
2052,2276873.55,660750876.0872369,0.0,0.0,0.0,52473614.50833145,0.0,0.0,18214988.4,0.0,0.0,39071150.118,1.0,290.20095388575135,502,89356.05,280.0,291,0.9477808219178083
2053,2357192.25,687077175.0025315,0.0,0.0,0.0,54321105.0867573,0.0,0.0,18857538.0,0.0,0.0,40449419.01,1.0,291.48117850910614,503,89475.75000000001,280.0,291,0.9800000000000003
2054,2155856.85,628322235.9314758,0.0,0.0,0.0,49690684.65233119,0.0,0.0,17246854.8,0.0,0.0,36994503.546000004,1.0,291.4489595779403,504,89715.15000000001,280.0,291,0.8994520547945208
2055,2276514.45,660730274.5187663,0.0,0.0,0.0,52465809.452331185,0.0,0.0,18212115.6,0.0,0.0,39064987.962000005,1.0,290.2376809067767,504,89715.15000000001,280.0,291,0.9477808219178083
2056,2356952.85,687091924.9457538,0.0,0.0,0.0,54315892.65233119,0.0,0.0,18855622.8,0.0,0.0,40445310.906,1.0,291.51704284018825,504,89715.15000000001,280.0,291,0.9800000000000003
2057,2276434.65,660724293.3916227,0.0,0.0,0.0,52464061.53983824,0.0,0.0,18211477.2,0.0,0.0,39063618.594,1.0,290.2452277255676,505,89794.95,280.0,290,0.9477808219178083
2058,2276434.65,660723240.81754,0.0,0.0,0.0,52464061.53983824,0.0,0.0,18211477.2,0.0,0.0,39063618.594,1.0,290.244765347224,505,89794.95,280.0,290,0.9477808219178083
2059,2356893.0,687115419.2036204,0.0,0.0,0.0,54314582.745905206,0.0,0.0,18855144.0,0.0,0.0,40444283.88,1.0,291.534413825159,504,89775.0,280.0,290,0.9800000000000003
2060,2276295.0,660714485.710307,0.0,0.0,0.0,52461035.02397204,0.0,0.0,18210360.0,0.0,0.0,39061222.2,1.0,290.2587255651429,504,89934.6,280.0,290,0.9477808219178083
2061,2276115.45,660704888.1656032,0.0,0.0,0.0,52457132.49597191,0.0,0.0,18208923.6,0.0,0.0,39058141.122,1.0,290.27740581682843,505,90114.15,280.0,290,0.9477808219178083
2062,2356474.05,687121923.1301572,0.0,0.0,0.0,54305467.78347897,0.0,0.0,18851792.4,0.0,0.0,40437094.698,1.0,291.58900482275936,506,90193.94999999998,280.0,290,0.9800000000000003
2063,2276035.6500000004,660699252.1308413,0.0,0.0,0.0,52455384.58347897,0.0,0.0,18208285.200000003,0.0,0.0,39056771.75400001,1.0,290.2851069713434,506,90193.94999999998,280.0,290,0.9477808219178083
2064,2155378.05,628118791.9082094,0.0,0.0,0.0,49680259.78347897,0.0,0.0,17243024.4,0.0,0.0,36986287.338,1.0,291.41931361331694,506,90193.94999999998,280.0,290,0.8994520547945208
2065,2356394.25,687144929.569445,0.0,0.0,0.0,54303719.87098603,0.0,0.0,18851154.0,0.0,0.0,40435725.33,1.0,291.60864298045414,507,90273.75,280.0,290,0.9800000000000003
2066,2275955.8499999996,660692743.1693656,0.0,0.0,0.0,52453636.67098603,0.0,0.0,18207646.799999997,0.0,0.0,39055402.38599999,1.0,290.29242512299425,507,90273.75,280.0,290,0.9477808219178083
2067,2275955.8499999996,660691861.1195772,0.0,0.0,0.0,52453636.67098603,0.0,0.0,18207646.799999997,0.0,0.0,39055402.38599999,1.0,290.2920375716327,507,90273.75,280.0,289,0.9477808219178083
2068,2356394.25,687171811.1220891,0.0,0.0,0.0,54303719.87098603,0.0,0.0,18851154.0,0.0,0.0,40435725.33,1.0,291.6200508985664,507,90273.75,280.0,289,0.9800000000000003
2069,2275955.8499999996,660690097.0200002,0.0,0.0,0.0,52453636.67098603,0.0,0.0,18207646.799999997,0.0,0.0,39055402.38599999,1.0,290.2912624689096,507,90273.75,280.0,289,0.9477808219178083
2070,2275876.05,660685387.6393771,0.0,0.0,0.0,52451888.75849308,0.0,0.0,18207008.4,0.0,0.0,39054033.018,1.0,290.2993718130551,508,90353.54999999999,280.0,289,0.9477808219178083
2071,2356114.95,687185292.4025619,0.0,0.0,0.0,54297662.72747871,0.0,0.0,18848919.6,0.0,0.0,40430932.542,1.0,291.66034212488734,508,90553.04999999999,280.0,288,0.9800000000000003
2072,2275676.55,660674131.7169796,0.0,0.0,0.0,52447579.52747871,0.0,0.0,18205412.4,0.0,0.0,39050609.598,1.0,290.3198750793384,508,90553.05000000002,280.0,288,0.9477808219178083
2073,2275616.7,660670457.6973062,0.0,0.0,0.0,52446269.62105273,0.0,0.0,18204933.6,0.0,0.0,39049582.572000004,1.0,290.3258961394096,508,90612.9,280.0,288,0.9477808219178083
2074,2188395.3,636039919.0774195,0.0,0.0,0.0,50440264.908559784,0.0,0.0,17507162.4,0.0,0.0,37552863.348,1.0,290.6421518440565,509,90692.70000000001,280.0,288,0.9128767123287673
2075,2275417.2,660659349.3910857,0.0,0.0,0.0,52441960.390038356,0.0,0.0,18203337.6,0.0,0.0,39046159.152,1.0,290.3464689425243,508,90812.4,280.0,288,0.9477808219178083
2076,2275397.25,660657710.0066645,0.0,0.0,0.0,52441522.383971386,0.0,0.0,18203178.0,0.0,0.0,39045816.81,1.0,290.34829413047083,509,90832.35,280.0,288,0.9477808219178083
2077,2355596.25,687214954.1736238,0.0,0.0,0.0,54286393.14954528,0.0,0.0,18844770.0,0.0,0.0,40422031.65,1.0,291.737157491919,510,91071.75,280.0,288,0.9800000000000003
2078,2275157.8499999996,660644933.7922723,0.0,0.0,0.0,52436309.94954528,0.0,0.0,18201262.799999997,0.0,0.0,39041708.70599999,1.0,290.37323005622335,510,91071.75,280.0,287,0.9477808219178083
2079,2274898.5,660631860.5429835,0.0,0.0,0.0,52430659.5090522,0.0,0.0,18199188.0,0.0,0.0,39037258.26,1.0,290.4005873418016,512,91331.1,280.0,287,0.9477808219178083
2080,2355336.9000000004,687230270.4906955,0.0,0.0,0.0,54280742.709052205,0.0,0.0,18842695.200000003,0.0,0.0,40417581.204,1.0,291.7757839613923,512,91331.1,280.0,287,0.9800000000000003
2081,2274659.1,660619274.7572993,0.0,0.0,0.0,52425447.07462609,0.0,0.0,18197272.8,0.0,0.0,39033150.156,1.0,290.4256179562464,513,91570.5,280.0,287,0.9477808219178083
2082,2274579.3,660614950.2974198,0.0,0.0,0.0,52423699.16213315,0.0,0.0,18196634.4,0.0,0.0,39031780.787999995,1.0,290.433905864447,514,91650.29999999999,280.0,287,0.9477808219178083
2083,2354957.85,687240074.5131829,0.0,0.0,0.0,54272472.45570718,0.0,0.0,18839662.8,0.0,0.0,40411076.706,1.0,291.8269108354457,514,91710.15,280.0,287,0.9800000000000003
2084,2153782.05,627686837.2457998,0.0,0.0,0.0,49645516.54321423,0.0,0.0,17230256.4,0.0,0.0,36958899.978,1.0,291.4347054038266,515,91789.95,280.0,287,0.8994520547945208
2085,2274240.1500000004,660597292.0759791,0.0,0.0,0.0,52416332.11219986,0.0,0.0,18193921.200000003,0.0,0.0,39025960.97400001,1.0,290.4694528746135,515,91989.45,280.0,287,0.9477808219178083
2086,2354678.55,687254918.2393677,0.0,0.0,0.0,54266415.31219985,0.0,0.0,18837428.4,0.0,0.0,40406283.918,1.0,291.8678297890673,515,91989.45,280.0,287,0.9800000000000003
