year,energy_mwh,revenue_market_pln,cfd_payment_pln,capacity_rev_pln,balancing_rev_pln,fuel_cost_pln,co2_cost_pln,co2_t,vom_cost_pln,start_cost_pln,cycling_cost_pln,fund_cost_pln,fom_multiplier,capture_price,x_starts,x_running_hours,x_price_mean,x_gas_mean,x_eua,x_srmc_full
2031,803088.0,359453591.5423373,0.0,0.0,0.0,159635976.0,105178723.76691839,305666.2560000024,9637056.0,18420108.0,0.0,0.0,1.0,447.5892947501859,"{'ccgt1': {'hot': 30, 'warm': 101, 'cold': 31}}",[3047.0],316.0,110.04821917808219,357.7906,342.58366097833124
2032,751410.0,337008962.7121389,0.0,0.0,0.0,149321448.0,100800513.28871998,286649.3760000024,9016920.0,18393588.0,0.0,0.0,1.0,448.50209966880783,"{'ccgt1': {'hot': 29, 'warm': 99, 'cold': 33}}",[2849.0],312.0,110.04821917808219,366.5172,345.7664899965131
2033,652914.0,297963080.1122363,0.0,0.0,0.0,129982704.0,89647937.69993323,249954.89454545238,7834968.0,17570352.0,0.0,0.0,1.0,456.3588468193917,"{'ccgt1': {'hot': 29, 'warm': 89, 'cold': 35}}",[2471.0],308.0,110.04821917808219,375.24379999999996,348.9493190146949
2034,555390.0,259847332.7195399,0.0,0.0,0.0,110768304.0,78014576.690976,213866.58981817972,6664680.0,17282928.0,0.0,0.0,1.0,467.86462255269254,"{'ccgt1': {'hot': 22, 'warm': 88, 'cold': 38}}",[2099.0],304.0,110.04821917808219,383.9704,352.13214803287667
2035,498744.0,235854379.07686538,0.0,0.0,0.0,99588876.0,71684693.65277672,192726.9970909071,5984928.0,16586232.0,0.0,0.0,1.0,472.8966746003268,"{'ccgt1': {'hot': 18, 'warm': 86, 'cold': 37}}",[1891.0],300.0,110.04821917808219,392.697,355.31497705105846
2036,479898.0,227261658.76785317,0.0,0.0,0.0,95883168.0,68995744.21334617,185590.74327272532,5758776.0,16156080.0,0.0,0.0,1.0,473.5624211141809,"{'ccgt1': {'hot': 16, 'warm': 85, 'cold': 36}}",[1823.0],298.0,110.04821917808219,392.697,355.31497705105846
2037,469206.0,221886506.89305896,0.0,0.0,0.0,93849924.0,67484982.591576,181599.16799999806,5630472.0,15996840.0,0.0,0.0,1.0,472.8978463469328,"{'ccgt1': {'hot': 15, 'warm': 83, 'cold': 37}}",[1787.0],296.0,110.04821917808219,392.697,355.31497705105846
2038,442368.0,210647778.63248742,0.0,0.0,0.0,88485948.0,63620423.425989814,171613.6647272708,5308416.0,15875364.0,0.0,0.0,1.0,476.182225279603,"{'ccgt1': {'hot': 12, 'warm': 83, 'cold': 38}}",[1684.0],294.0,110.04821917808219,392.697,355.31497705105846
2039,428220.0,203755804.97707295,0.0,0.0,0.0,85636368.0,61590606.04793453,166155.88581817996,5138640.0,15546588.0,0.0,0.0,1.0,475.82038432831945,"{'ccgt1': {'hot': 10, 'warm': 79, 'cold': 40}}",[1631.0],292.0,110.04821917808219,392.697,355.31497705105846
2040,409698.0,195743286.6560353,0.0,0.0,0.0,82057764.0,58958374.621608,159308.4959999982,4916376.0,15260220.0,0.0,0.0,1.0,477.7745721385882,"{'ccgt1': {'hot': 11, 'warm': 77, 'cold': 39}}",[1566.0],290.0,110.04821917808219,392.697,355.31497705105846
2041,401004.0,191746916.5590474,0.0,0.0,0.0,80289948.0,57702844.058805816,155966.86472727093,4812048.0,15001980.0,0.0,0.0,1.0,478.16709199670674,"{'ccgt1': {'hot': 10, 'warm': 78, 'cold': 37}}",[1532.0],289.0,110.04821917808219,392.697,355.31497705105846
2042,392580.0,187845306.60644954,0.0,0.0,0.0,78579612.0,56485984.868574545,152723.70981818004,4710960.0,14740296.0,0.0,0.0,1.0,478.4892419543776,"{'ccgt1': {'hot': 11, 'warm': 75, 'cold': 37}}",[1499.0],288.0,110.04821917808219,392.697,355.31497705105846
2043,374382.0,181021491.51330215,0.0,0.0,0.0,75016620.0,53841722.348559275,146134.5469090891,4492584.0,14988912.0,0.0,0.0,1.0,483.5208196796378,"{'ccgt1': {'hot': 10, 'warm': 78, 'cold': 37}}",[1425.0],287.0,110.04821917808219,392.697,355.31497705105846
2044,367848.0,178016428.3299556,0.0,0.0,0.0,73657176.0,52878375.48962618,143681.39127272548,4414176.0,15020664.0,0.0,0.0,1.0,483.9401827112166,"{'ccgt1': {'hot': 9, 'warm': 79, 'cold': 37}}",[1396.0],286.0,110.04821917808219,392.697,355.31497705105846
2045,353646.0,172524023.72022963,0.0,0.0,0.0,70806840.0,50778949.64094327,138479.65090908945,4243752.0,15217656.0,0.0,0.0,1.0,487.84384305274097,"{'ccgt1': {'hot': 10, 'warm': 80, 'cold': 37}}",[1332.0],285.0,110.04821917808219,392.697,355.31497705105846
2046,345222.0,168773099.72549868,0.0,0.0,0.0,69064608.0,49562090.450711995,135308.71199999918,4142664.0,15144264.0,0.0,0.0,1.0,488.88280505152824,"{'ccgt1': {'hot': 11, 'warm': 76, 'cold': 39}}",[1299.0],284.0,110.04821917808219,392.697,355.31497705105846
2047,337122.0,165148128.62521935,0.0,0.0,0.0,67406748.0,48367574.72018836,132194.67054545434,4045464.0,15005268.0,0.0,0.0,1.0,489.87645014332895,"{'ccgt1': {'hot': 12, 'warm': 74, 'cold': 39}}",[1263.0],283.0,110.04821917808219,392.697,355.31497705105846
2048,327240.0,160787694.7343219,0.0,0.0,0.0,65469768.0,46955639.93943271,128382.54109090912,3926880.0,14725320.0,0.0,0.0,1.0,491.3448683972677,"{'ccgt1': {'hot': 11, 'warm': 71, 'cold': 40}}",[1227.0],281.99999999999994,110.04821917808219,392.697,355.31497705105846
2049,317358.0,156349555.4840032,0.0,0.0,0.0,63442068.0,45543705.158677086,124570.41163636366,3808296.0,14353956.0,0.0,0.0,1.0,492.65988405524104,"{'ccgt1': {'hot': 11, 'warm': 69, 'cold': 39}}",[1191.0],281.0,110.04821917808219,392.697,355.31497705105846
2050,314874.0,154952330.35059872,0.0,0.0,0.0,62959284.0,45194803.44170399,123681.93600000003,3778488.0,14353956.0,0.0,0.0,1.0,492.10900344454836,"{'ccgt1': {'hot': 11, 'warm': 69, 'cold': 39}}",[1183.0],280.0,110.04821917808219,392.697,355.31497705105846
2051,315684.0,155264091.13166162,0.0,0.0,0.0,63125604.0,45310817.55941672,123977.36509090912,3788208.0,14353956.0,0.0,0.0,1.0,491.83389443767066,"{'ccgt1': {'hot': 11, 'warm': 69, 'cold': 39}}",[1186.0],280.0,110.04821917808219,392.697,355.31497705105846
2052,315954.0,155374409.92137256,0.0,0.0,0.0,63174204.0,45349488.93198763,124075.84145454549,3791448.0,14353956.0,0.0,0.0,1.0,491.76275635495216,"{'ccgt1': {'hot': 11, 'warm': 69, 'cold': 39}}",[1187.0],280.0,110.04821917808219,392.697,355.31497705105846
2053,315954.0,155394266.8755445,0.0,0.0,0.0,63174204.0,45349488.93198763,124075.84145454549,3791448.0,14353956.0,0.0,0.0,1.0,491.8256039662245,"{'ccgt1': {'hot': 11, 'warm': 69, 'cold': 39}}",[1187.0],280.0,110.04821917808219,392.697,355.31497705105846
2054,316116.0,155460711.87494934,0.0,0.0,0.0,63199044.0,45369254.30019054,124126.17381818184,3793392.0,14353956.0,0.0,0.0,1.0,491.7837498733039,"{'ccgt1': {'hot': 11, 'warm': 69, 'cold': 39}}",[1187.0],280.0,110.04821917808219,392.697,355.31497705105846
2055,316116.0,155480613.4137957,0.0,0.0,0.0,63199044.0,45369254.30019054,124126.17381818184,3793392.0,14353956.0,0.0,0.0,1.0,491.84670631602233,"{'ccgt1': {'hot': 11, 'warm': 69, 'cold': 39}}",[1187.0],280.0,110.04821917808219,392.697,355.31497705105846
2056,316224.0,155546723.3175699,0.0,0.0,0.0,63224940.0,45388160.30455854,124174.31781818184,3794688.0,14353956.0,0.0,0.0,1.0,491.88778624509814,"{'ccgt1': {'hot': 11, 'warm': 69, 'cold': 39}}",[1188.0],280.0,110.04821917808219,392.697,355.31497705105846
2057,314604.0,154884006.735646,0.0,0.0,0.0,62900988.0,45156132.06913309,123511.24363636367,3775248.0,14246316.0,0.0,0.0,1.0,492.3141687189165,"{'ccgt1': {'hot': 11, 'warm': 68, 'cold': 39}}",[1182.0],280.0,110.04821917808219,392.697,355.31497705105846
2058,315576.0,155253929.3445022,0.0,0.0,0.0,63101328.0,45291911.55504873,123857.00509090912,3786912.0,14246316.0,0.0,0.0,1.0,491.9700146541632,"{'ccgt1': {'hot': 11, 'warm': 68, 'cold': 39}}",[1185.0],280.0,110.04821917808219,392.697,355.31497705105846
2059,315846.0,155374890.35447806,0.0,0.0,0.0,63158028.0,45330582.927619636,123955.48145454549,3790152.0,14246316.0,0.0,0.0,1.0,491.93243021750493,"{'ccgt1': {'hot': 11, 'warm': 68, 'cold': 39}}",[1186.0],280.0,110.04821917808219,392.697,355.31497705105846
2060,318384.0,156429285.9196021,0.0,0.0,0.0,63679848.0,45697531.285125814,124962.12872727278,3820608.0,14325708.0,0.0,0.0,1.0,491.32269812428416,"{'ccgt1': {'hot': 11, 'warm': 70, 'cold': 38}}",[1196.0],280.0,110.04821917808219,392.697,355.31497705105846
