year,capex,other_capex,capex_total,energy_mwh,revenue_market,cfd_payment,capacity_rev,balancing_rev,fuel,co2,co2_t,vom,start,cycling,fund,fom,sustaining,property_tax,licence_fee,fixed_other,staff_cost,revenue,opex,ebitda,depreciation_tax,decommissioning,ebit_tax,debt_draw,interest,principal,debt_service,taxable_income,cit,fcf_pretax,fcf_posttax,equity_cf,dscr,local_property_tax_host,local_property_tax_neighbours,local_cit_gmina,local_cit_powiat,local_cit_wojewodztwo,pit_paid_staff,local_pit_gmina,local_pit_powiat,local_pit_wojewodztwo,local_total,state_cit,state_fund_contribution,state_eua_revenue,cfd_cost_to_state,operating
2029,300.0,52.5,352.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-352.5,-352.5,-352.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.48926430000000004,0.1397898,0.0,0.6290541000000001,0.0,0.0,0.0,0.0,False
2030,300.0,52.5,352.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-352.5,-352.5,-352.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.48926430000000004,0.1397898,0.0,0.6290541000000001,0.0,0.0,0.0,0.0,False
2031,0.0,0.0,0.0,119133.0,88.11801027860048,0.0,0.0,3.0,36.031765,23.751411973582996,68225.06300000037,1.786995,4.089303,0.0,0.0,9.0,0.0,1.44,0.4555900513930024,10.5,3.0,91.11801027860048,87.05506502497599,4.062945253624491,47.587500000000006,0.0,-43.524554746375514,0.0,0.0,0.0,0.0,-43.524554746375514,0.0,4.062945253624491,4.062945253624491,4.062945253624491,,1.44,0.0,0.0,0.0,0.0,0.18583864541832665,0.09024352589641434,0.02578386454183267,0.004512176294820716,1.5605395667330677,0.0,0.0,23.751411973582996,0.0,True
2032,0.0,0.0,0.0,111042.0,82.53335958958861,0.0,0.0,3.0,33.568039999999996,22.678277406204,63590.20000000001,1.66563,3.807825,0.0,0.0,9.0,0.0,1.44,0.4276667979479431,10.5,3.0,85.53335958958861,83.08743920415195,2.445920385436665,47.587500000000006,0.0,-45.14157961456334,0.0,0.0,0.0,0.0,-45.14157961456334,0.0,2.445920385436665,2.445920385436665,2.445920385436665,,1.44,0.0,0.0,0.0,0.0,0.18583864541832665,0.09024352589641434,0.02578386454183267,0.004512176294820716,1.5605395667330677,0.0,0.0,22.678277406204,0.0,True
2033,0.0,0.0,0.0,101277.0,75.96062033587002,0.0,0.0,3.0,30.550189999999997,21.176431684220994,57986.439000000006,1.519155,3.447834,0.0,0.0,9.0,0.0,1.44,0.3948031016793501,10.5,3.0,78.96062033587002,78.02841378590033,0.9322065499696919,47.587500000000006,0.0,-46.655293450030314,0.0,0.0,0.0,0.0,-46.655293450030314,0.0,0.9322065499696919,0.9322065499696919,0.9322065499696919,,1.44,0.0,0.0,0.0,0.0,0.18583864541832665,0.09024352589641434,0.02578386454183267,0.004512176294820716,1.5605395667330677,0.0,0.0,21.176431684220994,0.0,True
2034,0.0,0.0,0.0,97650.0,73.03019721565116,0.0,0.0,3.0,29.44876,20.8928853826,55947.34000000001,1.46475,3.408528,0.0,0.0,9.0,0.0,1.44,0.3801509860782558,10.5,3.0,76.03019721565116,76.53507436867825,-0.5048771530270955,47.587500000000006,0.0,-48.0923771530271,0.0,0.0,0.0,0.0,-48.0923771530271,0.0,-0.5048771530270955,-0.5048771530270955,-0.5048771530270955,,1.44,0.0,0.0,0.0,0.0,0.18583864541832665,0.09024352589641434,0.02578386454183267,0.004512176294820716,1.5605395667330677,0.0,0.0,20.8928853826,0.0,True
2035,0.0,0.0,0.0,89838.0,67.72451397425267,0.0,0.0,3.0,27.066875,19.658305791809997,51504.05,1.34757,3.2093249999999998,0.0,0.0,9.0,0.0,1.44,0.3536225698712634,10.5,3.0,70.72451397425267,72.57569836168125,-1.8511843874285745,47.587500000000006,0.0,-49.43868438742858,0.0,0.0,0.0,0.0,-49.43868438742858,0.0,-1.8511843874285745,-1.8511843874285745,-1.8511843874285745,,1.44,0.0,0.0,0.0,0.0,0.18583864541832665,0.09024352589641434,0.02578386454183267,0.004512176294820716,1.5605395667330677,0.0,0.0,19.658305791809997,0.0,True
2036,0.0,0.0,0.0,88164.0,66.31652055009755,0.0,0.0,3.0,26.5783925,19.29200195718,50535.15200000001,1.32246,3.130614,0.0,0.0,9.0,0.0,1.44,0.34658260275048774,10.5,3.0,69.31652055009755,71.61005105993048,-2.2935305098329337,47.587500000000006,0.0,-49.88103050983294,0.0,0.0,0.0,0.0,-49.88103050983294,0.0,-2.2935305098329337,-2.2935305098329337,-2.2935305098329337,,1.44,0.0,0.0,0.0,0.0,0.18583864541832665,0.09024352589641434,0.02578386454183267,0.004512176294820716,1.5605395667330677,0.0,0.0,19.29200195718,0.0,True
2037,0.0,0.0,0.0,86294.7,64.8161057448337,0.0,0.0,3.0,26.03169642857143,18.888195587099784,49470.75407142858,1.2944205,3.051606,0.0,0.0,9.0,0.0,1.44,0.33908052872416855,10.5,3.0,67.8161057448337,70.54499904439538,-2.728893299561676,47.587500000000006,0.0,-50.31639329956168,0.0,0.0,0.0,0.0,-50.31639329956168,0.0,-2.728893299561676,-2.728893299561676,-2.728893299561676,,1.44,0.0,0.0,0.0,0.0,0.18583864541832665,0.09024352589641434,0.02578386454183267,0.004512176294820716,1.5605395667330677,0.0,0.0,18.888195587099784,0.0,True
2038,0.0,0.0,0.0,85262.4,63.83707848123668,0.0,0.0,3.0,25.727110357142855,18.66754113433457,48908.85914285715,1.2789359999999999,3.051606,0.0,0.0,9.0,0.0,1.44,0.33418539240618345,10.5,3.0,66.83707848123669,69.99937888388361,-3.1623004026469204,47.587500000000006,0.0,-50.749800402646926,0.0,0.0,0.0,0.0,-50.749800402646926,0.0,-3.1623004026469204,-3.1623004026469204,-3.1623004026469204,,1.44,0.0,0.0,0.0,0.0,0.18583864541832665,0.09024352589641434,0.02578386454183267,0.004512176294820716,1.5605395667330677,0.0,0.0,18.66754113433457,0.0,True
2039,0.0,0.0,0.0,82193.4,61.59541956817281,0.0,0.0,3.0,24.79532785714286,17.995984104179566,47126.52814285715,1.232901,2.89161,0.0,0.0,9.0,0.0,1.44,0.3229770978408641,10.5,3.0,64.59541956817282,68.17880005916328,-3.5833804909904643,47.587500000000006,0.0,-51.17088049099047,0.0,0.0,0.0,0.0,-51.17088049099047,0.0,-3.5833804909904643,-3.5833804909904643,-3.5833804909904643,,1.44,0.0,0.0,0.0,0.0,0.18583864541832665,0.09024352589641434,0.02578386454183267,0.004512176294820716,1.5605395667330677,0.0,0.0,17.995984104179566,0.0,True
2040,0.0,0.0,0.0,77004.0,58.40169196784208,0.0,0.0,3.0,23.281775,16.84997639298,44190.17400000001,1.15506,2.850027,0.0,0.0,9.0,0.0,1.44,0.30700845983921043,10.5,3.0,61.40169196784208,65.3838468528192,-3.9821548849771204,47.58749999999999,0.0,-51.56965488497711,0.0,0.0,0.0,0.0,-51.56965488497711,0.0,-3.9821548849771204,-3.9821548849771204,-3.9821548849771204,,1.44,0.0,0.0,0.0,0.0,0.18583864541832665,0.09024352589641434,0.02578386454183267,0.004512176294820716,1.5605395667330677,0.0,0.0,16.84997639298,0.0,True
2041,0.0,0.0,0.0,76446.0,57.896524860876426,0.0,0.0,3.0,23.109569999999998,16.72787511477,43879.244000000006,1.14669,2.850027,0.0,0.0,9.0,0.0,1.44,0.3044826243043821,10.5,3.0,60.896524860876426,65.07864473907438,-4.182119878197952,37.0125,0.0,-41.194619878197955,0.0,0.0,0.0,0.0,-41.194619878197955,0.0,-4.182119878197952,-4.182119878197952,-4.182119878197952,,1.44,0.0,0.0,0.0,0.0,0.18583864541832665,0.09024352589641434,0.02578386454183267,0.004512176294820716,1.5605395667330677,0.0,0.0,16.72787511477,0.0,True
2042,0.0,0.0,0.0,76446.0,57.694483117811615,0.0,0.0,3.0,23.109569999999998,16.72787511477,43879.244000000006,1.14669,2.850027,0.0,0.0,9.0,0.0,1.44,0.3034724155890581,10.5,3.0,60.694483117811615,65.07763453035905,-4.383151412547434,37.0125,0.0,-41.39565141254744,0.0,0.0,0.0,0.0,-41.39565141254744,0.0,-4.383151412547434,-4.383151412547434,-4.383151412547434,,1.44,0.0,0.0,0.0,0.0,0.18583864541832665,0.09024352589641434,0.02578386454183267,0.004512176294820716,1.5605395667330677,0.0,0.0,16.72787511477,0.0,True
2043,0.0,0.0,0.0,75609.0,56.985668607994484,0.0,0.0,3.0,22.838475,16.544723197455,43394.795000000006,1.134135,2.809533,0.0,0.0,9.0,0.0,1.44,0.2999283430399724,10.5,3.0,59.985668607994484,64.56679454049498,-4.581125932500498,37.0125,0.0,-41.5936259325005,0.0,0.0,0.0,0.0,-41.5936259325005,0.0,-4.581125932500498,-4.581125932500498,-4.581125932500498,,1.44,0.0,0.0,0.0,0.0,0.18583864541832665,0.09024352589641434,0.02578386454183267,0.004512176294820716,1.5605395667330677,0.0,0.0,16.544723197455,0.0,True
