year,energy_mwh,revenue_market_pln,cfd_payment_pln,capacity_rev_pln,balancing_rev_pln,fuel_cost_pln,co2_cost_pln,co2_t,vom_cost_pln,start_cost_pln,cycling_cost_pln,fund_cost_pln,fom_multiplier,capture_price,x_starts,x_running_hours,x_price_mean,x_gas_mean,x_eua,x_srmc_full
2031,119133.0,88118010.27860048,0.0,0.0,3000000.0,36031765.0,23751411.973582998,68225.06300000037,1786995.0,4089303.0,0.0,0.0,1.0,739.660801613327,"{'ocgt1': {'hot': 1, 'warm': 64, 'cold': 37}, 'ocgt2': {'hot': 1, 'warm': 64, 'cold': 37}}","[427.0, 427.0]",316.0,110.04821917808219,357.7906,520.0583709391171
2032,111042.0,82533359.58958861,0.0,0.0,3000000.0,33568040.0,22678277.406204,63590.20000000001,1665630.0,3807825.0,0.0,0.0,1.0,743.2625456096667,"{'ocgt1': {'hot': 1, 'warm': 57, 'cold': 37}, 'ocgt2': {'hot': 1, 'warm': 57, 'cold': 37}}","[398.0, 398.0]",312.0,110.04821917808219,366.5172,524.9210263835616
2033,101277.0,75960620.33587003,0.0,0.0,3000000.0,30550190.0,21176431.684220996,57986.439000000006,1519155.0,3447834.0,0.0,0.0,1.0,750.0283414385302,"{'ocgt1': {'hot': 1, 'warm': 50, 'cold': 35}, 'ocgt2': {'hot': 1, 'warm': 50, 'cold': 35}}","[363.0, 363.0]",308.0,110.04821917808219,375.24379999999996,529.7836818280061
2034,97650.0,73030197.21565115,0.0,0.0,3000000.0,29448760.0,20892885.382600002,55947.34000000001,1464750.0,3408528.0,0.0,0.0,1.0,747.8770836216196,"{'ocgt1': {'hot': 1, 'warm': 50, 'cold': 34}, 'ocgt2': {'hot': 1, 'warm': 50, 'cold': 34}}","[350.0, 350.0]",304.0,110.04821917808219,383.9704,534.6463372724505
2035,89838.0,67724513.97425267,0.0,0.0,3000000.0,27066875.0,19658305.79181,51504.05,1347570.0,3209325.0,0.0,0.0,1.0,753.8515324723688,"{'ocgt1': {'hot': 0, 'warm': 44, 'cold': 36}, 'ocgt2': {'hot': 0, 'warm': 44, 'cold': 36}}","[322.0, 322.0]",300.0,110.04821917808219,392.697,539.508992716895
2036,88164.0,66316520.550097555,0.0,0.0,3000000.0,26578392.5,19292001.95718,50535.15200000001,1322460.0,3130614.0,0.0,0.0,1.0,752.1950064663304,"{'ocgt1': {'hot': 0, 'warm': 42, 'cold': 36}, 'ocgt2': {'hot': 0, 'warm': 42, 'cold': 36}}","[316.0, 316.0]",298.0,110.04821917808219,392.697,539.508992716895
2037,86294.7,64816105.74483371,0.0,0.0,3000000.0,26031696.42857143,18888195.587099783,49470.75407142858,1294420.5,3051606.0,0.0,0.0,1.0,751.101814420048,"{'ocgt1': {'hot': 0, 'warm': 42, 'cold': 34}, 'ocgt2': {'hot': 0, 'warm': 42, 'cold': 34}}","[310.0, 310.0]",296.0,110.04821917808219,392.697,539.508992716895
2038,85262.4,63837078.48123668,0.0,0.0,3000000.0,25727110.35714286,18667541.13433457,48908.85914285715,1278936.0,3051606.0,0.0,0.0,1.0,748.7131312423376,"{'ocgt1': {'hot': 0, 'warm': 42, 'cold': 34}, 'ocgt2': {'hot': 0, 'warm': 42, 'cold': 34}}","[307.0, 307.0]",294.0,110.04821917808219,392.697,539.508992716895
2039,82193.4,61595419.56817281,0.0,0.0,3000000.0,24795327.85714286,17995984.10417957,47126.52814285715,1232901.0,2891610.0,0.0,0.0,1.0,749.3961749747889,"{'ocgt1': {'hot': 0, 'warm': 40, 'cold': 32}, 'ocgt2': {'hot': 0, 'warm': 40, 'cold': 32}}","[296.0, 296.0]",292.0,110.04821917808219,392.697,539.508992716895
2040,77004.0,58401691.96784209,0.0,0.0,3000000.0,23281775.0,16849976.392980002,44190.17400000001,1155060.0,2850027.0,0.0,0.0,1.0,758.424133393617,"{'ocgt1': {'hot': 1, 'warm': 38, 'cold': 32}, 'ocgt2': {'hot': 1, 'warm': 38, 'cold': 32}}","[276.0, 276.0]",290.0,110.04821917808219,392.697,539.508992716895
