year,energy_mwh,revenue_market_pln,cfd_payment_pln,capacity_rev_pln,balancing_rev_pln,fuel_cost_pln,co2_cost_pln,co2_t,vom_cost_pln,start_cost_pln,cycling_cost_pln,fund_cost_pln,fom_multiplier,capture_price,x_starts,x_running_hours,x_price_mean,x_gas_mean,x_eua,x_srmc_full
2031,83043.79200000002,47478937.21533594,0.0,0.0,720000.0,20276421.18857143,13248281.728852704,37239.62472000088,2076094.8000000003,538708.3199999972,0.0,0.0,1.0,571.7337331529361,"{'engine1': {'hot': 49, 'warm': 209, 'cold': 35}, 'engine2': {'hot': 49, 'warm': 209, 'cold': 35}, 'engine3': {'hot': 49, 'warm': 209, 'cold': 35}, 'engine4': {'hot': 49, 'warm': 209, 'cold': 35}}","[1278.0, 1278.0, 1278.0, 1278.0]",316.0,110.04821917808219,357.7906,429.0466967512937
2032,75865.68000000001,43790921.93063332,0.0,0.0,720000.0,18521800.81714286,12398456.832511107,34030.68956571513,1896642.0000000002,516636.71999999904,0.0,0.0,1.0,577.2164953986219,"{'engine1': {'hot': 40, 'warm': 205, 'cold': 36}, 'engine2': {'hot': 40, 'warm': 205, 'cold': 36}, 'engine3': {'hot': 40, 'warm': 205, 'cold': 36}, 'engine4': {'hot': 40, 'warm': 205, 'cold': 36}}","[1169.0, 1169.0, 1169.0, 1169.0]",312.0,110.04821917808219,366.5172,432.9368211068493
2033,68379.55200000001,39973563.67297115,0.0,0.0,720000.0,16702386.54857143,11439973.427255768,30676.703417143406,1709488.8000000003,483877.7999999996,0.0,0.0,1.0,584.5835853526964,"{'engine1': {'hot': 33, 'warm': 195, 'cold': 35}, 'engine2': {'hot': 33, 'warm': 195, 'cold': 35}, 'engine3': {'hot': 33, 'warm': 195, 'cold': 35}, 'engine4': {'hot': 33, 'warm': 195, 'cold': 35}}","[1041.0, 1041.0, 1041.0, 1041.0]",308.0,110.04821917808219,375.24379999999996,436.82694546240486
2034,61556.32800000001,36448324.96819907,0.0,0.0,720000.0,15032622.565714287,10538200.832817053,27620.831794286223,1538908.2000000002,447205.3199999999,0.0,0.0,1.0,592.1133724578091,"{'engine1': {'hot': 24, 'warm': 183, 'cold': 36}, 'engine2': {'hot': 24, 'warm': 183, 'cold': 36}, 'engine3': {'hot': 24, 'warm': 183, 'cold': 36}, 'engine4': {'hot': 24, 'warm': 183, 'cold': 36}}","[940.0, 940.0, 940.0, 940.0]",304.0,110.04821917808219,383.9704,440.7170698179604
2035,55503.14400000001,33246609.3064888,0.0,0.0,720000.0,13528362.445714287,9716889.492110778,24905.028754286177,1387578.6,410342.75999999937,0.0,0.0,1.0,599.0040727510643,"{'engine1': {'hot': 20, 'warm': 161, 'cold': 42}, 'engine2': {'hot': 20, 'warm': 161, 'cold': 42}, 'engine3': {'hot': 20, 'warm': 161, 'cold': 42}, 'engine4': {'hot': 20, 'warm': 161, 'cold': 42}}","[837.0, 837.0, 837.0, 837.0]",300.0,110.04821917808219,392.697,444.60719417351595
2036,54103.68000000001,32410112.441578828,0.0,0.0,720000.0,13192923.66857143,9471989.214101007,24279.94769142903,1352592.0000000002,406658.8799999994,0.0,0.0,1.0,599.0371161735916,"{'engine1': {'hot': 20, 'warm': 159, 'cold': 42}, 'engine2': {'hot': 20, 'warm': 159, 'cold': 42}, 'engine3': {'hot': 20, 'warm': 159, 'cold': 42}, 'engine4': {'hot': 20, 'warm': 159, 'cold': 42}}","[817.0, 817.0, 817.0, 817.0]",298.0,110.04821917808219,392.697,444.60719417351595
2037,52637.25600000001,31538676.782809295,0.0,0.0,720000.0,12834669.06857143,9215367.213383075,23623.573028571882,1315931.4000000001,399302.9999999995,0.0,0.0,1.0,599.1702299756904,"{'engine1': {'hot': 19, 'warm': 157, 'cold': 41}, 'engine2': {'hot': 19, 'warm': 157, 'cold': 41}, 'engine3': {'hot': 19, 'warm': 157, 'cold': 41}, 'engine4': {'hot': 19, 'warm': 157, 'cold': 41}}","[796.0, 796.0, 796.0, 796.0]",296.0,110.04821917808219,392.697,444.60719417351595
2038,51565.89600000001,30838965.526675735,0.0,0.0,720000.0,12567870.668571427,9027819.650052516,23142.373748571874,1289147.4000000001,390119.0399999995,0.0,0.0,1.0,598.0496397594978,"{'engine1': {'hot': 16, 'warm': 153, 'cold': 43}, 'engine2': {'hot': 16, 'warm': 153, 'cold': 43}, 'engine3': {'hot': 16, 'warm': 153, 'cold': 43}, 'engine4': {'hot': 16, 'warm': 153, 'cold': 43}}","[780.0, 780.0, 780.0, 780.0]",294.0,110.04821917808219,392.697,444.60719417351595
2039,49965.55200000001,29899961.069538984,0.0,0.0,720000.0,12163312.165714286,8747754.203918265,22425.57836571472,1249138.8000000003,380871.72,0.0,0.0,1.0,598.4115029798726,"{'engine1': {'hot': 16, 'warm': 146, 'cold': 45}, 'engine2': {'hot': 16, 'warm': 146, 'cold': 45}, 'engine3': {'hot': 16, 'warm': 146, 'cold': 45}, 'engine4': {'hot': 16, 'warm': 146, 'cold': 45}}","[757.0, 757.0, 757.0, 757.0]",292.0,110.04821917808219,392.697,444.60719417351595
2040,48820.53600000001,29193480.76085765,0.0,0.0,720000.0,11892047.64,8547229.019017955,21912.775988571855,1220513.4000000001,375407.2800000002,0.0,0.0,1.0,597.9754249494033,"{'engine1': {'hot': 15, 'warm': 144, 'cold': 45}, 'engine2': {'hot': 15, 'warm': 144, 'cold': 45}, 'engine3': {'hot': 15, 'warm': 144, 'cold': 45}, 'engine4': {'hot': 15, 'warm': 144, 'cold': 45}}","[739.0, 739.0, 739.0, 739.0]",290.0,110.04821917808219,392.697,444.60719417351595
2041,47682.21600000001,28579465.163671456,0.0,0.0,720000.0,11611009.080000002,8347959.732979235,21402.449588571482,1192055.4000000001,368075.1600000005,0.0,0.0,1.0,599.3736776762106,"{'engine1': {'hot': 14, 'warm': 141, 'cold': 45}, 'engine2': {'hot': 14, 'warm': 141, 'cold': 45}, 'engine3': {'hot': 14, 'warm': 141, 'cold': 45}, 'engine4': {'hot': 14, 'warm': 141, 'cold': 45}}","[722.0, 722.0, 722.0, 722.0]",289.0,110.04821917808219,392.697,444.60719417351595
