year,capex,other_capex,capex_total,energy_mwh,revenue_market,cfd_payment,capacity_rev,balancing_rev,fuel,co2,co2_t,vom,start,cycling,fund,fom,sustaining,property_tax,licence_fee,fixed_other,staff_cost,revenue,opex,ebitda,depreciation_tax,decommissioning,ebit_tax,debt_draw,interest,principal,debt_service,taxable_income,cit,fcf_pretax,fcf_posttax,equity_cf,dscr,local_property_tax_host,local_property_tax_neighbours,local_cit_gmina,local_cit_powiat,local_cit_wojewodztwo,pit_paid_staff,local_pit_gmina,local_pit_powiat,local_pit_wojewodztwo,local_total,state_cit,state_fund_contribution,state_eua_revenue,cfd_cost_to_state,operating
2028,432.0,31.5,463.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-463.5,-463.5,-463.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.3261762,0.09319319999999999,0.0,0.4193694,0.0,0.0,0.0,0.0,False
2029,648.0,47.25,695.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-695.25,-695.25,-695.25,,0.0,0.0,0.0,0.0,0.0,0.0,0.48926430000000004,0.1397898,0.0,0.6290541000000001,0.0,0.0,0.0,0.0,False
2030,360.0,26.25,386.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-386.25,-386.25,-386.25,,0.0,0.0,0.0,0.0,0.0,0.0,0.2718135,0.077661,0.0,0.34947449999999997,0.0,0.0,0.0,0.0,False
2031,0.0,0.0,0.0,803088.0,359.4535915423373,0.0,111.78,0.0,159.635976,105.17872376691838,305666.2560000024,9.637056,18.420108,0.0,0.0,21.0,0.0,4.32,2.3561679577116865,17.4,6.75,471.2335915423373,337.94803172462997,133.28555981770734,100.81125,0.0,32.474309817707336,0.0,0.0,0.0,0.0,32.474309817707336,6.170118865364394,133.28555981770734,127.11544095234294,127.11544095234294,,4.32,0.0,0.5195889570833174,0.5520632669010248,0.7469091258072688,0.41813695219123503,0.2030479332669323,0.05801369521912351,0.010152396663346613,6.409775374941014,6.170118865364394,0.0,105.17872376691838,0.0,True
2032,0.0,0.0,0.0,751410.0,337.0089627121389,0.0,111.78,0.0,149.321448,100.80051328871998,286649.3760000024,9.016919999999999,18.393587999999998,0.0,0.0,21.0,0.0,4.32,2.2439448135606943,17.4,6.75,448.78896271213887,322.49641410228065,126.29254860985822,100.81125,0.0,25.481298609858214,0.0,0.0,0.0,0.0,25.481298609858214,4.841446735873061,126.29254860985822,121.45110187398515,121.45110187398515,,4.32,0.0,0.40770077775773145,0.43318207636758965,0.5860698680267389,0.41813695219123503,0.2030479332669323,0.05801369521912351,0.010152396663346613,6.018166747301462,4.841446735873061,0.0,100.80051328871998,0.0,True
2033,0.0,0.0,0.0,652914.0,297.9630801122363,0.0,111.78,0.0,129.98270399999998,89.64793769993322,249954.89454545238,7.834968,17.570352,0.0,0.0,21.0,0.0,4.32,2.048715400561181,17.4,6.75,409.74308011223627,289.8046771004944,119.93840301174185,100.81125,0.0,19.127153011741854,0.0,0.0,0.0,0.0,19.127153011741854,3.6341590722309522,119.93840301174185,116.3042439395109,116.3042439395109,,4.32,0.0,0.3060344481878697,0.3251616011996115,0.4399245192700626,0.41813695219123503,0.2030479332669323,0.05801369521912351,0.010152396663346613,5.662334593806946,3.6341590722309522,0.0,89.64793769993322,0.0,True
2034,0.0,0.0,0.0,555390.0,259.8473327195399,0.0,111.78,0.0,110.768304,78.01457669097599,213866.58981817972,6.66468,17.282928,0.0,0.0,21.0,0.0,4.32,1.8581366635976997,17.4,6.75,371.62733271953994,257.3086253545737,114.31870736496626,100.81125,0.0,13.507457364966257,0.0,0.0,0.0,0.0,13.507457364966257,2.5664168993435887,114.31870736496626,111.75229046562266,111.75229046562266,,4.32,0.0,0.21611931783946012,0.22962677520442637,0.3106715193942239,0.41813695219123503,0.2030479332669323,0.05801369521912351,0.010152396663346613,5.347631637587513,2.5664168993435887,0.0,78.01457669097599,0.0,True
2035,0.0,0.0,0.0,498744.0,235.85437907686537,0.0,111.78,0.0,99.588876,71.68469365277672,192726.9970909071,5.984928,16.586232,0.0,0.0,21.0,0.0,4.32,1.7381718953843268,17.4,6.75,347.63437907686534,238.30290154816103,109.33147752870431,100.81125,0.0,8.52022752870431,0.0,0.0,0.0,0.0,8.52022752870431,1.6188432304538192,109.33147752870431,107.71263429825049,107.71263429825049,,4.32,0.0,0.13632364045926898,0.1448438679879733,0.19596523316019915,0.41813695219123503,0.2030479332669323,0.05801369521912351,0.010152396663346613,5.068346766756843,1.6188432304538192,0.0,71.68469365277672,0.0,True
2036,0.0,0.0,0.0,479898.0,227.26165876785316,0.0,111.78,0.0,95.883168,68.99574421334617,185590.74327272532,5.758776,16.15608,0.0,0.0,21.0,0.0,4.32,1.6952082938392659,17.4,6.75,339.04165876785316,231.20897650718544,107.83268226066772,100.81125,0.0,7.021432260667723,0.0,0.0,0.0,0.0,7.021432260667723,1.3340721295268674,107.83268226066772,106.49861013114085,106.49861013114085,,4.32,0.0,0.11234291617068357,0.1193643484313513,0.16149294199535763,0.41813695219123503,0.2030479332669323,0.05801369521912351,0.010152396663346613,4.984414231746794,1.3340721295268674,0.0,68.99574421334617,0.0,True
2037,0.0,0.0,0.0,469206.0,221.88650689305894,0.0,111.78,0.0,93.849924,67.48498259157599,181599.16799999806,5.630472,15.996839999999999,0.0,0.0,21.0,0.0,4.32,1.6683325344652946,17.4,6.75,333.6665068930589,227.35055112604127,106.31595576701764,100.81125,0.0,5.50470576701764,0.0,0.0,0.0,0.0,5.50470576701764,1.0458940957333516,106.31595576701764,105.2700616712843,105.2700616712843,,4.32,0.0,0.08807529227228224,0.09357999803929988,0.12660823264140572,0.41813695219123503,0.2030479332669323,0.05801369521912351,0.010152396663346613,4.89947754810239,1.0458940957333516,0.0,67.48498259157599,0.0,True
2038,0.0,0.0,0.0,442368.0,210.64777863248742,0.0,111.78,0.0,88.485948,63.62042342598981,171613.6647272708,5.308415999999999,15.875364,0.0,0.0,21.0,0.0,4.32,1.612138893162437,17.4,6.75,322.4277786324874,217.62229031915223,104.80548831333516,100.81125,0.0,3.9942383133351598,0.0,0.0,0.0,0.0,3.9942383133351598,0.7589052795336804,104.80548831333516,104.04658303380148,104.04658303380148,,4.32,0.0,0.06390781301336255,0.06790205132669772,0.09186748120670868,0.41813695219123503,0.2030479332669323,0.05801369521912351,0.010152396663346613,4.814891370696172,0.7589052795336804,0.0,63.62042342598981,0.0,True
2039,0.0,0.0,0.0,428220.0,203.75580497707296,0.0,111.78,0.0,85.63636799999999,61.59060604793453,166155.88581817996,5.13864,15.546588,0.0,0.0,21.0,0.0,4.32,1.577679024885365,17.4,6.75,315.535804977073,212.20988107281985,103.32592390425313,100.81125,0.0,2.5146739042531294,0.0,0.0,0.0,0.0,2.5146739042531294,0.4777880418080946,103.32592390425313,102.84813586244503,102.84813586244503,,4.32,0.0,0.040234782468050075,0.0427494563723032,0.057837499797821976,0.41813695219123503,0.2030479332669323,0.05801369521912351,0.010152396663346613,4.732035763787578,0.4777880418080946,0.0,61.59060604793453,0.0,True
2040,0.0,0.0,0.0,409698.0,195.7432866560353,0.0,111.78,0.0,82.05776399999999,58.958374621607994,159308.4959999982,4.916376,15.260219999999999,0.0,0.0,21.0,0.0,4.32,1.5376164332801767,17.4,6.75,307.52328665603534,205.45035105488816,102.07293560114718,100.81124999999999,0.0,1.2616856011471924,0.0,0.0,0.0,0.0,1.2616856011471924,0.23972026421796655,102.07293560114718,101.83321533692921,101.83321533692921,,4.32,0.0,0.020186969618355078,0.02144865521950227,0.029018768826385426,0.41813695219123503,0.2030479332669323,0.05801369521912351,0.010152396663346613,4.661868418813645,0.23972026421796655,0.0,58.958374621607994,0.0,True
2041,0.0,0.0,0.0,401004.0,191.7469165590474,0.0,111.78,0.0,80.289948,57.702844058805816,155966.86472727093,4.812048,15.00198,0.0,0.0,21.0,0.0,4.32,1.517634582795237,17.4,6.75,303.52691655904744,202.04445464160105,101.48246191744639,77.63625,0.0,23.846211917446382,0.0,0.0,0.0,0.0,23.846211917446382,4.530780264314813,101.48246191744639,96.95168165313157,96.95168165313157,,4.32,0.0,0.3815393906791421,0.4053856025965885,0.5484628741012668,0.41813695219123503,0.2030479332669323,0.05801369521912351,0.010152396663346613,5.9266018925264,4.530780264314813,0.0,57.702844058805816,0.0,True
2042,0.0,0.0,0.0,392580.0,187.84530660644953,0.0,111.78,0.0,78.579612,56.48598486857454,152723.70981818004,4.71096,14.740295999999999,0.0,0.0,21.0,0.0,4.32,1.4981265330322475,17.4,6.75,299.6253066064495,198.73497940160678,100.89032720484272,77.63625,0.0,23.254077204842716,0.0,0.0,0.0,0.0,23.254077204842716,4.418274668920116,100.89032720484272,96.4720525359226,96.4720525359226,,4.32,0.0,0.3720652352774835,0.3953193124823262,0.5348437757113824,0.41813695219123503,0.2030479332669323,0.05801369521912351,0.010152396663346613,5.893442348620595,4.418274668920116,0.0,56.48598486857454,0.0,True
2043,0.0,0.0,0.0,374382.0,181.02149151330215,0.0,111.78,0.0,75.01662,53.84172234855927,146134.5469090891,4.492584,14.988912,0.0,0.0,21.0,0.0,4.32,1.4640074575665107,17.4,6.75,292.80149151330215,192.5238458061258,100.27764570717636,77.63625,0.0,22.641395707176358,0.0,0.0,0.0,0.0,22.641395707176358,4.301865184363508,100.27764570717636,95.97578052281285,95.97578052281285,,4.32,0.0,0.3622623313148217,0.3849037270219981,0.5207521012650562,0.41813695219123503,0.2030479332669323,0.05801369521912351,0.010152396663346613,5.859132184751279,4.301865184363508,0.0,53.84172234855927,0.0,True
2044,0.0,0.0,0.0,367848.0,178.0164283299556,0.0,111.78,0.0,73.65717599999999,52.87837548962617,143681.39127272548,4.414175999999999,15.020664,0.0,0.0,21.0,0.0,4.32,1.448982141649778,17.4,6.75,289.7964283299556,190.13937363127593,99.65705469867964,77.63625,0.0,22.02080469867964,0.0,0.0,0.0,0.0,22.02080469867964,4.183952892749132,99.65705469867964,95.47310180593051,95.47310180593051,,4.32,0.0,0.35233287517887424,0.3743536798775539,0.5064785080696317,0.41813695219123503,0.2030479332669323,0.05801369521912351,0.010152396663346613,5.824379088275461,4.183952892749132,0.0,52.87837548962617,0.0,True
2045,0.0,0.0,0.0,353646.0,172.52402372022962,0.0,111.78,0.0,70.80684,50.77894964094327,138479.65090908945,4.243752,15.217656,0.0,0.0,21.0,0.0,4.32,1.4215201186011481,17.4,6.75,284.3040237202296,185.1887177595444,99.11530596068522,31.286249999999963,0.0,67.82905596068525,0.0,0.0,0.0,0.0,67.82905596068525,12.887520632530197,99.11530596068522,86.22778532815502,86.22778532815502,,4.32,0.0,1.085264895370964,1.1530939513316494,1.5600682870957607,0.41813695219123503,0.2030479332669323,0.05801369521912351,0.010152396663346613,8.389641158947777,12.887520632530197,0.0,50.77894964094327,0.0,True
2046,0.0,0.0,0.0,345222.0,168.77309972549867,0.0,0.0,0.0,69.06460799999999,49.56209045071199,135308.71199999918,4.142664,15.144264,0.0,0.0,21.0,0.0,4.32,0.8438654986274934,17.4,6.75,168.77309972549867,181.47749194933945,-12.704392223840784,12.74625,0.0,-25.450642223840784,0.0,0.0,0.0,0.0,-25.450642223840784,0.0,-12.704392223840784,-12.704392223840784,-12.704392223840784,,4.32,0.0,0.0,0.0,0.0,0.41813695219123503,0.2030479332669323,0.05801369521912351,0.010152396663346613,4.5912140251494025,0.0,0.0,49.56209045071199,0.0,True
2047,0.0,0.0,0.0,337122.0,165.14812862521933,0.0,0.0,0.0,67.406748,48.36757472018836,132194.67054545434,4.045464,15.005268,0.0,0.0,21.0,0.0,4.32,0.8257406431260966,17.4,6.75,165.14812862521933,178.37079536331444,-13.222666738095114,12.74625,0.0,-25.968916738095114,0.0,0.0,0.0,0.0,-25.968916738095114,0.0,-13.222666738095114,-13.222666738095114,-13.222666738095114,,4.32,0.0,0.0,0.0,0.0,0.41813695219123503,0.2030479332669323,0.05801369521912351,0.010152396663346613,4.5912140251494025,0.0,0.0,48.36757472018836,0.0,True
2048,0.0,0.0,0.0,327240.0,160.7876947343219,0.0,0.0,0.0,65.469768,46.95563993943271,128382.54109090912,3.9268799999999997,14.72532,0.0,0.0,21.0,0.0,4.32,0.8039384736716094,17.4,6.75,160.7876947343219,174.60154641310433,-13.813851678782441,12.74625,0.0,-26.56010167878244,0.0,0.0,0.0,0.0,-26.56010167878244,0.0,-13.813851678782441,-13.813851678782441,-13.813851678782441,,4.32,0.0,0.0,0.0,0.0,0.41813695219123503,0.2030479332669323,0.05801369521912351,0.010152396663346613,4.5912140251494025,0.0,0.0,46.95563993943271,0.0,True
