smr_case,strike_eur,npv_mpln,cfd_cost_pv_mpln,irr
low,95,1979.1063958381442,1054.7938098989766,0.06359656561548319
low,105,3208.4746159484657,2581.8661404419827,0.07183830558687979
low,115,4439.459754631183,4111.641920585996,0.07989312111178645
low,125,5671.606578841334,5641.30324557907,0.08775475826562187
low,135,6905.275442518547,7169.6366577828485,0.09542631125554475
low,145,8140.218742483187,8705.670414053147,0.10291409031408577
low,155,9375.490087133108,10239.32561445528,0.11022101938379651
central,95,-3435.4926233538044,1025.4190996074167,0.03171062800634738
central,105,-2109.71597018106,2514.1409384982844,0.0388679295446049
central,115,-804.95673810856,4006.8896218357054,0.04579647870472994
central,125,451.0084325970146,5500.988609594005,0.05232768684497728
central,135,1715.0386864978982,6991.173886437036,0.0587430863228221
central,145,2931.655168027632,8486.940915311065,0.06473290785569619
central,155,4136.42482169387,9984.122515354264,0.07047621959138264
high,95,-12833.040147907239,941.1466749007423,-0.00982616277135447
high,105,-11568.066885848364,2306.7805497903582,-0.0026875591595520885
high,115,-10328.520868088595,3678.0986778816005,0.004023945017593605
high,125,-9101.715138298101,5048.102602313118,0.010387340122327603
high,135,-7860.47810909468,6417.344703179142,0.01654076109737242
high,145,-6637.756997283747,7786.490943131335,0.022339065265219338
high,155,-5409.997421174817,9161.287342921805,0.027909816534949325
