name,net_mw,overnight_mpln,capex_total_mpln,wacc_real,npv_project_posttax_mpln,npv_project_pretax_mpln,npv_at_common_rate_mpln,irr_project_posttax,irr_project_pretax,lcoe_pln_per_mwh,lcoe_ex_co2_pln_per_mwh,lcoe_capex_component,lcoe_post_tax_pln_per_mwh,levelised_revenue_pln_per_mwh,energy_twh_life,avg_capacity_factor,avg_capture_price,cfd_payments_total_mpln,cfd_payments_pv_mpln,co2_mt_life,local_revenue_total_mpln,local_revenue_avg_op_year_mpln,local_property_tax_host_avg_mpln,state_cit_total_mpln,state_eua_total_mpln,payback_year,equity_irr,min_dscr,strike_pln,fixed_price_pln,scenario,case,required_premium_pln_per_mwh,required_capacity_payment_pln_per_kw_yr,required_capacity_payment_15yr_pln_per_kw_yr
SMR CfD,285.0,7980.0,8790.0,0.04,6476.217974917988,8625.629383918256,986.4850766010213,0.07909459383392621,0.08803355438694412,294.96851560887546,294.96851560887546,174.6521305759555,340.2478003571709,476.67515742360234,140.640764025,0.938881972983257,285.5778290879695,20818.034426748643,9056.211015747209,0.0,2814.781839435169,46.75417861179826,6.384000000000001,6722.30763729365,0.0,2045.0,,,501.7795,483.3916060216895,S1a_smr_cfd,low,-166.17557619947777,-1375.6308223485335,-2799.10826168389
SMR fixed price,285.0,7980.0,8790.0,0.04,6824.8448858937445,9056.032977715486,823.6056163502863,0.07717935560853921,0.08540505945374945,293.6603101886616,293.6603101886616,173.69801577087733,340.40552511337023,483.3916060216894,142.54498439999998,0.9515940639269406,483.39160602168965,0.0,0.0,0.0,3251.2494645380243,54.02863903017919,6.384000000000001,8203.17993674977,0.0,2046.0,,,501.7795,483.3916060216895,S1b_smr_fixed_spotavg,low,-172.37220145903348,-1434.4517765112862,-2918.796055881464
SMR merchant baseload,285.0,7980.0,8790.0,0.06,-3105.2190052296605,-2737.868361010347,-3724.2817305238805,0.032729890211439426,0.03743617010497661,370.21841185879987,370.21841185879987,250.57876264866968,381.6342297180996,285.13619674942856,142.54498439999998,0.9515940639269406,281.1006432388999,0.0,0.0,0.0,1742.598235905004,28.88445188629552,6.384000000000001,3084.5418396020204,0.0,2058.0,,,501.7795,483.3916060216895,S1c_smr_merchant_baseload,low,111.20169120276145,925.2394368317559,1539.6217999832797
SMR dynamic (50–100 %),285.0,7980.0,8790.0,0.06,-3029.2692388687597,-2653.825689737755,-3659.636269455863,0.03347235664279484,0.03819850699633709,382.7341479786933,382.7341479786933,260.2776190592465,394.85305453254546,297.0715613699086,137.14581615000003,0.9155505898021309,293.0845394951153,0.0,0.0,0.0,1759.9277349717559,29.17327687074139,6.384000000000001,3143.338354292786,0.0,2058.0,,,501.7795,483.3916060216895,S2_smr_dynamic,low,112.77510276522133,903.4207307947273,1503.3149218663405
"CCGT 1+1 F-class, ~300 MW",300.0,1440.0,1545.0,0.06,-1528.0070014844396,-1528.0070014844396,-1498.8960562969523,,,739.619597270679,599.1911356110833,257.13805130475527,739.619597270679,471.08474531256337,12.18267,0.15452397260273973,477.8140002665569,0.0,0.0,4.735098078545434,139.13431875448208,4.5912140251494025,4.3199999999999985,0.0,1726.9008882822607,,,,501.7795,,S3a_gas_ccgt,low,295.6470979811093,457.74503830823005,648.7460495193058
OCGT frame peaker,300.0,600.0,705.0,0.06,-726.4484480141014,-726.4484480141014,-715.9095317988781,,,1449.319947119914,1234.6453891721583,625.1509071012073,1449.319947119914,786.3876320161796,2.3454135,0.029749029680365295,752.255721118157,0.0,0.0,1.3457811963571435,48.07429520199203,1.5605395667330682,1.4399999999999997,0.0,507.8514856989169,,,,501.7795,,S3b_gas_ocgt,low,723.8397371928571,203.61550317083388,288.57713846810947
Gas reciprocating engines (Wärtsilä 50DF/31SG class),72.0,194.4,219.6,0.06,-196.52783142025635,-196.52783142025635,-195.78064533458092,,,888.5582664401935,717.2862741157008,307.07327243554255,888.5582664401935,605.7433028788575,1.2551451120000001,0.07960078082191782,595.4089122105253,0.0,0.0,0.5633236934742919,17.992924304653382,0.7136780528261353,0.46656,0.0,216.7911404137863,,,,501.7795,,S3c_gas_engines,low,310.0542399331728,234.09758603852444,308.1215094360333
"CCGT 1+1 F-class, ~300 MW",300.0,1440.0,1545.0,0.06,-595.8006013467644,-566.6266028635437,-640.8634064691761,,,740.4686164506251,600.0401547910292,257.13805130475527,745.5957103422809,640.8885813017868,12.18267,0.15452397260273973,477.8140002665569,0.0,0.0,4.735098078545434,154.7582475039029,5.112011650130098,4.3199999999999985,53.00975825696354,1726.9008882822607,2045.0,,,501.7795,,S3d_gas_ccgt_capmarket,low,126.17964689908014,195.1818482306134,276.62441398703527
SMR CfD,300.0,11400.0,12575.0,0.05,449.40113816962514,1705.1340047161018,-2596.296611270509,0.052319662545238114,0.0581552459022278,488.21688668378664,488.21688668378664,304.1660616671696,521.6220980836903,533.5771407713926,143.769592122,0.9117807719558598,387.42504884140044,15881.9830857916,5501.489988458565,0.0,4740.477527414894,78.83322154024823,22.8,6338.366019672476,0.0,2050.0,,,545.4125,483.3916060216895,S1a_smr_cfd,central,-14.317045273922169,-115.13349972342098,-209.96793365277685
SMR fixed price,300.0,11400.0,12575.0,0.05,-895.5649621783209,144.82598566290656,-3687.468495117364,0.045575874951803555,0.0506634993468025,479.6095140527089,479.6095140527089,298.5928360967516,506.77904602875157,483.3916060216893,147.76092,0.937093607305936,483.39160602168937,0.0,0.0,0.0,4749.934685937088,78.99084084895146,22.8,6370.452807515634,0.0,2052.0,,,545.4125,483.3916060216895,S1b_smr_fixed_spotavg,central,27.42867650932776,224.75532526529594,409.88427639893973
SMR merchant baseload,300.0,11400.0,12575.0,0.07,-5994.605284227461,-5680.088253550547,-5994.605284227461,0.02713635242586022,0.03159729954222052,601.2304774512681,601.2304774512681,419.2483512843142,613.1826559949186,385.37752728187974,147.76092,0.937093607305936,380.6447212349121,0.0,0.0,0.0,4030.129531292119,66.9940882715353,22.8,3928.256747113058,0.0,2061.0,,,545.4125,483.3916060216895,S1c_smr_merchant_baseload,central,265.13205495514353,2171.356192205585,3346.9862481567156
SMR dynamic (50–100 %),300.0,11400.0,12575.0,0.07,-6015.118463722387,-5702.250986486903,-6015.118463722387,0.026982354489635384,0.03143855311314759,629.9877838250151,629.9877838250151,441.19314116662815,642.4996103511535,401.9500990460168,140.286714282,0.889692505593607,397.408824020954,0.0,0.0,0.0,4025.9645428383865,66.92467179730643,22.8,3914.1255362878956,0.0,2062.0,,,545.4125,483.3916060216895,S2_smr_dynamic,central,279.9006337379009,2178.288414508687,3357.671760188751
"CCGT 1+1 F-class, ~300 MW",300.0,1860.0,1965.0,0.07,-1737.48625854225,-1737.48625854225,-1737.48625854225,,,962.4554618348819,749.0008301184378,349.6551996204232,962.4554618348819,633.1719189577237,13.5541545,0.1719197678843227,639.2732558506023,0.0,0.0,5.1238562938596,183.26264600796816,6.062158266932271,5.580000000000003,0.0,2991.771089204883,,,,545.4125,,S3a_gas_ccgt,central,372.266539051764,646.3982566764321,880.682731912565
OCGT frame peaker,300.0,1020.0,1125.0,0.07,-1009.5371618187902,-1009.5371618187902,-1009.5371618187902,,,1867.0445420705244,1552.9947122904593,869.2996240081453,1867.0445420705244,1060.5847722758128,2.938065,0.03726617199391172,961.1765240006902,0.0,0.0,1.5592256860000016,81.93048220398407,2.689079133466136,2.447999999999999,0.0,952.4418134260459,,,,545.4125,,S3b_gas_ocgt,central,898.823564315967,323.4063232516152,440.62365784133345
Gas reciprocating engines (Wärtsilä 50DF/31SG class),72.0,273.6,298.8,0.07,-224.22243289177715,-223.8583297349338,-224.22243289177715,,,1102.1133502546516,848.7393099081577,393.8949403666454,1102.6095627330344,797.0314125766455,1.5225156,0.09655730593607305,765.5842320236603,0.0,0.0,0.6406778876657242,29.29962007295065,1.159906964198026,0.65664,1.7904698573631534,397.3837366876533,,,,545.4125,,S3c_gas_engines,central,346.8001930488544,324.5163612613802,415.21894108160365
