parameter,npv_low_case,npv_high_case,npv_base,swing
SMR overnight capex,3091.3262952726395,-4260.391644430913,451.0084325970146,7351.7179397035525
SMR WACC (real),2796.3900303739047,-1986.130483574406,451.0084325970146,4782.5205139483105
CfD strike,-804.95673810856,1715.0386864978982,451.0084325970146,2519.995424606458
SMR fixed O&M,965.3751832177825,-842.8335081523637,451.0084325970146,1808.2086913701462
Property-tax base (budowle share),808.1313613180866,-145.311116560373,451.0084325970146,953.4424778784596
Electricity price path,156.1698247814353,879.051908720089,451.0084325970146,722.8820839386538
Construction duration,772.2741819452549,148.74910955875006,451.0084325970146,623.5250723865048
Decommissioning fund rate,729.362481566711,167.42579926654872,451.0084325970146,561.9366823001624
Nuclear fuel price,702.9812639292973,167.33328263530254,451.0084325970146,535.6479812939947
SMR forced-outage rate,602.2797541778385,148.09632961254547,451.0084325970146,454.1834245652931
